   i     x           U           V           Trad/T_H    Tmat/T_H
   74  1.470000E+01  1.587956E-07  1.331613E-05  1.996226E-02  6.040801E-02
   75  1.490000E+01  1.549641E-07  1.349160E-05  1.984074E-02  6.060603E-02
   76  1.510000E+01  1.613898E-07  1.367732E-05  2.004329E-02  6.081353E-02
   77  1.530000E+01  1.575519E-07  1.385275E-05  1.992305E-02  6.100760E-02
   78  1.550000E+01  1.635571E-07  1.403844E-05  2.011024E-02  6.121104E-02
   79  1.570000E+01  1.595891E-07  1.421385E-05  1.998715E-02  6.140135E-02
   80  1.590000E+01  1.658455E-07  1.439948E-05  2.018022E-02  6.160085E-02
   81  1.610000E+01  1.618647E-07  1.457487E-05  2.005802E-02  6.178757E-02
   82  1.630000E+01  1.680987E-07  1.476045E-05  2.024842E-02  6.198333E-02
   83  1.650000E+01  1.637279E-07  1.493584E-05  2.011549E-02  6.216664E-02
   84  1.670000E+01  1.698202E-07  1.512138E-05  2.030006E-02  6.235882E-02
   85  1.690000E+01  1.657343E-07  1.529675E-05  2.017684E-02  6.253884E-02
   86  1.710000E+01  1.717862E-07  1.548225E-05  2.035856E-02  6.272758E-02
   87  1.730000E+01  1.677121E-07  1.565761E-05  2.023677E-02  6.290445E-02
   88  1.750000E+01  1.737526E-07  1.584307E-05  2.041657E-02  6.308989E-02
   89  1.770000E+01  1.691986E-07  1.601846E-05  2.028146E-02  6.326379E-02
   90  1.790000E+01  1.750775E-07  1.620388E-05  2.045538E-02  6.344607E-02
   91  1.810000E+01  1.811085E-07  1.638944E-05  2.062931E-02  6.362694E-02
   92  1.830000E+01  1.767654E-07  1.656462E-05  2.050451E-02  6.379629E-02
   93  1.850000E+01  1.827696E-07  1.675014E-05  2.067645E-02  6.397416E-02
   94  1.870000E+01  1.779837E-07  1.692537E-05  2.053974E-02  6.414083E-02
   95  1.890000E+01  1.838346E-07  1.711085E-05  2.070651E-02  6.431583E-02
   96  1.910000E+01  1.794377E-07  1.728607E-05  2.058157E-02  6.447986E-02
   97  1.930000E+01  1.852469E-07  1.747150E-05  2.074616E-02  6.465209E-02
   98  1.950000E+01  1.808900E-07  1.764676E-05  2.062309E-02  6.481361E-02
   99  1.970000E+01  1.866800E-07  1.783214E-05  2.078617E-02  6.498316E-02
  100  1.990000E+01  1.920229E-07  1.801770E-05  2.093333E-02  6.515156E-02
