   i     x           U           V           Trad/T_H    Tmat/T_H
    1  1.000000E-01  6.969062E-01  6.822245E-01  9.136789E-01  9.088283E-01
    2  3.000000E-01  6.210367E-01  6.031299E-01  8.877268E-01  8.812573E-01
    3  5.000000E-01  5.491549E-01  5.287215E-01  8.608425E-01  8.527206E-01
    4  7.000000E-01  4.818423E-01  4.596212E-01  8.331558E-01  8.233794E-01
    5  9.000000E-01  4.195240E-01  3.962468E-01  8.048023E-01  7.933986E-01
    6  1.100000E+00  3.624679E-01  3.388196E-01  7.759208E-01  7.629431E-01
    7  1.300000E+00  3.107919E-01  2.873817E-01  7.466506E-01  7.321748E-01
    8  1.500000E+00  2.644784E-01  2.418201E-01  7.171295E-01  7.012504E-01
    9  1.700000E+00  2.233926E-01  2.018954E-01  6.874913E-01  6.703191E-01
   10  1.900000E+00  1.873037E-01  1.672711E-01  6.578647E-01  6.395216E-01
   11  2.100000E+00  1.559073E-01  1.375422E-01  6.283717E-01  6.089884E-01
   12  2.300000E+00  1.288470E-01  1.122617E-01  5.991266E-01  5.788392E-01
   13  2.500000E+00  1.057344E-01  9.096359E-02  5.702352E-01  5.491828E-01
   14  2.700000E+00  8.616643E-02  7.318161E-02  5.417944E-01  5.201163E-01
   15  2.900000E+00  6.974076E-02  5.846440E-02  5.138918E-01  4.917257E-01
   16  3.100000E+00  5.606704E-02  4.638646E-02  4.866054E-01  4.640853E-01
   17  3.300000E+00  4.477608E-02  3.655564E-02  4.600039E-01  4.372588E-01
   18  3.500000E+00  3.552596E-02  2.861752E-02  4.341467E-01  4.112993E-01
   19  3.700000E+00  2.800593E-02  2.225735E-02  4.090840E-01  3.862499E-01
   20  3.900000E+00  2.193814E-02  1.719988E-02  3.848575E-01  3.621441E-01
   21  4.100000E+00  1.707793E-02  1.320787E-02  3.615004E-01  3.390067E-01
   22  4.300000E+00  1.321282E-02  1.007949E-02  3.390384E-01  3.168543E-01
