1
1336
389
mass
ag107,ag108,ag109,al25,al26,al27,al28,ar36,ar37,ar38,ar39,ar40,as75,au197,b10,b11,b8,ba130,ba132,ba134,ba135,ba136,ba137,ba138,be7,be9,bi209,bi210,br79,br80,br81,c12,c13,c14,ca40,ca41,ca42,ca43,ca44,ca45,ca46,ca47,ca48,cd106,cd108,cd109,cd110,cd111,cd112,cd113,cd114,cd116,ce136,ce138,ce140,ce141,ce142,cl35,cl36,cl37,co59,co60,cr50,cr52,cr53,cr54,cs133,cs134,cs135,cs136,cs137,cu63,cu64,cu65,d,dy156,dy158,dy160,dy161,dy162,dy163,dy164,er162,er164,er166,er167,er168,er169,er170,eu151,eu152,eu153,eu154,eu155,f17,f18,f19,f20,fe54,fe55,fe56,fe57,fe58,fe59,fe60,ga69,ga70,ga71,gd152,gd153,gd154,gd155,gd156,gd157,gd158,gd159,gd160,ge70,ge71,ge72,ge73,ge74,ge76,h1,h2,he3,he4,hf174,hf176,hf177,hf178,hf179,hf180,hf181,hf182,hg196,hg198,hg199,hg200,hg201,hg202,hg204,ho165,i127,i128,i129,in113,in115,ir191,ir192,ir193,k39,k40,k41,kr78,kr80,kr81,kr82,kr83,kr84,kr86,la138,la139,li6,li7,lu175,lu176,lu177,mg23,mg24,mg25,mg26,mg27,mn53,mn54,mn55,mo100,mo92,mo94,mo95,mo96,mo97,mo98,n,n13,n14,n15,na21,na22,na23,na24,nb93,nb94,nb95,nd142,nd143,nd144,nd145,nd146,nd147,nd148,nd150,ne19,ne20,ne21,ne22,ne23,ni56,ni57,ni58,ni59,ni60,ni61,ni62,ni63,ni64,o14,o15,o16,o17,o18,o19,os184,os186,os187,os188,os189,os190,os191,os192,p,p31,p32,p33,pb204,pb205,pb206,pb207,pb208,pd102,pd104,pd105,pd106,pd107,pd108,pd110,pm147,pm148,po210,pr141,pt190,pt192,pt193,pt194,pt195,pt196,pt198,rb85,rb86,rb87,re185,re186,re187,rh103,ru100,ru101,ru102,ru104,ru96,ru98,ru99,s32,s33,s34,s35,s36,sb121,sb123,sc45,sc46,sc47,sc48,se74,se76,se77,se78,se79,se80,se82,si27,si28,si29,si30,si32,sm144,sm147,sm148,sm149,sm150,sm151,sm152,sm154,sn112,sn114,sn115,sn116,sn117,sn118,sn119,sn120,sn122,sn124,sr84,sr86,sr87,sr88,sr89,sr90,ta180,ta181,ta182,ta183,tb159,tb160,tb161,tc99,te120,te122,te123,te124,te125,te126,te128,te130,ti44,ti46,ti47,ti48,ti49,ti50,tl203,tl204,tl205,tm169,tm170,tm171,v49,v50,v51,w180,w182,w183,w184,w185,w186,xe124,xe126,xe128,xe129,xe130,xe131,xe132,xe133,xe134,xe136,y89,y90,y91,yb168,yb170,yb171,yb172,yb173,yb174,yb176,zn64,zn65,zn66,zn67,zn68,zn69,zn70,zr90,zr91,zr92,zr93,zr94,zr95,zr96
Msun
fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction
1.30000000000000000e+01
4.00035750959334493e+01
log
