  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.1785567E-01  1.6762650E+00  1.7941207E+00  6.5942758E-01  7.0584649E-01 -2.9543158E-02
      d      2   1.5725357E-17  1.5725357E-17  0.0000000E+00  6.1862141E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.2239992E-04  2.2239992E-04  0.0000000E+00  8.7490131E-05  0.0000000E+00  0.0000000E+00
    he4      4   9.1189086E-02  8.0273843E-01  7.1154934E-01  3.1579009E-01  2.7993914E-01  5.2334856E-02
    li7      7  -2.2211992E-08  9.1336055E-10  2.3125352E-08  3.5930783E-10  9.0980219E-09 -1.4034803E+00
    be7      7   6.4416947E-18  6.4416947E-18  0.0000000E+00  2.5341048E-18  0.0000000E+00  0.0000000E+00
     b8      8   2.2383828E-26  2.2383828E-26  0.0000000E+00  8.8055967E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.8496204E-02  2.4863251E-02  6.3670455E-03  9.7809797E-03  2.5049355E-03  5.9158587E-01
    c13     13   1.1208968E-04  1.8924577E-04  7.7156088E-05  7.4447584E-05  3.0354900E-05  3.8962179E-01
    c14     14   5.7676232E-08  5.7676232E-08  0.0000000E+00  2.2689312E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.4147650E-03  5.2972399E-03  1.8824749E-03  2.0838866E-03  7.4060698E-04  4.4928628E-01
    n15     15  -2.5184133E-06  2.1183471E-06  4.6367604E-06  8.3333873E-07  1.8242035E-06 -3.4025174E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -8.3245989E-04  1.4542291E-02  1.5374751E-02  5.7208068E-03  6.0487650E-03 -2.4209447E-02
    o17     17   3.6253958E-05  4.2460244E-05  6.2062854E-06  1.6703480E-05  2.4416890E-06  8.3511662E-01
    o18     18  -1.2448767E-05  2.2144424E-05  3.4593191E-05  8.7114176E-06  1.3609721E-05 -1.9376042E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   6.3837624E-06  7.3799520E-06  9.9618933E-07  2.9032069E-06  3.9192281E-07  8.6967742E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.5464531E-05  3.1893051E-03  3.1538405E-03  1.2546440E-03  1.2407904E-03  4.8220898E-03
   ne21     21   2.6316120E-06  1.0569835E-05  7.9382226E-06  4.1580779E-06  3.1230711E-06  1.2431074E-01
   ne22     22   4.9920483E-03  5.2471426E-03  2.5509446E-04  2.0641787E-03  1.0035978E-04  1.3131876E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.0836226E-19  2.0836226E-19  0.0000000E+00  8.1967841E-20  0.0000000E+00  0.0000000E+00
   na23     23   9.7270196E-05  1.8264620E-04  8.5375999E-05  7.1851377E-05  3.3588796E-05  3.3024064E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.0790071E-05  1.5152289E-03  1.5044388E-03  5.9607741E-04  5.9187930E-04  3.0695056E-03
   mg25     25   4.4566885E-05  2.4296208E-04  1.9839520E-04  9.5579104E-05  7.8053032E-05  8.7973185E-02
   mg26     26   1.4678721E-05  2.4184897E-04  2.2717025E-04  9.5141215E-05  8.9373774E-05  2.7158592E-02
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   2.9496184E-07  2.9496184E-07  0.0000000E+00  1.1603534E-07  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.5990721E-05  1.6085479E-04  1.4486407E-04  6.3278829E-05  5.6992707E-05  4.5439154E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.9543804E-06  1.6677625E-03  1.6658081E-03  6.5608282E-04  6.5536553E-04  4.7505824E-04
   si29     29   7.6612923E-07  8.8376139E-05  8.7610009E-05  3.4766381E-05  3.4467706E-05  3.7470907E-03
   si30     30   2.0050138E-06  6.1747713E-05  5.9742699E-05  2.4290995E-05  2.3504090E-05  1.4301898E-02
    p31     31   2.3404755E-06  1.8973018E-05  1.6632543E-05  7.4638151E-06  6.5436075E-06  5.7143614E-02
    p32     32   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    p33     33   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s32     32  -3.2166718E-06  7.9505221E-04  7.9826888E-04  3.1276641E-04  3.1405652E-04 -1.7877095E-03
    s33     33   4.3287082E-07  7.0234360E-06  6.5905651E-06  2.7629567E-06  2.5928732E-06  2.7592819E-02
    s34     34   4.9068331E-07  3.8819660E-05  3.8328977E-05  1.5271306E-05  1.5079462E-05  5.4903026E-03
    s35     35   2.6469547E-39  2.6469547E-39  0.0000000E+00  1.0412881E-39  0.0000000E+00  0.0000000E+00
    s36     36   9.9670373E-08  2.8887032E-07  1.8919995E-07  1.1363899E-07  7.4435420E-08  1.8374772E-01
   cl35     35  -8.3081432E-08  8.1056951E-06  8.1887765E-06  3.1887078E-06  3.2216446E-06 -4.4629178E-03
   cl36     36   1.1435485E-08  1.1435485E-08  0.0000000E+00  4.4986170E-09  0.0000000E+00  0.0000000E+00
   cl37     37   9.3435756E-07  3.7010773E-06  2.7667197E-06  1.4559706E-06  1.0884884E-06  1.2632881E-01
   ar36     36  -1.6079284E-06  1.5087912E-04  1.5248705E-04  5.9354490E-05  5.9991758E-05 -4.6380232E-03
   ar37     37   7.8640463E-39  7.8640463E-39  0.0000000E+00  3.0936452E-39  0.0000000E+00  0.0000000E+00
   ar38     38   6.1724859E-07  2.9882965E-05  2.9265717E-05  1.1755690E-05  1.1513776E-05  9.0303179E-03
   ar39     39   3.7676390E-11  3.7676390E-11  0.0000000E+00  1.4821554E-11  0.0000000E+00  0.0000000E+00
   ar40     40   1.4459735E-07  1.9386808E-07  4.9270721E-08  7.6265962E-08  1.9384185E-08  5.9488320E-01
    k39     39   1.1401062E-07  8.0529117E-06  7.9389010E-06  3.1679431E-06  3.1233380E-06  6.1583561E-03
    k40     40   4.6612161E-08  4.7897320E-08  1.2851575E-09  1.8842375E-08  5.0560922E-10  1.5713207E+00
    k41     41   1.0421888E-07  7.0651663E-07  6.0229775E-07  2.7793729E-07  2.3695719E-07  6.9276907E-02
   ca40     40  -1.1520169E-06  1.3629899E-04  1.3745100E-04  5.3618798E-05  5.4076245E-05 -3.6894414E-03
   ca41     41   1.7049890E-08  1.7049890E-08  0.0000000E+00  6.7072738E-09  0.0000000E+00  0.0000000E+00
   ca42     42   8.6658133E-08  1.0499288E-06  9.6327062E-07  4.1303255E-07  3.7897183E-07  3.7377350E-02
   ca43     43   1.8052944E-08  2.2382613E-07  2.0577319E-07  8.8051195E-08  8.0955701E-08  3.6487810E-02
   ca44     44   7.5935077E-08  3.3295248E-06  3.2535897E-06  1.3098052E-06  1.2800336E-06  9.9852886E-03
   ca45     45   4.8248808E-39  4.8248808E-39  0.0000000E+00  1.8980644E-39  0.0000000E+00  0.0000000E+00
   ca46     46   6.0574500E-08  6.7097027E-08  6.5225239E-09  2.6395368E-08  2.5661042E-09  1.0122534E+00
   ca47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca48     48  -7.4899731E-10  3.1743551E-07  3.1818450E-07  1.2487628E-07  1.2518078E-07 -1.0576933E-03
   sc45     45   2.1706825E-08  1.1349936E-07  9.1792536E-08  4.4649628E-08  3.6113200E-08  9.2151880E-02
   sc46     46   8.8271994E-41  8.8271994E-41  0.0000000E+00  3.4725577E-41  0.0000000E+00  0.0000000E+00
   sc47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   sc48     48  -1.3663871E-31  5.7757387E-29  5.7894026E-29  2.2721238E-29  2.2776783E-29  0.0000000E+00
   ti46     46   1.0142628E-08  5.7094610E-07  5.6080347E-07  2.2460507E-07  2.2063243E-07  7.7502220E-03
   ti47     47  -7.4760464E-10  5.1599170E-07  5.1673931E-07  2.0298650E-07  2.0329659E-07 -6.6295359E-04
   ti48     48  -8.2032329E-08  5.1470015E-06  5.2290338E-06  2.0247842E-06  2.0572168E-06 -6.9013052E-03
   ti49     49   8.9284867E-08  4.8101589E-07  3.9173102E-07  1.8922734E-07  1.5411560E-07  8.9137293E-02
   ti50     50   1.6923815E-07  5.5197546E-07  3.8273731E-07  2.1714219E-07  1.5057726E-07  1.5898480E-01
    v51     51  -1.4148100E-08  8.2933826E-07  8.4348636E-07  3.2625422E-07  3.3184605E-07 -7.3805037E-03
   cr52     52  -2.8166323E-07  3.4295364E-05  3.4577028E-05  1.3491488E-05  1.3603363E-05 -3.5864364E-03
   cr53     53  -2.4540896E-08  3.9715965E-06  3.9961374E-06  1.5623904E-06  1.5721682E-06 -2.7094539E-03
   cr54     54   1.9577362E-07  1.2092663E-06  1.0134927E-06  4.7571450E-07  3.9873032E-07  7.6667123E-02
   mn55     55   1.0617441E-06  3.1258754E-05  3.0197010E-05  1.2296913E-05  1.1880167E-05  1.4973549E-02
   fe54     54  -4.2430329E-06  1.9472292E-04  1.9896595E-04  7.6602249E-05  7.8277582E-05 -9.3958881E-03
   fe55     55   5.7013120E-20  5.7013120E-20  0.0000000E+00  2.2428450E-20  0.0000000E+00  0.0000000E+00
   fe56     56  -3.2275449E-05  3.2066971E-03  3.2389725E-03  1.2614859E-03  1.2742830E-03 -4.3835230E-03
   fe57     57   1.1288765E-05  8.7426859E-05  7.6138094E-05  3.4392942E-05  2.9954399E-05  6.0008716E-02
   fe58     58   9.0922240E-06  1.9402614E-05  1.0310390E-05  7.6328142E-06  4.0563341E-06  2.7455097E-01
   fe59     59   2.9490466E-39  2.9490466E-39  0.0000000E+00  1.1601280E-39  0.0000000E+00  0.0000000E+00
   fe60     60   6.7055190E-08  6.7055190E-08  0.0000000E+00  2.6378910E-08  0.0000000E+00  0.0000000E+00
   co59     59   2.0019270E-06  9.9533554E-06  7.9514284E-06  3.9155607E-06  3.1282668E-06  9.7490177E-02
   co60     60   1.3519066E-13  1.3519066E-13  0.0000000E+00  5.3182793E-14  0.0000000E+00  0.0000000E+00
   ni58     58  -2.5113550E-06  1.1125786E-04  1.1376922E-04  4.3767843E-05  4.4759308E-05 -9.7282277E-03
   ni59     59   1.4470173E-07  1.4470173E-07  0.0000000E+00  5.6924360E-08  0.0000000E+00  0.0000000E+00
   ni60     60   7.8972153E-07  4.6125067E-05  4.5335346E-05  1.8145187E-05  1.7835922E-05  7.4658939E-03
   ni61     61   7.9577944E-07  2.7993624E-06  2.0035829E-06  1.1012440E-06  7.8825360E-07  1.4521760E-01
   ni62     62   1.0437525E-06  7.5365333E-06  6.4927808E-06  2.9648045E-06  2.5544027E-06  6.4706676E-02
   ni63     63   5.0855025E-11  5.0855025E-11  0.0000000E+00  2.0005910E-11  0.0000000E+00  0.0000000E+00
   ni64     64   2.6453913E-06  4.3522964E-06  1.7069051E-06  1.7121544E-06  6.7153400E-07  4.0647492E-01
   cu63     63   3.6122640E-07  1.7700461E-06  1.4088197E-06  6.9632023E-07  5.5426062E-07  9.9095002E-02
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   6.5611357E-07  1.3039703E-06  6.4785672E-07  5.1297019E-07  2.5488109E-07  3.0375454E-01
   zn64     64   8.9823288E-08  2.5035613E-06  2.4137380E-06  9.8487851E-07  9.4961757E-07  1.5833896E-02
   zn65     65   4.2746146E-35  4.2746146E-35  0.0000000E+00  1.6815950E-35  0.0000000E+00  0.0000000E+00
   zn66     66   7.2205751E-07  2.1501126E-06  1.4280550E-06  8.4583496E-07  5.6182824E-07  1.7768206E-01
   zn67     67   1.6262223E-07  3.7565601E-07  2.1303379E-07  1.4777970E-07  8.3812175E-08  2.4630769E-01
   zn68     68   9.7890461E-07  1.9676938E-06  9.8878922E-07  7.7407310E-07  3.8901143E-07  2.9881963E-01
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   4.2384443E-09  3.7896505E-08  3.3658061E-08  1.4908146E-08  1.3241821E-08  5.1475920E-02
   ga69     69   1.5406147E-07  2.4471365E-07  9.0652172E-08  9.6268153E-08  3.5664559E-08  4.3124580E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   1.7811513E-07  2.4002199E-07  6.1906853E-08  9.4422496E-08  2.4355515E-08  5.8847821E-01
   ge70     70   2.8154557E-07  3.8237567E-07  1.0083009E-07  1.5042316E-07  3.9668777E-08  5.7886589E-01
   ge71     71   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ge72     72   3.4329508E-07  4.8034860E-07  1.3705353E-07  1.8896483E-07  5.3919877E-08  5.4463208E-01
   ge73     73   1.0241342E-07  1.4141712E-07  3.9003702E-08  5.5632224E-08  1.5344913E-08  5.5936205E-01
   ge74     74   4.6776194E-07  6.5332631E-07  1.8556437E-07  2.5701272E-07  7.3005104E-08  5.4660141E-01
   as75     75   4.2832625E-08  7.0037949E-08  2.7205326E-08  2.7552300E-08  1.0703173E-08  4.1064534E-01
   se76     76   1.5784930E-07  1.8617251E-07  2.8323219E-08  7.3238596E-08  1.1142977E-08  8.1773877E-01
