  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.8761208E-02  9.1692376E-01  9.4568497E-01  6.8427151E-01  7.0578772E-01 -1.3445643E-02
      d      2   6.6114429E-18  6.6114429E-18  0.0000000E+00  4.9339127E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.7435884E-04  2.7435884E-04  0.0000000E+00  2.0474542E-04  0.0000000E+00  0.0000000E+00
    he4      4   2.2730529E-02  3.9789599E-01  3.7516546E-01  2.9693732E-01  2.7999511E-01  2.5514346E-02
    li7      7  -8.0442177E-09  4.1486592E-09  1.2192877E-08  3.0960146E-09  9.0998409E-09 -4.6823078E-01
    be7      7   5.5379378E-18  5.5379378E-18  0.0000000E+00  4.1327896E-18  0.0000000E+00  0.0000000E+00
     b8      8   4.9474049E-28  4.9474049E-28  0.0000000E+00  3.6920934E-28  0.0000000E+00  0.0000000E+00
    c12     12   4.0634805E-03  7.4205142E-03  3.3570339E-03  5.5376976E-03  2.5054363E-03  3.4444588E-01
    c13     13   5.8865924E-05  9.9546589E-05  4.0680665E-05  7.4288502E-05  3.0360969E-05  3.8860595E-01
    c14     14   2.6518874E-09  2.6518874E-09  0.0000000E+00  1.9790205E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.2383901E-03  2.2309278E-03  9.9253771E-04  1.6648716E-03  7.4075500E-04  3.5170615E-01
    n15     15  -1.0952070E-06  1.3495318E-06  2.4447388E-06  1.0071134E-06  1.8245680E-06 -2.5808170E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   6.3041225E-06  8.1126653E-03  8.1063611E-03  6.0542282E-03  6.0499744E-03  3.0524359E-04
    o17     17   2.4814113E-05  2.8086386E-05  3.2722733E-06  2.0959991E-05  2.4421772E-06  9.3361396E-01
    o18     18  -4.9864284E-06  1.3252884E-05  1.8239312E-05  9.8902128E-06  1.3612442E-05 -1.3873042E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   5.2102547E-07  1.0462678E-06  5.2524234E-07  7.8079694E-07  3.9200114E-07  2.9925075E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -1.7932616E-06  1.6610739E-03  1.6628671E-03  1.2396075E-03  1.2410383E-03 -5.0100114E-04
   ne21     21   4.8121365E-09  4.1902517E-06  4.1854396E-06  3.1270538E-06  3.1236955E-06  4.6668030E-04
