  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.5569320E-02  7.5926137E-01  7.8483069E-01  6.8278903E-01  7.0584649E-01 -1.4423721E-02
      d      2   5.1870585E-18  5.1870585E-18  0.0000000E+00  4.6646212E-18  0.0000000E+00  0.0000000E+00
    he3      3   3.0592384E-04  3.0592384E-04  0.0000000E+00  2.7511138E-04  0.0000000E+00  0.0000000E+00
    he4      4   2.0881653E-02  3.3214599E-01  3.1126434E-01  2.9869244E-01  2.7993914E-01  2.8160602E-02
    li7      7  -6.8727539E-09  3.2433365E-09  1.0116090E-08  2.9166696E-09  9.0980219E-09 -4.9405974E-01
    be7      7   1.0534381E-17  1.0534381E-17  0.0000000E+00  9.4733645E-18  0.0000000E+00  0.0000000E+00
     b8      8   3.9984123E-28  3.9984123E-28  0.0000000E+00  3.5956946E-28  0.0000000E+00  0.0000000E+00
    c12     12   2.4326155E-03  5.2178530E-03  2.7852375E-03  4.6923137E-03  2.5049355E-03  2.7259049E-01
    c13     13   5.5589404E-05  8.9341018E-05  3.3751614E-05  8.0342645E-05  3.0354900E-05  4.2271730E-01
    c14     14   9.9191993E-08  9.9191993E-08  0.0000000E+00  8.9201436E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.0652475E-03  1.8887282E-03  8.2348083E-04  1.6984966E-03  7.4060698E-04  3.6047688E-01
    n15     15  -9.1486936E-07  1.1134625E-06  2.0283319E-06  1.0013152E-06  1.8242035E-06 -2.6050246E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   1.6458565E-04  6.8902075E-03  6.7256219E-03  6.1962297E-03  6.0487650E-03  1.0460774E-02
    o17     17   1.3166426E-05  1.5881340E-05  2.7149140E-06  1.4281781E-05  2.4416890E-06  7.6709199E-01
    o18     18  -4.0785962E-06  1.1054052E-05  1.5132649E-05  9.9406943E-06  1.3609721E-05 -1.3643253E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   6.9534758E-07  1.1311265E-06  4.3577893E-07  1.0172001E-06  3.9192281E-07  4.1420588E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -2.1222513E-07  1.3794224E-03  1.3796346E-03  1.2404878E-03  1.2407904E-03 -1.0591241E-04
   ne21     21   1.4505531E-07  3.6175982E-06  3.4725429E-06  3.2532357E-06  3.1230711E-06  1.7733671E-02
   ne22     22   6.3378375E-04  7.4537378E-04  1.1159003E-04  6.7030016E-04  1.0035978E-04  8.2470965E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   5.1977272E-28  5.1977272E-28  0.0000000E+00  4.6742151E-28  0.0000000E+00  0.0000000E+00
   na23     23   1.4394624E-05  5.1742005E-05  3.7347381E-05  4.6530582E-05  3.3588796E-05  1.4154404E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   2.4232431E-06  6.6053384E-04  6.5811060E-04  5.9400528E-04  5.9187930E-04  1.5571454E-03
   mg25     25   6.0455932E-08  8.6847620E-05  8.6787164E-05  7.8100376E-05  7.8053032E-05  2.6333577E-04
   mg26     26  -2.0435982E-07  9.9170335E-05  9.9374694E-05  8.9181958E-05  8.9373774E-05 -9.3310361E-04
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
