  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>           X0(i)   log10(<X(i)>/X0(i)) 
    s33     33   3.6090751E-07  8.6238751E-06  8.2629676E-06  2.7059539E-06  2.5928732E-06  1.8539116E-02
    s34     34   9.6594886E-07  4.9021175E-05  4.8055226E-05  1.5381605E-05  1.5079462E-05  8.6157965E-03
    s35     35   8.5453584E-29  8.5453584E-29  0.0000000E+00  2.6813173E-29  0.0000000E+00  0.0000000E+00
    s36     36   7.5027245E-08  3.1223803E-07  2.3721078E-07  9.7972396E-08  7.4435420E-08  1.1932410E-01
   cl35     35  -6.6078428E-08  1.0200658E-05  1.0266736E-05  3.2007085E-06  3.2216446E-06 -2.8315058E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   5.7793932E-07  4.0467339E-06  3.4687946E-06  1.2697627E-06  1.0884884E-06  6.6898763E-02
   ar36     36  -1.4409889E-06  1.8974073E-04  1.9118172E-04  5.9535843E-05  5.9991758E-05 -3.3131184E-03
   ar37     37   3.0422357E-29  3.0422357E-29  0.0000000E+00  9.5457657E-30  0.0000000E+00  0.0000000E+00
   ar38     38   6.0164530E-07  3.7293747E-05  3.6692101E-05  1.1701834E-05  1.1513776E-05  7.0361733E-03
   ar39     39   1.5689991E-10  1.5689991E-10  0.0000000E+00  4.9231223E-11  0.0000000E+00  0.0000000E+00
   ar40     40   4.4012118E-08  1.0578563E-07  6.1773513E-08  3.3192855E-08  1.9384185E-08  2.3359710E-01
    k39     39   4.9699338E-08  1.0003152E-05  9.9534527E-06  3.1387360E-06  3.1233380E-06  2.1358198E-03
    k40     40  -1.6112753E-09  0.0000000E+00  1.6112753E-09  0.0000000E+00  5.0560922E-10  0.0000000E+00
    k41     41   7.5961907E-08  8.3109705E-07  7.5513515E-07  2.6077723E-07  2.3695719E-07  4.1599732E-02
   ca40     40  -8.9062087E-07  1.7143955E-04  1.7233017E-04  5.3793392E-05  5.4076245E-05 -2.2776111E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   5.6641397E-08  1.2643487E-06  1.2077073E-06  3.9672065E-07  3.7897183E-07  1.9877866E-02
   ca43     43   1.3161753E-08  2.7115135E-07  2.5798960E-07  8.5080437E-08  8.0955701E-08  2.1582274E-02
   ca44     44   1.7598722E-09  4.0809709E-06  4.0792111E-06  1.2805054E-06  1.2800336E-06  1.6004934E-04
   ca45     45   2.1304112E-24  2.1304112E-24  0.0000000E+00  6.6846914E-25  0.0000000E+00  0.0000000E+00
   ca46     46   1.6144863E-08  2.4322524E-08  8.1776603E-09  7.6317930E-09  2.5661042E-09  4.7335231E-01
   ca47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca48     48  -3.5640824E-10  3.9856968E-07  3.9892609E-07  1.2506108E-07  1.2518078E-07 -4.1546137E-04
   sc45     45   1.7279561E-08  1.3236510E-07  1.1508554E-07  4.1532822E-08  3.6113200E-08  6.0725473E-02
   sc46     46   3.0259851E-31  3.0259851E-31  0.0000000E+00  9.4947759E-32  0.0000000E+00  0.0000000E+00
   sc47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   sc48     48  -6.4663098E-32  7.2520386E-29  7.2585050E-29  2.2755062E-29  2.2776783E-29  0.0000000E+00
   ti46     46  -6.0019261E-09  6.9710944E-07  7.0311137E-07  2.1873531E-07  2.2063243E-07 -3.7504314E-03
   ti47     47  -7.9141387E-09  6.3995139E-07  6.4786553E-07  2.0080056E-07  2.0329659E-07 -5.3652031E-03
   ti48     48  -9.7164047E-08  6.4587739E-06  6.5559379E-06  2.0266000E-06  2.0572168E-06 -6.5120207E-03
   ti49     49   6.8036513E-08  5.5917207E-07  4.9113555E-07  1.7545405E-07  1.5411560E-07  5.6316793E-02
   ti50     50   6.7535211E-08  5.4739479E-07  4.7985958E-07  1.7175864E-07  1.5057726E-07  5.7159226E-02
    v51     51  -1.5906039E-08  1.0416209E-06  1.0575269E-06  3.2683428E-07  3.3184605E-07 -6.6090468E-03
   cr52     52  -2.8334762E-07  4.3067845E-05  4.3351192E-05  1.3513601E-05  1.3603363E-05 -2.8752026E-03
   cr53     53  -1.1118573E-08  4.9990667E-06  5.0101853E-06  1.5685807E-06  1.5721682E-06 -9.9215086E-04
   cr54     54   2.6269583E-07  1.5333695E-06  1.2706737E-06  4.8113259E-07  3.9873032E-07  8.1585534E-02
   mn55     55   4.8632501E-07  3.8346039E-05  3.7859714E-05  1.2032017E-05  1.1880167E-05  5.5159139E-03
   fe54     54  -4.1740132E-06  2.4528094E-04  2.4945496E-04  7.6962955E-05  7.8277582E-05 -7.3556760E-03
   fe55     55  -3.7085932E-15 -3.7085932E-15  0.0000000E+00 -1.1636628E-15  0.0000000E+00  0.0000000E+00
   fe56     56  -3.2716431E-05  4.0281685E-03  4.0608849E-03  1.2639373E-03  1.2742830E-03 -3.5403711E-03
   fe57     57   1.2356788E-05  1.0781546E-04  9.5458672E-05  3.3829765E-05  2.9954399E-05  5.2838393E-02
   fe58     58   1.7513266E-05  3.0439991E-05  1.2926725E-05  9.5512996E-06  4.0563341E-06  3.7192875E-01
   fe59     59   1.5497894E-29  1.5497894E-29  0.0000000E+00  4.8628471E-30  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   4.1121475E-06  1.4081308E-05  9.9691606E-06  4.4183585E-06  3.1282668E-06  1.4995712E-01
   co60     60   2.0518999E-12  2.0518999E-12  0.0000000E+00  6.4383427E-13  0.0000000E+00  0.0000000E+00
   ni58     58  -2.5425688E-06  1.4009638E-04  1.4263895E-04  4.3958702E-05  4.4759308E-05 -7.8385118E-03
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   2.0336447E-06  5.8873156E-05  5.6839512E-05  1.8472907E-05  1.7835922E-05  1.5239660E-02
   ni61     61   9.5763744E-07  3.4696441E-06  2.5120066E-06  1.0886865E-06  7.8825360E-07  1.4023687E-01
   ni62     62   1.4328962E-06  9.5732657E-06  8.1403696E-06  3.0038486E-06  2.5544027E-06  7.0388660E-02
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   5.8139290E-07  2.7214373E-06  2.1400444E-06  8.5391821E-07  6.7153400E-07  1.0434829E-01
   cu63     63   5.6942235E-07  2.3357400E-06  1.7663176E-06  7.3289613E-07  5.5426062E-07  1.2132843E-01
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   1.0349061E-07  9.1574555E-07  8.1225494E-07  2.8733780E-07  2.5488109E-07  5.2055132E-02
   zn64     64  -4.4259878E-08  2.9819812E-06  3.0262411E-06  9.3567024E-07  9.4961757E-07 -6.4259195E-03
   zn65     65  -2.0683049E-22 -2.0683049E-22  0.0000000E+00 -6.4898179E-23  0.0000000E+00  0.0000000E+00
   zn66     66   9.3140443E-08  1.8835744E-06  1.7904340E-06  5.9101802E-07  5.6182824E-07  2.1997107E-02
   zn67     67   2.3570237E-08  2.9066285E-07  2.6709262E-07  9.1202651E-08  8.3812175E-08  3.6700338E-02
   zn68     68   1.2317378E-07  1.3628753E-06  1.2397015E-06  4.2763580E-07  3.8901143E-07  4.1111670E-02
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   8.6430418E-11  4.2285464E-08  4.2199034E-08  1.3268109E-08  1.3241821E-08  8.6130342E-04
