  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.1800468E-01  1.6761160E+00  1.7941207E+00  6.5936899E-01  7.0584649E-01 -2.9581727E-02
      d      2   1.5724447E-17  1.5724447E-17  0.0000000E+00  6.1858564E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.2239180E-04  2.2239180E-04  0.0000000E+00  8.7486937E-05  0.0000000E+00  0.0000000E+00
    he4      4   9.1537416E-02  8.0308676E-01  7.1154934E-01  3.1592712E-01  2.7993914E-01  5.2523259E-02
    li7      7  -2.2227663E-08  8.9768820E-10  2.3125352E-08  3.5314249E-10  9.0980219E-09 -1.4109970E+00
    be7      7   3.9558469E-18  3.9558469E-18  0.0000000E+00  1.5561946E-18  0.0000000E+00  0.0000000E+00
     b8      8   2.2379777E-26  2.2379777E-26  0.0000000E+00  8.8040036E-27  0.0000000E+00  0.0000000E+00
    c12     12   1.9781582E-02  2.6148627E-02  6.3670455E-03  1.0286635E-02  2.5049355E-03  6.1347681E-01
    c13     13   1.1210759E-04  1.8926368E-04  7.7156088E-05  7.4454634E-05  3.0354900E-05  3.8966292E-01
    c14     14   5.5544003E-08  5.5544003E-08  0.0000000E+00  2.1850513E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.4152265E-03  5.2977013E-03  1.8824749E-03  2.0840683E-03  7.4060698E-04  4.4932416E-01
    n15     15  -2.5209661E-06  2.1157944E-06  4.6367604E-06  8.3233448E-07  1.8242035E-06 -3.4077540E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -9.8051038E-04  1.4394240E-02  1.5374751E-02  5.6625651E-03  6.0487650E-03 -2.8653502E-02
    o17     17   3.6241436E-05  4.2447722E-05  6.2062854E-06  1.6698552E-05  2.4416890E-06  8.3498847E-01
    o18     18  -1.2452754E-05  2.2140437E-05  3.4593191E-05  8.7098488E-06  1.3609721E-05 -1.9383864E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   5.8380692E-06  6.8342583E-06  9.9618933E-07  2.6885359E-06  3.9192281E-07  8.3631533E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   2.1086540E-05  3.1749271E-03  3.1538405E-03  1.2489879E-03  1.2407904E-03  2.8598160E-03
   ne21     21   2.1176902E-06  1.0055913E-05  7.9382226E-06  3.9559059E-06  3.1230711E-06  1.0266410E-01
   ne22     22   3.7367200E-03  3.9918143E-03  2.5509446E-04  1.5703440E-03  1.0035978E-04  1.1944351E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.3329046E-19  1.3329046E-19  0.0000000E+00  5.2435270E-20  0.0000000E+00  0.0000000E+00
   na23     23   6.8896130E-05  1.5427213E-04  8.5375999E-05  6.0689272E-05  3.3588796E-05  2.5691748E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   1.8789433E-07  1.5046267E-03  1.5044388E-03  5.9190666E-04  5.9187930E-04  2.0087047E-05
   mg25     25   3.3554476E-05  2.3194967E-04  1.9839520E-04  9.1246919E-05  7.8053032E-05  6.7828432E-02
   mg26     26   8.8230881E-06  2.3599334E-04  2.2717025E-04  9.2837661E-05  8.9373774E-05  1.6514100E-02
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   3.6597797E-07  3.6597797E-07  0.0000000E+00  1.4397244E-07  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.6819497E-05  1.6168357E-04  1.4486407E-04  6.3604864E-05  5.6992707E-05  4.7671039E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
