  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -9.9406242E-02  1.5281346E+00  1.6275408E+00  6.6267765E-01  7.0584649E-01 -2.7407931E-02
      d      2   1.3500867E-17  1.3500867E-17  0.0000000E+00  5.8546694E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.2775610E-04  2.2775610E-04  0.0000000E+00  9.8766737E-05  0.0000000E+00  0.0000000E+00
    he4      4   7.7780843E-02  7.2326452E-01  6.4548367E-01  3.1364462E-01  2.7993914E-01  4.9374193E-02
    li7      7  -1.7820135E-08  3.1580849E-09  2.0978220E-08  1.3695077E-09  9.0980219E-09 -8.2238251E-01
    be7      7   9.6115182E-19  9.6115182E-19  0.0000000E+00  4.1680478E-19  0.0000000E+00  0.0000000E+00
     b8      8   6.5117286E-29  6.5117286E-29  0.0000000E+00  2.8238199E-29  0.0000000E+00  0.0000000E+00
    c12     12   1.7116614E-02  2.2892494E-02  5.7758801E-03  9.9273603E-03  2.5049355E-03  5.9803724E-01
    c13     13   9.8138269E-05  1.6813060E-04  6.9992333E-05  7.2910065E-05  3.0354900E-05  3.8055867E-01
    c14     14   1.8441092E-08  1.8441092E-08  0.0000000E+00  7.9970048E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   2.9588381E-03  4.6665296E-03  1.7076915E-03  2.0236468E-03  7.4060698E-04  4.3654692E-01
    n15     15  -2.1728549E-06  2.0333935E-06  4.2062484E-06  8.8178382E-07  1.8242035E-06 -3.1571117E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -8.7260548E-04  1.3074636E-02  1.3947242E-02  5.6698336E-03  6.0487650E-03 -2.8096404E-02
    o17     17   3.2516178E-05  3.8146223E-05  5.6300464E-06  1.6542161E-05  2.4416890E-06  8.3090186E-01
    o18     18  -1.0667225E-05  2.0714071E-05  3.1381296E-05  8.9826844E-06  1.3609721E-05 -1.8044311E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   3.6178997E-06  4.5215952E-06  9.0369554E-07  1.9607958E-06  3.9192281E-07  6.9923180E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.8277358E-06  2.8648418E-03  2.8610141E-03  1.2423425E-03  1.2407904E-03  5.4295518E-04
   ne21     21   1.0257259E-06  8.2269034E-06  7.2011776E-06  3.5676078E-06  3.1230711E-06  5.7795227E-02
   ne22     22   1.9877166E-03  2.2191263E-03  2.3140958E-04  9.6232712E-04  1.0035978E-04  9.8176301E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.3895327E-21  2.3895327E-21  0.0000000E+00  1.0362241E-21  0.0000000E+00  0.0000000E+00
   na23     23   4.4224842E-05  1.2167389E-04  7.7449047E-05  5.2764044E-05  3.3588796E-05  1.9614363E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
