  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -3.3781171E-02  1.0778565E+00  1.1116377E+00  6.8435335E-01  7.0584649E-01 -1.3429864E-02
      d      2   9.4188525E-18  9.4188525E-18  0.0000000E+00  5.9802238E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.4916709E-04  2.4916709E-04  0.0000000E+00  1.5820132E-04  0.0000000E+00  0.0000000E+00
    he4      4   2.6388377E-02  4.6726459E-01  4.4087622E-01  2.9667592E-01  2.7993914E-01  2.5218651E-02
    li7      7  -9.2480210E-09  5.0804565E-09  1.4328477E-08  3.2256866E-09  9.0980219E-09 -4.5032480E-01
    be7      7   8.3159544E-18  8.3159544E-18  0.0000000E+00  5.2799708E-18  0.0000000E+00  0.0000000E+00
     b8      8   2.0221833E-28  2.0221833E-28  0.0000000E+00  1.2839259E-28  0.0000000E+00  0.0000000E+00
    c12     12   4.2923987E-03  8.2374215E-03  3.9450228E-03  5.2301087E-03  2.5049355E-03  3.1971419E-01
    c13     13   6.3226500E-05  1.1103244E-04  4.7805937E-05  7.0496782E-05  3.0354900E-05  3.6594048E-01
    c14     14   7.5212752E-09  7.5212752E-09  0.0000000E+00  4.7754125E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.5029018E-03  2.6692839E-03  1.1663821E-03  1.6947833E-03  7.4060698E-04  3.5952640E-01
    n15     15  -1.2363691E-06  1.6365693E-06  2.8729385E-06  1.0390916E-06  1.8242035E-06 -2.4441949E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   6.3171610E-06  9.5325178E-03  9.5262006E-03  6.0523921E-03  6.0487650E-03  2.6033481E-04
    o17     17   3.1321888E-05  3.5167304E-05  3.8454164E-06  2.2328446E-05  2.4416890E-06  9.6116817E-01
    o18     18  -5.8139030E-06  1.5620049E-05  2.1433952E-05  9.9174913E-06  1.3609721E-05 -1.3744742E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.0409266E-06  1.6581658E-06  6.1723927E-07  1.0528037E-06  3.9192281E-07  4.2914686E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.2146775E-06  1.9553355E-03  1.9541208E-03  1.2414828E-03  1.2407904E-03  2.4227684E-04
   ne21     21   3.0045567E-07  5.2189812E-06  4.9185255E-06  3.3136387E-06  3.1230711E-06  2.5723286E-02
   ne22     22   1.2055243E-03  1.3635809E-03  1.5805663E-04  8.6576567E-04  1.0035978E-04  9.3584067E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.4733972E-23  1.4733972E-23  0.0000000E+00  9.3549027E-24  0.0000000E+00  0.0000000E+00
   na23     23   2.9432074E-05  8.2331077E-05  5.2899002E-05  5.2273699E-05  3.3588796E-05  1.9208881E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   5.0764647E-06  9.3722733E-04  9.3215087E-04  5.9506495E-04  5.9187930E-04  2.3312350E-03
   mg25     25   2.6123744E-06  1.2553809E-04  1.2292572E-04  7.9706726E-05  7.8053032E-05  9.1052055E-03
   mg26     26   2.8974318E-07  1.4104451E-04  1.4075477E-04  8.9552064E-05  8.9373774E-05  8.6548866E-04
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   3.3295219E-06  9.3087350E-05  8.9757828E-05  5.9103077E-05  5.6992707E-05  1.5790813E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
