  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.1377029E-03  2.8471801E-01  2.9285571E-01  6.8606746E-01  7.0584649E-01 -1.2343428E-02
      d      2   2.7246521E-18  2.7246521E-18  0.0000000E+00  6.5654264E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.3169189E-04  1.3169189E-04  0.0000000E+00  3.1732986E-04  0.0000000E+00  0.0000000E+00
    he4      4   7.9818368E-03  1.2412859E-01  1.1614675E-01  2.9910502E-01  2.7993914E-01  2.8760055E-02
    li7      7  -3.7241803E-09  5.0589019E-11  3.7747694E-09  1.2190124E-10  9.0980219E-09 -1.8729389E+00
    be7      7   3.5692874E-19  3.5692874E-19  0.0000000E+00  8.6006921E-19  0.0000000E+00  0.0000000E+00
     b8      8   8.2207567E-29  8.2207567E-29  0.0000000E+00  1.9809051E-28  0.0000000E+00  0.0000000E+00
    c12     12  -1.6093324E-04  8.7836455E-04  1.0392978E-03  2.1165409E-03  2.5049355E-03 -7.3169872E-02
    c13     13   2.2440499E-05  3.5034747E-05  1.2594248E-05  8.4421074E-05  3.0354900E-05  4.4422203E-01
    c14     14   3.0496139E-26  3.0496139E-26  0.0000000E+00  7.3484667E-26  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.6680802E-04  4.7408586E-04  3.0727783E-04  1.1423755E-03  7.4060698E-04  1.8822108E-01
    n15     15  -2.0736064E-07  5.4950141E-07  7.5686205E-07  1.3240997E-06  1.8242035E-06 -1.3915263E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -3.4666155E-06  2.5061660E-03  2.5096326E-03  6.0389540E-03  6.0487650E-03 -7.0498086E-04
    o17     17   4.1877422E-07  1.4318310E-06  1.0130568E-06  3.4501950E-06  2.4416890E-06  1.5015329E-01
    o18     18  -4.3156751E-07  5.2151058E-06  5.6466733E-06  1.2566519E-05  1.3609721E-05 -3.4634247E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19  -1.6189006E-10  1.6244688E-07  1.6260877E-07  3.9143825E-07  3.9192281E-07 -5.3728488E-04
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -4.9476512E-09  5.1479897E-04  5.1480392E-04  1.2404794E-03  1.2407904E-03 -1.0883825E-04
   ne21     21   3.1429863E-09  1.2989052E-06  1.2957622E-06  3.1298919E-06  3.1230711E-06  9.4747933E-04
   ne22     22  -2.0090010E-07  4.1438372E-05  4.1639272E-05  9.9851495E-05  1.0035978E-04 -2.2051195E-03
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22  -3.5075683E-29 -3.5075683E-29  0.0000000E+00 -8.4519712E-29  0.0000000E+00  0.0000000E+00
   na23     23   2.1168034E-07  1.4147672E-05  1.3935992E-05  3.4090775E-05  3.3588796E-05  6.4424193E-03
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24   3.7834980E-10  2.4557111E-04  2.4557073E-04  5.9173757E-04  5.9187930E-04 -1.0402228E-04
   mg25     25  -1.2776582E-08  3.2371427E-05  3.2384203E-05  7.8003432E-05  7.8053032E-05 -2.7605804E-04
   mg26     26   1.2314558E-08  3.7093490E-05  3.7081176E-05  8.9381901E-05  8.9373774E-05  3.9500195E-05
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   1.2023520E-09  2.3647477E-05  2.3646275E-05  5.6981869E-05  5.6992707E-05 -8.2584091E-05
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28  -6.1118044E-10  2.7191054E-04  2.7191115E-04  6.5520609E-04  6.5536553E-04 -1.0565349E-04
   si29     29  -3.2741809E-11  1.4300617E-05  1.4300650E-05  3.4459317E-05  3.4467706E-05 -1.0570527E-04
