  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.7803431E-01  2.5605090E+00  2.7385433E+00  6.5992498E-01  7.0584649E-01 -2.9215688E-02
      d      2   1.9690369E-17  1.9690369E-17  0.0000000E+00  5.0748374E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.8533941E-05  1.8533941E-05  0.0000000E+00  4.7767890E-06  0.0000000E+00  0.0000000E+00
    he4      4   1.4966393E-01  1.2357719E+00  1.0861080E+00  3.1849790E-01  2.7993914E-01  5.6042943E-02
    li7      7  -6.6967498E-09  2.8601756E-08  3.5298505E-08  7.3715865E-09  9.0980219E-09 -9.1386020E-02
    be7      7   7.0691343E-12  7.0691343E-12  0.0000000E+00  1.8219417E-12  0.0000000E+00  0.0000000E+00
     b8      8   1.4705272E-24  1.4705272E-24  0.0000000E+00  3.7900184E-25  0.0000000E+00  0.0000000E+00
    c12     12  -1.6924208E-03  8.0262274E-03  9.7186482E-03  2.0686153E-03  2.5049355E-03 -8.3116814E-02
    c13     13   1.1710949E-03  1.2888659E-03  1.1777095E-04  3.3218192E-04  3.0354900E-05  1.0391471E+00
    c14     14   3.1800180E-08  3.1800180E-08  0.0000000E+00  8.1959222E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   2.8997203E-02  3.1870611E-02  2.8734070E-03  8.2140751E-03  7.4060698E-04  1.0449709E+00
    n15     15  -6.5105382E-06  5.6700679E-07  7.0775450E-06  1.4613576E-07  1.8242035E-06 -1.0963168E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.9907933E-03  2.1477206E-02  2.3467999E-02  5.5353623E-03  6.0487650E-03 -3.8520679E-02
    o17     17   2.7778724E-05  3.7251990E-05  9.4732659E-06  9.6010281E-06  2.4416890E-06  5.9462738E-01
    o18     18  -5.2739208E-05  6.3790203E-08  5.2803000E-05  1.6440774E-08  1.3609721E-05 -2.9179270E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.2825195E-06  3.8031017E-06  1.5205821E-06  9.8018086E-07  3.9192281E-07  3.9810568E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -3.2857060E-06  4.8107328E-03  4.8140185E-03  1.2398795E-03  1.2407904E-03 -3.1892865E-04
   ne21     21  -6.4962724E-06  5.6206200E-06  1.2116892E-05  1.4486134E-06  3.1230711E-06 -3.3362940E-01
   ne22     22   1.6421218E-03  2.0314977E-03  3.8937587E-04  5.2358187E-04  1.0035978E-04  7.1742487E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   7.9710807E-11  7.9710807E-11  0.0000000E+00  2.0544021E-11  0.0000000E+00  0.0000000E+00
   na23     23   6.5596163E-05  1.9591398E-04  1.3031781E-04  5.0493290E-05  3.3588796E-05  1.7703924E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -5.5447919E-05  2.2409256E-03  2.2963735E-03  5.7755812E-04  5.9187930E-04 -1.0637445E-02
   mg25     25   1.4013951E-04  4.4296967E-04  3.0283016E-04  1.1416744E-04  7.8053032E-05  1.6515248E-01
   mg26     26   7.7419390E-05  4.2417174E-04  3.4675235E-04  1.0932261E-04  8.9373774E-05  8.7499872E-02
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   1.0959374E-06  1.0959374E-06  0.0000000E+00  2.8245807E-07  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   5.0064424E-05  2.7118475E-04  2.2112032E-04  6.9892973E-05  5.6992707E-05  8.8614210E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   1.8273946E-05  2.5609613E-03  2.5426873E-03  6.6004158E-04  6.5536553E-04  3.0877034E-03
   si29     29   4.3367327E-06  1.3806454E-04  1.3372781E-04  3.5583642E-05  3.4467706E-05  1.3838023E-02
   si30     30   7.8813464E-06  9.9072517E-05  9.1191170E-05  2.5534153E-05  2.3504090E-05  3.5978001E-02
    p31     31   1.0029235E-06  2.6390813E-05  2.5387890E-05  6.8017557E-06  6.5436075E-06  1.6803775E-02
    p32     32   1.7709231E-29  1.7709231E-29  0.0000000E+00  4.5642347E-30  0.0000000E+00  0.0000000E+00
    p33     33   1.1454465E-29  1.1454465E-29  0.0000000E+00  2.9521815E-30  0.0000000E+00  0.0000000E+00
    s32     32  -6.5946952E-06  1.2118819E-03  1.2184766E-03  3.1234068E-04  3.1405652E-04 -2.3792651E-03
    s33     33   3.8803773E-07  1.0447868E-05  1.0059830E-05  2.6927494E-06  2.5928732E-06  1.6414657E-02
    s34     34   1.8426254E-06  6.0347924E-05  5.8505299E-05  1.5553589E-05  1.5079462E-05  1.3444781E-02
    s35     35   7.2391739E-23  7.2391739E-23  0.0000000E+00  1.8657665E-23  0.0000000E+00  0.0000000E+00
    s36     36   1.4489581E-07  4.3369033E-07  2.8879452E-07  1.1177585E-07  7.4435420E-08  1.7656837E-01
   cl35     35  -1.0273197E-07  1.2396606E-05  1.2499338E-05  3.1950015E-06  3.2216446E-06 -3.6065865E-03
   cl36     36   1.3818307E-08  1.3818307E-08  0.0000000E+00  3.5614194E-09  0.0000000E+00  0.0000000E+00
   cl37     37   8.4608746E-07  5.0692047E-06  4.2231172E-06  1.3064960E-06  1.0884884E-06  7.9284281E-02
   ar36     36  -2.4675974E-06  2.3028842E-04  2.3275602E-04  5.9352686E-05  5.9991758E-05 -4.6512103E-03
   ar37     37   1.1011395E-24  1.1011395E-24  0.0000000E+00  2.8379882E-25  0.0000000E+00  0.0000000E+00
   ar38     38   1.0708900E-06  4.5742039E-05  4.4671149E-05  1.1789185E-05  1.1513776E-05  1.0266000E-02
   ar39     39   6.4398492E-10  6.4398492E-10  0.0000000E+00  1.6597548E-10  0.0000000E+00  0.0000000E+00
   ar40     40   9.3613316E-08  1.6882008E-07  7.5206763E-08  4.3510330E-08  1.9384185E-08  3.5114482E-01
    k39     39   1.2191958E-07  1.2239847E-05  1.2117927E-05  3.1545997E-06  3.1233380E-06  4.3252655E-03
    k40     40   2.6786166E-08  2.8747829E-08  1.9616626E-09  7.4092341E-09  5.0560922E-10  1.1659584E+00
    k41     41   6.0257037E-08  9.7960356E-07  9.1934652E-07  2.5247513E-07  2.3695719E-07  2.7548702E-02
   ca40     40  -1.6052945E-06  2.0819972E-04  2.0980502E-04  5.3659722E-05  5.4076245E-05 -3.3581157E-03
   ca41     41   2.6685839E-08  2.6685839E-08  0.0000000E+00  6.8777934E-09  0.0000000E+00  0.0000000E+00
