2
128,128
2
age,mass
IR,FUV
year,Msun
erg/s,erg/s
1.000000000000e+05,2.100000000000e+00
2.000000000000e+08,1.200000000000e+02
fast_log,fast_log
1.371108830000e+35,1.305531700000e+35,1.243779380000e+35,1.184605280000e+35,1.129426820000e+35,1.076741110000e+35,1.027461332000e+35,9.807179430000e+34,9.362586380000e+34,8.950144700000e+34,8.551507000000e+34,8.175894530000e+34,7.820264810000e+34,7.481015360000e+34,7.160155660000e+34,6.851332710000e+34,6.560397370000e+34,6.286031630000e+34,6.019428280000e+34,5.765079100000e+34,5.523043280000e+34,5.293690320000e+34,5.074679010000e+34,4.864788550000e+34,4.664638610000e+34,4.475248930000e+34,4.295238730000e+34,4.122507110000e+34,3.963014630000e+34,3.811860230000e+34,3.666643130000e+34,3.529323460000e+34,3.399995890000e+34,3.275954560000e+34,3.158385530000e+34,3.046660400000e+34,2.941385110000e+34,2.843578630000e+34,2.750562210000e+34,2.663362910000e+34,2.581821540000e+34,2.507461270000e+34,2.438380690000e+34,2.374684210000e+34,2.317478540000e+34,2.266272470000e+34,2.221725230000e+34,2.183434680000e+34,2.152411260000e+34,2.129565320000e+34,2.119121280000e+34,2.122306420000e+34,2.139207500000e+34,2.171180500000e+34,2.222318120000e+34,2.299578690000e+34,2.412782570000e+34,2.593568790000e+34,2.866437840000e+34,3.269644370000e+34,3.850369160000e+34,4.558203490000e+34,5.423679580000e+34,6.492213730000e+34,7.819917670000e+34,9.410612610000e+34,1.072521313000e+35,1.032794348000e+35,7.499568490000e+34,6.437805980000e+34,6.949742810000e+34,7.818785820000e+34,7.853534820000e+34,7.182881997000e+34,6.765171024000e+34,6.692409684000e+34,6.688254013000e+34,6.683665263000e+34,6.677255541000e+34,6.671334065000e+34,6.666311909000e+34,6.662485963000e+34,6.659856233000e+34,6.658068683000e+34,6.656920256000e+34,6.656275970000e+34,6.656351838000e+34,6.656913794000e+34,6.657951871000e+34,6.659502050000e+34,6.661459357000e+34,6.663926794000e+34,6.666727316000e+34,6.669961954000e+34,6.673696749000e+34,6.677758614000e+34,6.682290612000e+34,6.687303742000e+34,6.692858064000e+34,6.698858474000e+34,6.705394060000e+34,6.712539829000e+34,6.720154701000e+34,6.728418750000e+34,6.737350006000e+34,6.746965456000e+34,6.757246073000e+34,6.768424891000e+34,6.780539900000e+34,6.793604109000e+34,6.807585572000e+34,6.822461253000e+34,6.838381235000e+34,6.855704494000e+34,6.875404551000e+34,6.896642939000e+34,6.919302606000e+34,6.943704630000e+34,6.970039080000e+34,6.998235900000e+34,7.028604190000e+34,7.061274950000e+34,7.096313210000e+34,7.134018080000e+34,7.174626560000e+34,7.218404720000e+34,7.265563610000e+34,7.316370310000e+34
1.429372130000e+35,1.362393990000e+35,1.297804330000e+35,1.236930520000e+35,1.178809890000e+35,1.124810760000e+35,1.073060180000e+35,1.024664351000e+35,9.787016210000e+34,9.352338770000e+34,8.938717950000e+34,8.548922920000e+34,8.178098960000e+34,7.824929610000e+34,7.487487750000e+34,7.167364640000e+34,6.866719870000e+34,6.572800420000e+34,6.296668590000e+34,6.033221180000e+34,5.781757430000e+34,5.542266660000e+34,5.313508000000e+34,5.096681180000e+34,4.889445100000e+34,4.692219040000e+34,4.511724300000e+34,4.337508120000e+34,4.171140590000e+34,4.013621580000e+34,3.863760480000e+34,3.721116660000e+34,3.586500350000e+34,3.458533030000e+34,3.338714440000e+34,3.222212400000e+34,3.116243860000e+34,3.015296080000e+34,2.921315020000e+34,2.832992230000e+34,2.750962710000e+34,2.675517250000e+34,2.606401970000e+34,2.544651160000e+34,2.489396180000e+34,2.441703620000e+34,2.401335410000e+34,2.368592760000e+34,2.346665580000e+34,2.342278520000e+34,2.348924750000e+34,2.370806720000e+34,2.410384730000e+34,2.478540220000e+34,2.572031130000e+34,2.719138760000e+34,2.955180540000e+34,3.304080750000e+34,3.825177050000e+34,4.520959220000e+34,5.341248200000e+34,6.355471380000e+34,7.629859510000e+34,9.218602560000e+34,1.102944409000e+35,1.223958070000e+35,1.088410906000e+35,7.847158830000e+34,7.314709400000e+34,8.074955910000e+34,8.971142730000e+34,8.497343080000e+34,7.714412336000e+34,7.451280775000e+34,7.439590542000e+34,7.438767327000e+34,7.436582255000e+34,7.428934342000e+34,7.354935669000e+34,7.412831374000e+34,7.401917142000e+34,7.375310028000e+34,7.402012967000e+34,7.397172493000e+34,7.368156839000e+34,7.392410044000e+34,7.370308822000e+34,7.345529525000e+34,7.373218408000e+34,7.402522146000e+34,7.378378561000e+34,7.414824930000e+34,7.384864223000e+34,7.416837938000e+34,7.392927453000e+34,7.400902329000e+34,7.377969057000e+34,7.414625750000e+34,7.450951504000e+34,7.427760446000e+34,7.439783442000e+34,7.473052634000e+34,7.459806553000e+34,7.490636868000e+34,7.479865905000e+34,7.498257660000e+34,7.548475620000e+34,7.523021220000e+34,7.544507190000e+34,7.584525320000e+34,7.577846830000e+34,7.622803870000e+34,7.614010450000e+34,7.644332200000e+34,7.700668690000e+34,7.699065610000e+34,7.723221350000e+34,7.779874010000e+34,7.775817770000e+34,7.830497980000e+34,7.882505380000e+34,7.881071730000e+34,7.965724380000e+34,8.030496790000e+34,8.019365240000e+34,8.070038500000e+34,8.137770420000e+34,8.201094590000e+34
1.492034310000e+35,1.421655030000e+35,1.354378120000e+35,1.291293440000e+35,1.230758710000e+35,1.174616920000e+35,1.121246750000e+35,1.070780185000e+35,1.022704828000e+35,9.777749380000e+34,9.343290450000e+34,8.938352710000e+34,8.548376520000e+34,8.180833300000e+34,7.835221570000e+34,7.501527180000e+34,7.178358980000e+34,6.876248880000e+34,6.588077860000e+34,6.313871680000e+34,6.052459700000e+34,5.802210940000e+34,5.565395290000e+34,5.340251420000e+34,5.132019380000e+34,4.932918500000e+34,4.743587930000e+34,4.564576940000e+34,4.392784710000e+34,4.228750990000e+34,4.073375650000e+34,3.925597910000e+34,3.786988360000e+34,3.655935800000e+34,3.531387910000e+34,3.413822580000e+34,3.304515850000e+34,3.201916170000e+34,3.105659330000e+34,3.017405520000e+34,2.935453270000e+34,2.861338590000e+34,2.794212520000e+34,2.734156380000e+34,2.683015270000e+34,2.640745360000e+34,2.607526760000e+34,2.591573480000e+34,2.589747180000e+34,2.600842310000e+34,2.625636500000e+34,2.680229610000e+34,2.762400990000e+34,2.883746300000e+34,3.082717720000e+34,3.385425860000e+34,3.839064040000e+34,4.490879590000e+34,5.297933560000e+34,6.259818820000e+34,7.450858520000e+34,8.971963730000e+34,1.084983861000e+35,1.281660145000e+35,1.369548659000e+35,1.074207488000e+35,8.370496260000e+34,8.275940720000e+34,9.341436600000e+34,9.932590940000e+34,9.040126030000e+34,8.308225480000e+34,8.163735074000e+34,8.154825475000e+34,8.138891166000e+34,8.138940055000e+34,8.130618637000e+34,8.123174329000e+34,8.113564153000e+34,8.101097942000e+34,8.099567403000e+34,8.107419704000e+34,8.084146138000e+34,8.103073269000e+34,8.097910969000e+34,8.102575326000e+34,8.103742635000e+34,8.107501084000e+34,8.108520496000e+34,8.114562263000e+34,8.112802713000e+34,8.121993845000e+34,8.112980057000e+34,8.137064251000e+34,8.143353634000e+34,8.149752917000e+34,8.158548448000e+34,8.156750712000e+34,8.178412160000e+34,8.188930360000e+34,8.197456340000e+34,8.211956740000e+34,8.212771170000e+34,8.240309590000e+34,8.256164330000e+34,8.263921680000e+34,8.293674760000e+34,8.312800620000e+34,8.331366600000e+34,8.356243600000e+34,8.366615770000e+34,8.408848570000e+34,8.434946340000e+34,8.467799250000e+34,8.496510980000e+34,8.534696300000e+34,8.565005070000e+34,8.610177400000e+34,8.655242330000e+34,8.691696270000e+34,8.750482830000e+34,8.806269410000e+34,8.868777650000e+34,8.926738310000e+34,9.010933710000e+34,9.082737900000e+34,9.162748490000e+34,9.247674330000e+34
1.557097180000e+35,1.483760250000e+35,1.413539910000e+35,1.348080200000e+35,1.285730810000e+35,1.226653680000e+35,1.170946670000e+35,1.119155840000e+35,1.068528432000e+35,1.021210588000e+35,9.767927410000e+34,9.341953910000e+34,8.940515760000e+34,8.559109910000e+34,8.191201000000e+34,7.841707570000e+34,7.513581060000e+34,7.198448530000e+34,6.893466240000e+34,6.607781020000e+34,6.339133590000e+34,6.079454620000e+34,5.839872160000e+34,5.611262060000e+34,5.394934040000e+34,5.188376990000e+34,4.990220130000e+34,4.803723740000e+34,4.627057210000e+34,4.457078720000e+34,4.297209360000e+34,4.145098080000e+34,4.002014810000e+34,3.867359140000e+34,3.739600470000e+34,3.619476770000e+34,3.510681510000e+34,3.406045310000e+34,3.308984060000e+34,3.220075300000e+34,3.139802920000e+34,3.067448660000e+34,3.003402610000e+34,2.948703040000e+34,2.903750050000e+34,2.877378730000e+34,2.865537950000e+34,2.858450530000e+34,2.881053140000e+34,2.919684950000e+34,2.985994090000e+34,3.089028360000e+34,3.245281860000e+34,3.509554710000e+34,3.904534360000e+34,4.492885460000e+34,5.273376770000e+34,6.203347380000e+34,7.329062090000e+34,8.754955700000e+34,1.048835452000e+35,1.279644859000e+35,1.475326404000e+35,1.500149706000e+35,1.136015142000e+35,9.229219880000e+34,9.457562060000e+34,1.079126009000e+35,1.073515090000e+35,9.547680110000e+34,9.001436180000e+34,8.973928080000e+34,8.921119460000e+34,8.943144660000e+34,8.928576640000e+34,8.918717170000e+34,8.892582680000e+34,8.863250360000e+34,8.905824790000e+34,8.909106710000e+34,8.853283880000e+34,8.887516110000e+34,8.896521670000e+34,8.922909590000e+34,8.926220060000e+34,8.872302720000e+34,8.933073160000e+34,8.931706500000e+34,8.940280530000e+34,8.933540730000e+34,8.923471600000e+34,8.928661730000e+34,8.897741490000e+34,8.968096290000e+34,8.956337630000e+34,8.972981520000e+34,8.980308460000e+34,8.948820570000e+34,9.021924030000e+34,9.035032900000e+34,9.032546630000e+34,9.054358350000e+34,9.057643190000e+34,9.091364480000e+34,9.108734290000e+34,9.082118470000e+34,9.167805090000e+34,9.200062540000e+34,9.224090390000e+34,9.238552590000e+34,9.251517990000e+34,9.277897470000e+34,9.320934080000e+34,9.354317820000e+34,9.414476550000e+34,9.440703780000e+34,9.528715080000e+34,9.544039320000e+34,9.572397060000e+34,9.626976360000e+34,9.742448060000e+34,9.787989020000e+34,9.862171620000e+34,9.973946380000e+34,1.005178825000e+35,1.014059632000e+35,1.022492207000e+35,1.040048920000e+35
1.624612960000e+35,1.548230110000e+35,1.476567930000e+35,1.406862570000e+35,1.345006390000e+35,1.281063100000e+35,1.223159210000e+35,1.168452400000e+35,1.116849999000e+35,1.066701677000e+35,1.022177784000e+35,9.768008940000e+34,9.344865270000e+34,8.947376420000e+34,8.570902270000e+34,8.212828080000e+34,7.870141490000e+34,7.543657710000e+34,7.217596820000e+34,6.916250720000e+34,6.642552770000e+34,6.383230960000e+34,6.137233170000e+34,5.903258520000e+34,5.679925550000e+34,5.467033190000e+34,5.252682490000e+34,5.059000700000e+34,4.875258810000e+34,4.700776830000e+34,4.537094140000e+34,4.383080440000e+34,4.235182830000e+34,4.096744280000e+34,3.963951820000e+34,3.843568090000e+34,3.730941680000e+34,3.626647250000e+34,3.531111740000e+34,3.442159340000e+34,3.366173120000e+34,3.296102250000e+34,3.245073730000e+34,3.203202270000e+34,3.174018150000e+34,3.164866010000e+34,3.167799870000e+34,3.194185730000e+34,3.245923090000e+34,3.332073840000e+34,3.466320660000e+34,3.681631880000e+34,4.024713830000e+34,4.532349950000e+34,5.278604340000e+34,6.182700480000e+34,7.240682980000e+34,8.558648060000e+34,1.028530427000e+35,1.249665898000e+35,1.502243292000e+35,1.687500772000e+35,1.619119471000e+35,1.172330534000e+35,1.010534344000e+35,1.096119225000e+35,1.216975548000e+35,1.143423757000e+35,1.015363257000e+35,9.793637350000e+34,9.771827120000e+34,9.791125770000e+34,9.787749670000e+34,9.777576790000e+34,9.766088150000e+34,9.743130480000e+34,9.738057620000e+34,9.739275250000e+34,9.746300210000e+34,9.728888490000e+34,9.730486590000e+34,9.727355690000e+34,9.762448220000e+34,9.728465610000e+34,9.769356860000e+34,9.735370280000e+34,9.745217400000e+34,9.748444560000e+34,9.760067240000e+34,9.767694090000e+34,9.779931740000e+34,9.778192260000e+34,9.807788370000e+34,9.802008050000e+34,9.815212380000e+34,9.819414360000e+34,9.839611840000e+34,9.862581200000e+34,9.913879650000e+34,9.901846610000e+34,9.920569170000e+34,9.972949670000e+34,9.959804550000e+34,9.975030940000e+34,1.000423578000e+35,1.005003163000e+35,1.010777309000e+35,1.009564164000e+35,1.014012639000e+35,1.016969012000e+35,1.021577529000e+35,1.024667224000e+35,1.031511881000e+35,1.035499236000e+35,1.039135819000e+35,1.046105895000e+35,1.052200566000e+35,1.057027769000e+35,1.064732184000e+35,1.070421439000e+35,1.082005248000e+35,1.095197481000e+35,1.104425840000e+35,1.111123607000e+35,1.122609447000e+35,1.135182776000e+35,1.147504667000e+35,1.161229639000e+35
1.694578280000e+35,1.614850990000e+35,1.539730380000e+35,1.468560890000e+35,1.401104150000e+35,1.337585140000e+35,1.277053240000e+35,1.220073270000e+35,1.165981850000e+35,1.115458936000e+35,1.066848814000e+35,1.020693488000e+35,9.769348040000e+34,9.352064650000e+34,8.955053900000e+34,8.577914430000e+34,8.222305700000e+34,7.877927120000e+34,7.561817260000e+34,7.262144140000e+34,6.973506780000e+34,6.701575040000e+34,6.444017800000e+34,6.199354000000e+34,5.964942500000e+34,5.743433350000e+34,5.532445790000e+34,5.331108420000e+34,5.142751870000e+34,4.962354730000e+34,4.792297230000e+34,4.633009000000e+34,4.481999200000e+34,4.341257960000e+34,4.210915050000e+34,4.088679740000e+34,3.975502170000e+34,3.875954630000e+34,3.778750020000e+34,3.695950490000e+34,3.623210600000e+34,3.568178070000e+34,3.528880130000e+34,3.502493140000e+34,3.498619850000e+34,3.508158890000e+34,3.543379050000e+34,3.618501030000e+34,3.725234830000e+34,3.901636220000e+34,4.200110940000e+34,4.648591370000e+34,5.305384150000e+34,6.199028530000e+34,7.240908890000e+34,8.497775460000e+34,1.009464046000e+35,1.214335560000e+35,1.476928877000e+35,1.743029766000e+35,1.891695891000e+35,1.697741702000e+35,1.216514028000e+35,1.130528515000e+35,1.261768019000e+35,1.330393363000e+35,1.190470688000e+35,1.088906769000e+35,1.071732957000e+35,1.071693603000e+35,1.070391457000e+35,1.069138234000e+35,1.067747145000e+35,1.066604098000e+35,1.067351453000e+35,1.067319597000e+35,1.064920280000e+35,1.065281678000e+35,1.066455321000e+35,1.064238260000e+35,1.066937798000e+35,1.064728657000e+35,1.067074418000e+35,1.065381410000e+35,1.068190725000e+35,1.066979968000e+35,1.069910009000e+35,1.068299760000e+35,1.070977773000e+35,1.070650140000e+35,1.072352053000e+35,1.074143441000e+35,1.073561776000e+35,1.077053417000e+35,1.077147286000e+35,1.079221503000e+35,1.079641884000e+35,1.081854699000e+35,1.085360603000e+35,1.087662994000e+35,1.088901836000e+35,1.093668329000e+35,1.094413649000e+35,1.098501203000e+35,1.101659928000e+35,1.103029173000e+35,1.106823855000e+35,1.110731744000e+35,1.114868979000e+35,1.119710193000e+35,1.126367976000e+35,1.129093203000e+35,1.134407647000e+35,1.141033605000e+35,1.147214408000e+35,1.153292986000e+35,1.160642951000e+35,1.169235059000e+35,1.177896773000e+35,1.186320919000e+35,1.202198448000e+35,1.213189731000e+35,1.224871667000e+35,1.237730085000e+35,1.251838523000e+35,1.268839306000e+35,1.283418147000e+35,1.300858692000e+35
1.767835770000e+35,1.685389700000e+35,1.607223750000e+35,1.532670390000e+35,1.462564410000e+35,1.396393200000e+35,1.333753320000e+35,1.274639480000e+35,1.219194660000e+35,1.165765700000e+35,1.114695567000e+35,1.067126821000e+35,1.021264540000e+35,9.775637450000e+34,9.364105260000e+34,8.971242380000e+34,8.603850040000e+34,8.263083200000e+34,7.937943550000e+34,7.626361040000e+34,7.324974200000e+34,7.041783990000e+34,6.773438770000e+34,6.518967630000e+34,6.277079600000e+34,6.046934120000e+34,5.831571090000e+34,5.624568700000e+34,5.429457300000e+34,5.244326030000e+34,5.069514480000e+34,4.907023320000e+34,4.754470950000e+34,4.612627580000e+34,4.480752900000e+34,4.358376540000e+34,4.246988750000e+34,4.146529410000e+34,4.057918680000e+34,3.984822690000e+34,3.931139630000e+34,3.891735790000e+34,3.868872050000e+34,3.866751820000e+34,3.889753770000e+34,3.942761050000e+34,4.033996590000e+34,4.181058460000e+34,4.428312730000e+34,4.816462720000e+34,5.404592850000e+34,6.226972460000e+34,7.270441340000e+34,8.450689020000e+34,9.954680360000e+34,1.187044550000e+35,1.433395045000e+35,1.738779649000e+35,2.014604529000e+35,2.102493702000e+35,1.699660514000e+35,1.292124501000e+35,1.283474771000e+35,1.436404950000e+35,1.397453559000e+35,1.237152314000e+35,1.174459229000e+35,1.168152528000e+35,1.167638917000e+35,1.165185591000e+35,1.163621654000e+35,1.161835984000e+35,1.160737928000e+35,1.159961847000e+35,1.159733782000e+35,1.159313159000e+35,1.158945065000e+35,1.159465688000e+35,1.158822530000e+35,1.159445829000e+35,1.160226020000e+35,1.160375536000e+35,1.161538178000e+35,1.161980746000e+35,1.162867623000e+35,1.164355145000e+35,1.165439362000e+35,1.167608061000e+35,1.168486582000e+35,1.171199685000e+35,1.170839673000e+35,1.172375451000e+35,1.175663611000e+35,1.176604136000e+35,1.179815031000e+35,1.180211127000e+35,1.182754740000e+35,1.184202803000e+35,1.187605303000e+35,1.190505579000e+35,1.194048879000e+35,1.196529088000e+35,1.201722471000e+35,1.203687749000e+35,1.209068273000e+35,1.211988305000e+35,1.216310524000e+35,1.221416245000e+35,1.227173285000e+35,1.232026280000e+35,1.237375611000e+35,1.244240061000e+35,1.251381978000e+35,1.260830459000e+35,1.266859613000e+35,1.275153477000e+35,1.284201245000e+35,1.294368048000e+35,1.313066829000e+35,1.324475003000e+35,1.336694107000e+35,1.350200700000e+35,1.365234483000e+35,1.379855354000e+35,1.397510967000e+35,1.419612561000e+35,1.436410905000e+35,1.458711894000e+35
1.843752830000e+35,1.756842840000e+35,1.676996420000e+35,1.599617720000e+35,1.526897450000e+35,1.457964970000e+35,1.392898980000e+35,1.330492330000e+35,1.272919970000e+35,1.217500290000e+35,1.164759790000e+35,1.114848334000e+35,1.067448655000e+35,1.022448585000e+35,9.790787560000e+34,9.392987150000e+34,9.025100320000e+34,8.673713230000e+34,8.335193070000e+34,8.008060150000e+34,7.703265780000e+34,7.400604520000e+34,7.123552670000e+34,6.860294450000e+34,6.609979840000e+34,6.373988600000e+34,6.149919630000e+34,5.937122230000e+34,5.737436130000e+34,5.549251320000e+34,5.367533020000e+34,5.207042920000e+34,5.052668290000e+34,4.910173360000e+34,4.778557750000e+34,4.659421680000e+34,4.552184990000e+34,4.458146200000e+34,4.387327440000e+34,4.334510220000e+34,4.296651960000e+34,4.278077060000e+34,4.281883080000e+34,4.319046920000e+34,4.392248460000e+34,4.516493930000e+34,4.715653220000e+34,5.053301120000e+34,5.582899650000e+34,6.344874450000e+34,7.375669830000e+34,8.498973860000e+34,9.911046890000e+34,1.167091363000e+35,1.404046791000e+35,1.699175177000e+35,2.039940579000e+35,2.286660387000e+35,2.273070694000e+35,1.734769602000e+35,1.397751682000e+35,1.457270394000e+35,1.596942193000e+35,1.439680918000e+35,1.287346027000e+35,1.252459106000e+35,1.250915817000e+35,1.249147700000e+35,1.246716827000e+35,1.246194112000e+35,1.246045375000e+35,1.242485850000e+35,1.242482696000e+35,1.242672146000e+35,1.242339943000e+35,1.241115785000e+35,1.243305345000e+35,1.241520511000e+35,1.242825111000e+35,1.242632145000e+35,1.243914262000e+35,1.244249036000e+35,1.246209517000e+35,1.246556142000e+35,1.249079628000e+35,1.249269508000e+35,1.249866002000e+35,1.252529534000e+35,1.254734488000e+35,1.256446497000e+35,1.259587538000e+35,1.258942221000e+35,1.263491245000e+35,1.266610847000e+35,1.269785821000e+35,1.272400932000e+35,1.276874154000e+35,1.279763457000e+35,1.283522442000e+35,1.289818864000e+35,1.291867580000e+35,1.298515592000e+35,1.301306693000e+35,1.306586786000e+35,1.312325356000e+35,1.318172180000e+35,1.324692191000e+35,1.333422098000e+35,1.338961452000e+35,1.349130374000e+35,1.355508828000e+35,1.364838820000e+35,1.375871133000e+35,1.387527453000e+35,1.396172818000e+35,1.407503855000e+35,1.429478902000e+35,1.441940076000e+35,1.455392922000e+35,1.469518280000e+35,1.486258698000e+35,1.504552518000e+35,1.521924902000e+35,1.543461662000e+35,1.564777555000e+35,1.593034085000e+35,1.618344708000e+35,1.642113165000e+35
1.922429170000e+35,1.833624740000e+35,1.749648250000e+35,1.669498060000e+35,1.593724380000e+35,1.522256600000e+35,1.454199330000e+35,1.389986340000e+35,1.328955150000e+35,1.271006360000e+35,1.216955630000e+35,1.164874482000e+35,1.115614300000e+35,1.068837807000e+35,1.025872577000e+35,9.853453540000e+34,9.465424420000e+34,9.095896580000e+34,8.746696610000e+34,8.408824310000e+34,8.091570940000e+34,7.796125620000e+34,7.501233110000e+34,7.225756750000e+34,6.967255310000e+34,6.726508880000e+34,6.494924240000e+34,6.277102170000e+34,6.073272300000e+34,5.881433760000e+34,5.702606640000e+34,5.534849640000e+34,5.380613680000e+34,5.240018810000e+34,5.112794030000e+34,4.998568690000e+34,4.908135450000e+34,4.835740890000e+34,4.780897770000e+34,4.744456250000e+34,4.737402670000e+34,4.751618140000e+34,4.798310810000e+34,4.910888800000e+34,5.075058460000e+34,5.354799780000e+34,5.813169820000e+34,6.490357470000e+34,7.431399830000e+34,8.620497180000e+34,9.937667010000e+34,1.161443906000e+35,1.375759621000e+35,1.656966180000e+35,2.013695575000e+35,2.370212830000e+35,2.580801244000e+35,2.392248903000e+35,1.752676975000e+35,1.541207736000e+35,1.659406946000e+35,1.722524721000e+35,1.575295772000e+35,1.381271573000e+35,1.348325531000e+35,1.342144606000e+35,1.348336105000e+35,1.353591129000e+35,1.351343232000e+35,1.351062403000e+35,1.343705187000e+35,1.344090217000e+35,1.344568757000e+35,1.348002643000e+35,1.342227166000e+35,1.343039037000e+35,1.341041276000e+35,1.346306824000e+35,1.340094314000e+35,1.345973913000e+35,1.339719702000e+35,1.341905191000e+35,1.340260866000e+35,1.341957117000e+35,1.343112338000e+35,1.343559780000e+35,1.345706893000e+35,1.344091645000e+35,1.350084573000e+35,1.351510674000e+35,1.353187500000e+35,1.359163386000e+35,1.358653788000e+35,1.362102552000e+35,1.364743730000e+35,1.369928854000e+35,1.377598837000e+35,1.379118363000e+35,1.382540058000e+35,1.386393123000e+35,1.391316301000e+35,1.402445632000e+35,1.401982272000e+35,1.414768594000e+35,1.418110672000e+35,1.429167443000e+35,1.433447051000e+35,1.439372412000e+35,1.448966224000e+35,1.461007124000e+35,1.467995575000e+35,1.479499031000e+35,1.488869317000e+35,1.507387765000e+35,1.520833917000e+35,1.548284717000e+35,1.564342966000e+35,1.581988252000e+35,1.600826546000e+35,1.619739829000e+35,1.638414610000e+35,1.664278914000e+35,1.692059060000e+35,1.720341499000e+35,1.747358286000e+35,1.782080238000e+35,1.815880572000e+35,1.845195339000e+35
2.005758580000e+35,1.913035190000e+35,1.825425810000e+35,1.741906830000e+35,1.663658700000e+35,1.589083410000e+35,1.518317870000e+35,1.451520830000e+35,1.388283730000e+35,1.328641440000e+35,1.271694470000e+35,1.218197870000e+35,1.165841287000e+35,1.119302719000e+35,1.075885228000e+35,1.033288726000e+35,9.935907480000e+34,9.552170130000e+34,9.188129730000e+34,8.844738610000e+34,8.519447230000e+34,8.201330150000e+34,7.908382260000e+34,7.621798230000e+34,7.352879970000e+34,7.107598170000e+34,6.872108830000e+34,6.650112590000e+34,6.440557870000e+34,6.246976500000e+34,6.066967050000e+34,5.900729300000e+34,5.748813250000e+34,5.612248930000e+34,5.498210500000e+34,5.405607080000e+34,5.331155430000e+34,5.280038950000e+34,5.252096760000e+34,5.247007290000e+34,5.284010030000e+34,5.364374720000e+34,5.502978030000e+34,5.735104520000e+34,6.137271390000e+34,6.735548640000e+34,7.623882480000e+34,8.764923260000e+34,1.010409167000e+35,1.164720197000e+35,1.361988051000e+35,1.625705828000e+35,1.963545965000e+35,2.369789912000e+35,2.723475115000e+35,2.852382153000e+35,2.453605347000e+35,1.787973947000e+35,1.689758719000e+35,1.837221816000e+35,1.990693786000e+35,1.709190617000e+35,1.565272941000e+35,1.553014414000e+35,1.551620185000e+35,1.553430620000e+35,1.551515650000e+35,1.549892208000e+35,1.548508188000e+35,1.547311687000e+35,1.546812144000e+35,1.545823663000e+35,1.545147409000e+35,1.544928595000e+35,1.544366653000e+35,1.543898621000e+35,1.544023438000e+35,1.543617512000e+35,1.543961050000e+35,1.543596830000e+35,1.543971673000e+35,1.545043576000e+35,1.541973832000e+35,1.544814785000e+35,1.544710591000e+35,1.542296809000e+35,1.545418487000e+35,1.546042959000e+35,1.546719637000e+35,1.547281505000e+35,1.549050676000e+35,1.550122792000e+35,1.547708713000e+35,1.550456073000e+35,1.552339659000e+35,1.554088137000e+35,1.555004047000e+35,1.556814933000e+35,1.558136580000e+35,1.560405607000e+35,1.559614783000e+35,1.565057581000e+35,1.564745601000e+35,1.570458927000e+35,1.573018994000e+35,1.576744660000e+35,1.580470730000e+35,1.582323049000e+35,1.588005491000e+35,1.592792765000e+35,1.597236715000e+35,1.606186147000e+35,1.616026426000e+35,1.646908214000e+35,1.663435426000e+35,1.681337045000e+35,1.700670691000e+35,1.722122090000e+35,1.744170958000e+35,1.770304384000e+35,1.795070788000e+35,1.827692182000e+35,1.859999545000e+35,1.896181182000e+35,1.936294728000e+35,1.980290346000e+35,2.029438663000e+35,2.084728383000e+35
