2
31,21
2
age,mass
luminosity_group0,luminosity_group1
year,Msun
erg/s,erg/s
100000.0,2.1
100000000.0,120.0
log,log
1.26945000e+28,4.31021000e+28,6.33382000e+28,7.28441000e+28,7.54823000e+28,8.48556000e+28,8.03879000e+28,7.49260000e+28,9.55303000e+28,1.10684000e+29,1.22556000e+29,1.45716000e+29,1.65729000e+29,2.12711000e+29,4.50472000e+29,1.42882000e+30,1.50517000e+31,1.74001000e+33,3.61706000e+33,1.16828000e+34,1.04732000e+34,1.05009000e+34,1.05211000e+34,1.05359000e+34,1.05427000e+34,1.05369000e+34,1.05151000e+34,1.04755000e+34,1.04180000e+34,1.03496000e+34,1.02698000e+34
1.05927000e+29,1.35668000e+29,1.47041000e+29,1.48044000e+29,1.44253000e+29,2.35777000e+29,2.77489000e+29,3.03449000e+29,3.20317000e+29,3.38311000e+29,3.89035000e+29,6.53050000e+29,1.07704000e+30,4.40590000e+30,7.81311000e+31,1.88809000e+34,2.81682000e+34,5.06118000e+34,4.99846000e+34,4.97062000e+34,4.93284000e+34,4.92084000e+34,4.88037000e+34,4.92479000e+34,4.78685000e+34,4.82535000e+34,4.70934000e+34,4.72650000e+34,4.72710000e+34,4.68114000e+34,4.67780000e+34
2.42086000e+29,2.58881000e+29,2.60557000e+29,4.01665000e+29,5.17223000e+29,6.25531000e+29,6.62152000e+29,7.06691000e+29,1.03839000e+30,1.58135000e+30,3.24943000e+30,1.92973000e+31,1.24203000e+33,1.25991000e+35,1.25341000e+35,1.35253000e+35,1.34250000e+35,1.31756000e+35,1.37300000e+35,1.37396000e+35,1.28810000e+35,1.30282000e+35,1.34778000e+35,1.29733000e+35,1.34910000e+35,1.33853000e+35,1.36394000e+35,1.33786000e+35,1.35682000e+35,1.37395000e+35,1.38499000e+35
4.28381000e+29,5.25648000e+29,8.35160000e+29,1.04848000e+30,1.19307000e+30,1.33116000e+30,2.47319000e+30,4.19282000e+30,1.59234000e+31,1.92218000e+32,2.58618000e+34,4.96522000e+35,4.60722000e+35,3.70418000e+35,3.71873000e+35,3.71346000e+35,3.61810000e+35,3.66248000e+35,3.73033000e+35,3.78757000e+35,3.60997000e+35,3.81218000e+35,3.74016000e+35,3.76817000e+35,3.69085000e+35,3.69961000e+35,3.75696000e+35,3.85920000e+35,3.91729000e+35,4.07941000e+35,4.29209000e+35
1.04440000e+30,1.69937000e+30,2.21690000e+30,2.81629000e+30,6.64088000e+30,1.90738000e+31,1.06181000e+32,6.18258000e+33,2.97546000e+35,1.25663000e+36,1.14040000e+36,9.05225000e+35,8.88296000e+35,8.93879000e+35,9.19859000e+35,9.10277000e+35,8.80586000e+35,9.06522000e+35,8.84804000e+35,8.96577000e+35,9.07109000e+35,9.01490000e+35,9.42446000e+35,9.32111000e+35,9.28223000e+35,9.51347000e+35,9.95391000e+35,1.04300000e+36,1.11381000e+36,1.17470000e+36,1.21386000e+36
4.39210000e+30,9.84110000e+30,2.93582000e+31,2.12545000e+32,7.58242000e+33,1.95349000e+35,1.68636000e+36,2.06430000e+36,2.36461000e+36,2.09676000e+36,2.07175000e+36,2.07088000e+36,2.07190000e+36,2.07154000e+36,2.07092000e+36,2.08032000e+36,2.08557000e+36,2.09625000e+36,2.10760000e+36,2.11643000e+36,2.13053000e+36,2.16617000e+36,2.20167000e+36,2.22625000e+36,2.34884000e+36,2.48345000e+36,2.64113000e+36,2.83105000e+36,3.08905000e+36,2.11906000e+27,0.00000000e+00
9.30553000e+32,1.65682000e+34,2.23605000e+35,2.06855000e+36,5.95437000e+36,4.53696000e+36,4.76147000e+36,4.58316000e+36,4.54549000e+36,4.58711000e+36,4.54378000e+36,4.57790000e+36,4.53843000e+36,4.53956000e+36,4.57429000e+36,4.59481000e+36,4.67304000e+36,4.67806000e+36,4.64711000e+36,4.78007000e+36,4.88784000e+36,5.05570000e+36,5.24851000e+36,5.52857000e+36,5.94633000e+36,6.58517000e+36,7.40084000e+36,1.72195000e+27,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.97284000e+36,6.95658000e+36,1.32252000e+37,9.63511000e+36,9.71137000e+36,9.29153000e+36,9.30557000e+36,9.32814000e+36,9.46948000e+36,9.37078000e+36,9.11374000e+36,9.53220000e+36,9.05879000e+36,9.58838000e+36,9.47028000e+36,9.50913000e+36,9.72587000e+36,9.70180000e+36,9.91707000e+36,1.01077000e+37,1.06388000e+37,1.12204000e+37,1.20585000e+37,1.32766000e+37,1.51388000e+37,1.75978000e+37,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.53918000e+37,2.17063000e+37,1.87463000e+37,1.86948000e+37,1.83785000e+37,1.83089000e+37,1.85514000e+37,1.78922000e+37,1.86355000e+37,1.85653000e+37,1.83049000e+37,1.84246000e+37,1.84786000e+37,1.86631000e+37,1.88883000e+37,1.92132000e+37,1.96426000e+37,2.01635000e+37,2.08731000e+37,2.18822000e+37,2.33326000e+37,2.53817000e+37,2.84997000e+37,3.25658000e+37,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.71633000e+37,3.46600000e+37,3.54503000e+37,3.56067000e+37,3.54778000e+37,3.57947000e+37,3.47600000e+37,3.51125000e+37,3.48588000e+37,3.47400000e+37,3.56250000e+37,3.58856000e+37,3.63313000e+37,3.69572000e+37,3.76015000e+37,3.86129000e+37,3.98418000e+37,4.18165000e+37,4.44565000e+37,4.81925000e+37,5.35106000e+37,5.92581000e+37,1.51532000e+27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.21769000e+37,6.33669000e+37,6.04100000e+37,6.00337000e+37,5.99246000e+37,6.14149000e+37,6.16114000e+37,6.08437000e+37,6.22405000e+37,6.26833000e+37,6.31349000e+37,6.38727000e+37,6.47365000e+37,6.59581000e+37,6.78433000e+37,7.23218000e+37,7.61203000e+37,7.91786000e+37,8.72536000e+37,9.86660000e+37,1.14648000e+38,2.05686000e+27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.64736000e+37,9.73060000e+37,9.77087000e+37,9.84868000e+37,9.82115000e+37,9.87516000e+37,9.95982000e+37,1.00921000e+38,1.02463000e+38,1.02828000e+38,1.04422000e+38,1.06822000e+38,1.09946000e+38,1.13834000e+38,1.19141000e+38,1.25132000e+38,1.34872000e+38,1.50494000e+38,1.75739000e+38,2.04346000e+38,2.81682000e+27,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.52800000e+38,1.51707000e+38,1.57180000e+38,1.56702000e+38,1.54048000e+38,1.60185000e+38,1.60376000e+38,1.58892000e+38,1.58248000e+38,1.66764000e+38,1.68517000e+38,1.69252000e+38,1.71604000e+38,1.85411000e+38,1.93545000e+38,2.04732000e+38,2.38873000e+38,2.82841000e+38,3.10394000e+38,1.15094000e+28,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.27489000e+38,2.27299000e+38,2.27804000e+38,2.28557000e+38,2.29702000e+38,2.31317000e+38,2.33578000e+38,2.36640000e+38,2.40243000e+38,2.44453000e+38,2.48143000e+38,2.53466000e+38,2.61710000e+38,3.30429000e+38,3.50229000e+38,3.71570000e+38,4.10556000e+38,4.72021000e+38,1.25291000e+38,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.09341000e+38,3.09748000e+38,3.10572000e+38,3.11508000e+38,3.13313000e+38,3.15344000e+38,3.17956000e+38,3.22061000e+38,3.28690000e+38,3.36702000e+38,3.44853000e+38,4.14337000e+38,4.28041000e+38,4.46792000e+38,4.73164000e+38,5.13522000e+38,6.26319000e+38,7.57268000e+38,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
