2
100,100
3
age,mass
luminosity_group0,luminosity_group1,luminosity_group2
year,Msun
erg/s,erg/s,erg/s
100000.0,2.1
200000000.0,120.0
log,log
1.37084000e+35,1.28744000e+35,1.20957000e+35,1.13748000e+35,1.06989000e+35,1.00763000e+35,9.49228000e+34,8.95673000e+34,8.44981000e+34,7.97730000e+34,7.53674000e+34,7.12386000e+34,6.73348000e+34,6.37158000e+34,6.02912000e+34,5.70491000e+34,5.39999000e+34,5.11506000e+34,4.84528000e+34,4.59175000e+34,4.35536000e+34,4.13198000e+34,3.92810000e+34,3.73714000e+34,3.55671000e+34,3.39042000e+34,3.23314000e+34,3.08607000e+34,2.94913000e+34,2.82391000e+34,2.70713000e+34,2.59991000e+34,2.50354000e+34,2.41610000e+34,2.33835000e+34,2.27082000e+34,2.21397000e+34,2.16769000e+34,2.13441000e+34,2.11884000e+34,2.12584000e+34,2.15625000e+34,2.21481000e+34,2.31507000e+34,2.48248000e+34,2.78164000e+34,3.27559000e+34,4.05085000e+34,5.03676000e+34,6.33444000e+34,8.07073000e+34,1.01689000e+35,1.10393000e+35,7.66536000e+34,6.61266000e+34,7.62840000e+34,8.16185000e+34,7.32651000e+34,6.91952000e+34,6.89223000e+34,6.88726000e+34,6.87901000e+34,6.87192000e+34,6.86631000e+34,6.86296000e+34,6.86084000e+34,6.85975000e+34,6.85971000e+34,6.86058000e+34,6.86213000e+34,6.86460000e+34,6.86778000e+34,6.87152000e+34,6.87613000e+34,6.88131000e+34,6.88723000e+34,6.89399000e+34,6.90155000e+34,6.90995000e+34,6.91930000e+34,6.92952000e+34,6.94085000e+34,6.95329000e+34,6.96692000e+34,6.98210000e+34,6.99886000e+34,7.01713000e+34,7.03694000e+34,7.05868000e+34,7.08426000e+34,7.11234000e+34,7.14295000e+34,7.17673000e+34,7.21370000e+34,7.25428000e+34,7.29877000e+34,7.34761000e+34,7.40127000e+34,7.46040000e+34,7.52537000e+34
1.44664000e+35,1.36007000e+35,1.27767000e+35,1.20197000e+35,1.13151000e+35,1.06564000e+35,1.00456000e+35,9.47797000e+34,8.94509000e+34,8.44917000e+34,7.98690000e+34,7.54489000e+34,7.13874000e+34,6.74986000e+34,6.38854000e+34,6.04725000e+34,5.72860000e+34,5.42574000e+34,5.14333000e+34,4.87987000e+34,4.63721000e+34,4.40926000e+34,4.19508000e+34,3.99434000e+34,3.80758000e+34,3.63472000e+34,3.46879000e+34,3.31975000e+34,3.17627000e+34,3.04670000e+34,2.92740000e+34,2.81954000e+34,2.72509000e+34,2.63672000e+34,2.56157000e+34,2.49885000e+34,2.45018000e+34,2.41892000e+34,2.41047000e+34,2.42190000e+34,2.46384000e+34,2.53690000e+34,2.67649000e+34,2.92933000e+34,3.32581000e+34,4.00381000e+34,4.96706000e+34,6.15655000e+34,7.78473000e+34,9.97228000e+34,1.23173000e+35,1.21934000e+35,8.18615000e+34,7.86931000e+34,9.23229000e+34,9.14348000e+34,8.07564000e+34,7.85876000e+34,7.85707000e+34,7.87552000e+34,7.82719000e+34,7.82925000e+34,7.85229000e+34,7.81740000e+34,7.82685000e+34,7.83091000e+34,7.80943000e+34,7.83559000e+34,7.81801000e+34,7.81510000e+34,7.81169000e+34,7.82044000e+34,7.84468000e+34,7.85038000e+34,7.89351000e+34,7.85640000e+34,7.89545000e+34,7.87386000e+34,7.91582000e+34,7.90489000e+34,7.94194000e+34,7.94599000e+34,7.99978000e+34,7.99170000e+34,8.00824000e+34,8.03573000e+34,8.05817000e+34,8.07075000e+34,8.13989000e+34,8.16761000e+34,8.21811000e+34,8.19308000e+34,8.28330000e+34,8.30432000e+34,8.37737000e+34,8.47626000e+34,8.51089000e+34,8.60072000e+34,8.69833000e+34,8.74964000e+34
1.52826000e+35,1.43638000e+35,1.35070000e+35,1.27038000e+35,1.19619000e+35,1.12720000e+35,1.06291000e+35,1.00253000e+35,9.46822000e+34,8.94074000e+34,8.45474000e+34,7.99713000e+34,7.56134000e+34,7.15350000e+34,6.76931000e+34,6.41051000e+34,6.07471000e+34,5.76040000e+34,5.47240000e+34,5.20094000e+34,4.94769000e+34,4.70870000e+34,4.48489000e+34,4.27394000e+34,4.07937000e+34,3.89742000e+34,3.72722000e+34,3.56971000e+34,3.42539000e+34,3.29339000e+34,3.17350000e+34,3.06618000e+34,2.97082000e+34,2.88948000e+34,2.82142000e+34,2.76848000e+34,2.74445000e+34,2.74034000e+34,2.76347000e+34,2.82147000e+34,2.92792000e+34,3.11272000e+34,3.45497000e+34,4.02993000e+34,4.93285000e+34,6.06859000e+34,7.56682000e+34,9.63210000e+34,1.22617000e+35,1.47510000e+35,1.30969000e+35,9.02055000e+34,9.46126000e+34,1.09288000e+35,9.88425000e+34,9.00222000e+34,8.92734000e+34,8.92116000e+34,8.90830000e+34,8.89533000e+34,8.88418000e+34,8.87755000e+34,8.87143000e+34,8.87172000e+34,8.87107000e+34,8.86784000e+34,8.87301000e+34,8.87611000e+34,8.87539000e+34,8.88548000e+34,8.89184000e+34,8.88947000e+34,8.90638000e+34,8.90498000e+34,8.92861000e+34,8.93910000e+34,8.95379000e+34,8.96941000e+34,8.98693000e+34,8.99303000e+34,9.02704000e+34,9.03846000e+34,9.07344000e+34,9.09212000e+34,9.13074000e+34,9.15553000e+34,9.20018000e+34,9.23488000e+34,9.28226000e+34,9.32895000e+34,9.37794000e+34,9.42977000e+34,9.49988000e+34,9.57297000e+34,9.64726000e+34,9.73875000e+34,9.82577000e+34,9.94156000e+34,1.00556000e+35,1.01814000e+35
1.61419000e+35,1.51720000e+35,1.42580000e+35,1.34187000e+35,1.26480000e+35,1.19191000e+35,1.12420000e+35,1.06109000e+35,1.00200000e+35,9.46967000e+34,8.95331000e+34,8.46524000e+34,8.01027000e+34,7.58165000e+34,7.17772000e+34,6.79739000e+34,6.44690000e+34,6.13263000e+34,5.82577000e+34,5.54553000e+34,5.27889000e+34,5.02971000e+34,4.79610000e+34,4.57821000e+34,4.37461000e+34,4.18257000e+34,4.01135000e+34,3.84977000e+34,3.70451000e+34,3.57089000e+34,3.45323000e+34,3.34753000e+34,3.25797000e+34,3.18517000e+34,3.13973000e+34,3.11747000e+34,3.11969000e+34,3.15624000e+34,3.23837000e+34,3.38216000e+34,3.65670000e+34,4.13068000e+34,4.93300000e+34,6.07382000e+34,7.44508000e+34,9.33498000e+34,1.19027000e+35,1.51651000e+35,1.70835000e+35,1.29954000e+35,1.01661000e+35,1.15074000e+35,1.21780000e+35,1.06298000e+35,1.00907000e+35,1.00895000e+35,1.00779000e+35,1.00358000e+35,1.00577000e+35,1.00352000e+35,1.00369000e+35,9.99955000e+34,9.98711000e+34,1.00055000e+35,1.00007000e+35,1.00030000e+35,1.00124000e+35,1.00106000e+35,1.00222000e+35,1.00168000e+35,1.00399000e+35,1.00513000e+35,1.00239000e+35,1.00770000e+35,1.00536000e+35,1.01108000e+35,1.00902000e+35,1.01578000e+35,1.01804000e+35,1.01969000e+35,1.01936000e+35,1.02672000e+35,1.02675000e+35,1.03426000e+35,1.03781000e+35,1.04288000e+35,1.04483000e+35,1.05175000e+35,1.05919000e+35,1.06652000e+35,1.06963000e+35,1.07752000e+35,1.08620000e+35,1.09510000e+35,1.11040000e+35,1.12322000e+35,1.14021000e+35,1.15102000e+35,1.16477000e+35,1.18159000e+35
1.70319000e+35,1.60157000e+35,1.50730000e+35,1.41856000e+35,1.33658000e+35,1.25983000e+35,1.18852000e+35,1.12251000e+35,1.06025000e+35,1.00225000e+35,9.47536000e+34,8.95902000e+34,8.48434000e+34,8.03335000e+34,7.62260000e+34,7.23647000e+34,6.86893000e+34,6.53379000e+34,6.21760000e+34,5.92000000e+34,5.64058000e+34,5.37839000e+34,5.13726000e+34,4.90937000e+34,4.69963000e+34,4.50619000e+34,4.32689000e+34,4.16549000e+34,4.01726000e+34,3.88681000e+34,3.77177000e+34,3.67783000e+34,3.60476000e+34,3.56084000e+34,3.54412000e+34,3.55585000e+34,3.61958000e+34,3.72827000e+34,3.93609000e+34,4.34357000e+34,5.01384000e+34,6.07328000e+34,7.39788000e+34,9.12198000e+34,1.14998000e+35,1.47677000e+35,1.83745000e+35,1.95832000e+35,1.37046000e+35,1.18358000e+35,1.37821000e+35,1.33562000e+35,1.16064000e+35,1.13450000e+35,1.13523000e+35,1.13087000e+35,1.13148000e+35,1.12874000e+35,1.12976000e+35,1.13004000e+35,1.13113000e+35,1.12840000e+35,1.12795000e+35,1.12908000e+35,1.13196000e+35,1.12896000e+35,1.13212000e+35,1.13366000e+35,1.12865000e+35,1.13661000e+35,1.13850000e+35,1.13980000e+35,1.14107000e+35,1.14364000e+35,1.14532000e+35,1.14426000e+35,1.14665000e+35,1.15384000e+35,1.15734000e+35,1.16042000e+35,1.16458000e+35,1.16847000e+35,1.16636000e+35,1.17287000e+35,1.18112000e+35,1.18954000e+35,1.19568000e+35,1.19829000e+35,1.20669000e+35,1.21276000e+35,1.22070000e+35,1.23019000e+35,1.24345000e+35,1.26185000e+35,1.27510000e+35,1.28945000e+35,1.30795000e+35,1.32703000e+35,1.34761000e+35,1.37150000e+35
1.79836000e+35,1.69158000e+35,1.59181000e+35,1.49938000e+35,1.41337000e+35,1.33253000e+35,1.25745000e+35,1.18754000e+35,1.12199000e+35,1.06029000e+35,1.00328000e+35,9.49482000e+34,8.99162000e+34,8.53817000e+34,8.10783000e+34,7.69808000e+34,7.32149000e+34,6.96476000e+34,6.63460000e+34,6.32383000e+34,6.03415000e+34,5.76420000e+34,5.51218000e+34,5.27808000e+34,5.06038000e+34,4.86327000e+34,4.68392000e+34,4.52099000e+34,4.37698000e+34,4.24969000e+34,4.15274000e+34,4.08427000e+34,4.04372000e+34,4.03384000e+34,4.06160000e+34,4.14880000e+34,4.31570000e+34,4.63110000e+34,5.20322000e+34,6.14797000e+34,7.46453000e+34,9.03362000e+34,1.12146000e+35,1.42498000e+35,1.82889000e+35,2.19982000e+35,2.12700000e+35,1.42936000e+35,1.39764000e+35,1.60163000e+35,1.39323000e+35,1.27203000e+35,1.26461000e+35,1.26296000e+35,1.26155000e+35,1.25905000e+35,1.25795000e+35,1.25622000e+35,1.25620000e+35,1.25620000e+35,1.25464000e+35,1.25112000e+35,1.25772000e+35,1.25695000e+35,1.25724000e+35,1.26076000e+35,1.25918000e+35,1.26417000e+35,1.26433000e+35,1.26853000e+35,1.26852000e+35,1.27311000e+35,1.27580000e+35,1.27987000e+35,1.28069000e+35,1.28701000e+35,1.28836000e+35,1.29587000e+35,1.29794000e+35,1.30615000e+35,1.30981000e+35,1.31690000e+35,1.32336000e+35,1.32709000e+35,1.33696000e+35,1.34563000e+35,1.35334000e+35,1.36161000e+35,1.37137000e+35,1.38518000e+35,1.39578000e+35,1.41158000e+35,1.43369000e+35,1.44125000e+35,1.46962000e+35,1.48992000e+35,1.51167000e+35,1.53852000e+35,1.56303000e+35,1.59431000e+35
1.89813000e+35,1.78586000e+35,1.68107000e+35,1.58344000e+35,1.49298000e+35,1.40814000e+35,1.32981000e+35,1.25550000e+35,1.18720000e+35,1.12235000e+35,1.06229000e+35,1.00639000e+35,9.55738000e+34,9.07767000e+34,8.62664000e+34,8.20453000e+34,7.81273000e+34,7.43349000e+34,7.08791000e+34,6.76497000e+34,6.46584000e+34,6.18501000e+34,5.92485000e+34,5.68420000e+34,5.46639000e+34,5.26628000e+34,5.08885000e+34,4.93098000e+34,4.79749000e+34,4.70008000e+34,4.63080000e+34,4.59523000e+34,4.59743000e+34,4.65601000e+34,4.78460000e+34,5.02946000e+34,5.51205000e+34,6.32759000e+34,7.56128000e+34,9.12764000e+34,1.11123000e+35,1.38325000e+35,1.77152000e+35,2.24879000e+35,2.58003000e+35,2.23957000e+35,1.56610000e+35,1.66069000e+35,1.76032000e+35,1.48335000e+35,1.39076000e+35,1.39182000e+35,1.38930000e+35,1.38425000e+35,1.38182000e+35,1.38048000e+35,1.37965000e+35,1.37933000e+35,1.37862000e+35,1.38135000e+35,1.38116000e+35,1.38107000e+35,1.38348000e+35,1.38356000e+35,1.38409000e+35,1.38782000e+35,1.38924000e+35,1.39016000e+35,1.39429000e+35,1.39909000e+35,1.40051000e+35,1.40575000e+35,1.40794000e+35,1.41188000e+35,1.41532000e+35,1.42027000e+35,1.42723000e+35,1.43240000e+35,1.43837000e+35,1.44698000e+35,1.45361000e+35,1.46186000e+35,1.47237000e+35,1.48164000e+35,1.49116000e+35,1.50286000e+35,1.51579000e+35,1.52992000e+35,1.54511000e+35,1.56136000e+35,1.59062000e+35,1.61647000e+35,1.63383000e+35,1.66211000e+35,1.68665000e+35,1.71674000e+35,1.74808000e+35,1.78283000e+35,1.82454000e+35,1.86706000e+35
2.00347000e+35,1.88584000e+35,1.77212000e+35,1.67342000e+35,1.57783000e+35,1.48869000e+35,1.40279000e+35,1.32837000e+35,1.25580000e+35,1.18856000e+35,1.12564000e+35,1.06987000e+35,1.01588000e+35,9.66381000e+34,9.19195000e+34,8.75317000e+34,8.33845000e+34,7.94696000e+34,7.58711000e+34,7.24740000e+34,6.94172000e+34,6.65396000e+34,6.38786000e+34,6.14661000e+34,5.92318000e+34,5.73011000e+34,5.56117000e+34,5.42735000e+34,5.32956000e+34,5.26452000e+34,5.23533000e+34,5.25731000e+34,5.35489000e+34,5.54082000e+34,5.93471000e+34,6.62925000e+34,7.77209000e+34,9.31379000e+34,1.11378000e+35,1.36238000e+35,1.71384000e+35,2.20221000e+35,2.73577000e+35,2.94102000e+35,2.21706000e+35,1.75459000e+35,1.93444000e+35,2.02782000e+35,1.69271000e+35,1.64111000e+35,1.64066000e+35,1.63621000e+35,1.63855000e+35,1.63666000e+35,1.63525000e+35,1.63414000e+35,1.63311000e+35,1.63262000e+35,1.62769000e+35,1.63199000e+35,1.63147000e+35,1.62798000e+35,1.63182000e+35,1.63423000e+35,1.62730000e+35,1.63254000e+35,1.63357000e+35,1.63363000e+35,1.63505000e+35,1.63538000e+35,1.63714000e+35,1.63986000e+35,1.63245000e+35,1.64068000e+35,1.64351000e+35,1.64449000e+35,1.64808000e+35,1.64962000e+35,1.64921000e+35,1.65606000e+35,1.65973000e+35,1.66130000e+35,1.66851000e+35,1.67365000e+35,1.67990000e+35,1.68516000e+35,1.69191000e+35,1.70598000e+35,1.73997000e+35,1.76139000e+35,1.78491000e+35,1.81204000e+35,1.83977000e+35,1.87495000e+35,1.91239000e+35,1.95351000e+35,1.99977000e+35,2.05355000e+35,2.11347000e+35,2.18299000e+35
2.11106000e+35,1.99173000e+35,1.87617000e+35,1.76879000e+35,1.66869000e+35,1.57425000e+35,1.48970000e+35,1.40673000e+35,1.33121000e+35,1.25686000e+35,1.19760000e+35,1.13395000e+35,1.08161000e+35,1.02583000e+35,9.69020000e+34,9.32681000e+34,8.87811000e+34,8.53584000e+34,8.15406000e+34,7.75375000e+34,7.45193000e+34,7.02664000e+34,6.88507000e+34,6.63899000e+34,6.47010000e+34,6.24674000e+34,6.07516000e+34,6.01430000e+34,5.94438000e+34,5.96402000e+34,5.99273000e+34,6.19536000e+34,6.55893000e+34,6.96100000e+34,7.89554000e+34,9.40037000e+34,1.11673000e+35,1.34202000e+35,1.66054000e+35,2.12639000e+35,2.69862000e+35,3.20929000e+35,3.21026000e+35,2.22955000e+35,1.98793000e+35,2.36807000e+35,2.16336000e+35,1.91465000e+35,1.89020000e+35,1.88097000e+35,1.87708000e+35,1.88694000e+35,1.87184000e+35,1.86765000e+35,1.87940000e+35,1.89627000e+35,1.86134000e+35,1.85909000e+35,1.87713000e+35,1.88079000e+35,1.87154000e+35,1.91374000e+35,1.86344000e+35,1.88094000e+35,1.87068000e+35,1.88512000e+35,1.89847000e+35,1.89013000e+35,1.91426000e+35,1.89643000e+35,1.92299000e+35,1.90061000e+35,1.90204000e+35,1.90820000e+35,1.91254000e+35,1.92384000e+35,2.01128000e+35,1.90749000e+35,1.96354000e+35,1.95281000e+35,1.91753000e+35,1.92486000e+35,1.96206000e+35,1.94943000e+35,2.01479000e+35,2.01311000e+35,2.01715000e+35,2.05285000e+35,2.04955000e+35,2.08588000e+35,2.11111000e+35,2.12365000e+35,2.13960000e+35,2.15074000e+35,2.18644000e+35,2.21011000e+35,2.27197000e+35,2.34419000e+35,2.43588000e+35,2.52511000e+35
2.23322000e+35,2.10254000e+35,1.98157000e+35,1.86797000e+35,1.76321000e+35,1.66466000e+35,1.57387000e+35,1.48957000e+35,1.41187000e+35,1.34087000e+35,1.27431000e+35,1.21214000e+35,1.15313000e+35,1.09945000e+35,1.05127000e+35,1.00042000e+35,9.55184000e+34,9.14040000e+34,8.75470000e+34,8.41293000e+34,8.08331000e+34,7.89427000e+34,7.52375000e+34,7.29543000e+34,7.11411000e+34,6.98954000e+34,6.89468000e+34,6.84848000e+34,6.86546000e+34,7.00247000e+34,7.25167000e+34,7.75333000e+34,8.68817000e+34,1.00307000e+35,1.18359000e+35,1.39924000e+35,1.68972000e+35,2.09940000e+35,2.67705000e+35,3.36282000e+35,3.79209000e+35,3.44509000e+35,2.30784000e+35,2.27449000e+35,2.77040000e+35,2.32178000e+35,2.16964000e+35,2.17575000e+35,2.17790000e+35,2.14320000e+35,2.15605000e+35,2.20912000e+35,2.21097000e+35,2.19306000e+35,2.13792000e+35,2.18055000e+35,2.18518000e+35,2.19121000e+35,2.18070000e+35,2.17900000e+35,2.15560000e+35,2.20909000e+35,2.19551000e+35,2.20605000e+35,2.18887000e+35,2.21260000e+35,2.19337000e+35,2.22066000e+35,2.21964000e+35,2.23624000e+35,2.21704000e+35,2.24162000e+35,2.23495000e+35,2.25846000e+35,2.22718000e+35,2.23657000e+35,2.27470000e+35,2.32286000e+35,2.29103000e+35,2.32376000e+35,2.32340000e+35,2.33962000e+35,2.36175000e+35,2.40505000e+35,2.39552000e+35,2.45081000e+35,2.45578000e+35,2.42863000e+35,2.53155000e+35,2.51500000e+35,2.55640000e+35,2.59449000e+35,2.63930000e+35,2.65050000e+35,2.68625000e+35,2.72969000e+35,2.77405000e+35,2.83681000e+35,2.87429000e+35,2.98128000e+35
