  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -2.3328018E-01  2.4248753E+00  2.6581554E+00  6.6856229E-01  7.3292029E-01 -3.9914854E-02
      d      2   1.7953336E-17  1.7953336E-17  0.0000000E+00  4.9499137E-18  0.0000000E+00  0.0000000E+00
    he3      3   3.1720847E-07  3.1720847E-07  0.0000000E+00  8.7457536E-08  0.0000000E+00  0.0000000E+00
    he4      4   1.8510449E-01  1.1279700E+00  9.4286549E-01  3.1099257E-01  2.5997174E-01  7.7823885E-02
    li7      7  -1.5680035E-08  8.2011226E-10  1.6500147E-08  2.2611311E-10  4.5495052E-09 -1.3036385E+00
    be7      7   1.0376817E-12  1.0376817E-12  0.0000000E+00  2.8609916E-13  0.0000000E+00  0.0000000E+00
     b8      8   2.0366983E-25  2.0366983E-25  0.0000000E+00  5.6153800E-26  0.0000000E+00  0.0000000E+00
    c12     12  -8.2588918E-04  3.7170544E-03  4.5429436E-03  1.0248289E-03  1.2526038E-03 -8.7162390E-02
    c13     13   6.0134736E-04  6.5639894E-04  5.5051562E-05  1.8097572E-04  1.5179100E-05  1.0763743E+00
    c14     14   7.1194552E-09  7.1194552E-09  0.0000000E+00  1.9629047E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.6998523E-02  4.8341688E-02  1.3431627E-03  1.3328285E-02  3.7034374E-04  1.5561693E+00
    n15     15  -2.4087794E-06  8.9959076E-07  3.3083702E-06  2.4802614E-07  9.1220090E-07 -5.6559306E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.4870306E-03  9.4829928E-03  1.0970023E-02  2.6145556E-03  3.0247113E-03 -6.3286036E-02
    o17     17   1.6495505E-05  2.0923746E-05  4.4282406E-06  5.7688853E-06  1.2209773E-06  6.7438430E-01
    o18     18  -2.4672669E-05  9.8807948E-09  2.4682549E-05  2.7242335E-09  6.8055997E-06 -3.3976221E+00
