  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.9030027E-02  2.2202551E+00  2.3092852E+00  7.0461923E-01  7.3292029E-01 -1.7102249E-02
      d      2   1.8931848E-17  1.8931848E-17  0.0000000E+00  6.0082032E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.8604461E-04  1.8604461E-04  0.0000000E+00  5.9043035E-05  0.0000000E+00  0.0000000E+00
    he4      4   6.7666888E-02  8.8678586E-01  8.1911898E-01  2.8142998E-01  2.5997174E-01  3.4444205E-02
    li7      7   7.6614576E-08  9.0949158E-08  1.4334581E-08  2.8863585E-08  4.5495052E-09  8.0238611E-01
    be7      7   6.5301551E-13  6.5301551E-13  0.0000000E+00  2.0724072E-13  0.0000000E+00  0.0000000E+00
     b8      8   1.2025518E-24  1.2025518E-24  0.0000000E+00  3.8164132E-25  0.0000000E+00  0.0000000E+00
    c12     12   1.5059405E-02  1.9006109E-02  3.9467039E-03  6.0317703E-03  1.2526038E-03  6.8263102E-01
    c13     13   7.5990183E-04  8.0772815E-04  4.7826306E-05  2.5634025E-04  1.5179100E-05  1.2275708E+00
    c14     14   1.7760185E-07  1.7760185E-07  0.0000000E+00  5.6363646E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   2.2319113E-03  3.3987905E-03  1.1668791E-03  1.0786387E-03  3.7034374E-04  4.6427101E-01
    n15     15  -2.7549852E-06  1.1917736E-07  2.8741626E-06  3.7822076E-08  9.1220090E-07 -1.3823452E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
