  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1  -2.2406762E-42 -2.2406762E-42  0.0000000E+00 -3.6083435E-42  0.0000000E+00  0.0000000E+00
      p      1  -1.4043480E-02  4.4102672E-01  4.5507020E-01  7.1018797E-01  7.3292029E-01 -1.3683445E-02
      d      2   2.4310602E-18  2.4310602E-18  0.0000000E+00  3.9147509E-18  0.0000000E+00  0.0000000E+00
    he3      3   1.9071593E-04  1.9071593E-04  0.0000000E+00  3.0711101E-04  0.0000000E+00  0.0000000E+00
    he4      4   1.3819560E-02  1.7523600E-01  1.6141644E-01  2.8218359E-01  2.5997174E-01  3.5605602E-02
    li7      7  -1.5579323E-09  1.2668554E-09  2.8247877E-09  2.0400248E-09  4.5495052E-09 -3.4832871E-01
    be7      7   3.5072350E-18  3.5072350E-18  0.0000000E+00  5.6477216E-18  0.0000000E+00  0.0000000E+00
     b8      8   1.8802187E-28  1.8802187E-28  0.0000000E+00  3.0277275E-28  0.0000000E+00  0.0000000E+00
    c12     12  -2.0985026E-04  5.6789140E-04  7.7774166E-04  9.1447891E-04  1.2526038E-03 -1.3664004E-01
    c13     13   1.6013324E-05  2.5438027E-05  9.4247025E-06  4.0963005E-05  1.5179100E-05  4.3114579E-01
    c14     14   1.5096037E-26  1.5096037E-26  0.0000000E+00  2.4309239E-26  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   2.3135426E-04  4.6130069E-04  2.2994642E-04  7.4283528E-04  3.7034374E-04  3.0228752E-01
    n15     15  -2.1840617E-07  3.4797932E-07  5.6638549E-07  5.6035316E-07  9.1220090E-07 -2.1162868E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -4.1248277E-06  1.8739183E-03  1.8780432E-03  3.0175820E-03  3.0247113E-03 -1.0248430E-03
    o17     17   8.0356949E-07  1.5616743E-06  7.5810476E-07  2.5147733E-06  1.2209773E-06  3.1379125E-01
    o18     18  -7.9951610E-07  3.4260809E-06  4.2255970E-06  5.5170385E-06  6.8055997E-06 -9.1160394E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19  -1.0388135E-11  1.2167527E-07  1.2168566E-07  1.9593442E-07  1.9598269E-07 -1.0699989E-04
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -9.1094989E-09  3.8523602E-04  3.8524513E-04  6.2034786E-04  6.2046252E-04 -8.0279809E-05
   ne21     21   2.7482656E-09  9.7241104E-07  9.6966278E-07  1.5658793E-06  1.5617053E-06  1.1591784E-03
   ne22     22  -3.2456592E-07  3.0835512E-05  3.1160078E-05  4.9654609E-05  5.0185346E-05 -4.6173544E-03
