  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.2194455E-01  1.7263339E+00  1.8482784E+00  6.8450981E-01  7.3292029E-01 -2.9677063E-02
      d      2   1.6353314E-17  1.6353314E-17  0.0000000E+00  6.4842639E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.3518861E-04  2.3518861E-04  0.0000000E+00  9.3254799E-05  0.0000000E+00  0.0000000E+00
    he4      4   9.3145847E-02  7.4874258E-01  6.5559673E-01  2.9688445E-01  2.5997174E-01  5.7661332E-02
    li7      7  -1.1425269E-08  4.7673438E-11  1.1472943E-08  1.8903028E-11  4.5495052E-09 -2.3814328E+00
    be7      7   6.6610022E-18  6.6610022E-18  0.0000000E+00  2.6411585E-18  0.0000000E+00  0.0000000E+00
     b8      8   3.5424767E-29  3.5424767E-29  0.0000000E+00  1.4046299E-29  0.0000000E+00  0.0000000E+00
    c12     12   2.3351725E-02  2.6510540E-02  3.1588161E-03  1.0511713E-02  1.2526038E-03  9.2385978E-01
    c13     13   5.5630459E-05  9.3909111E-05  3.8278653E-05  3.7235968E-05  1.5179100E-05  3.8971663E-01
    c14     14   3.6039861E-08  3.6039861E-08  0.0000000E+00  1.4290190E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   1.7962775E-03  2.7302103E-03  9.3393290E-04  1.0825576E-03  3.7034374E-04  4.6584600E-01
    n15     15  -1.3401079E-06  9.6028020E-07  2.3003881E-06  3.8076138E-07  9.1220090E-07 -3.7943760E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -2.2421917E-04  7.4034980E-03  7.6277172E-03  2.9355662E-03  3.0247113E-03 -1.2992035E-02
    o17     17   2.8296505E-05  3.1375566E-05  3.0790607E-06  1.2440748E-05  1.2209773E-06  1.0081389E+00
    o18     18  -6.7747987E-06  1.0387563E-05  1.7162361E-05  4.1187795E-06  6.8055997E-06 -2.1809784E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   6.1483706E-06  6.6425996E-06  4.9422920E-07  2.6338619E-06  1.9598269E-07  1.1283753E+00
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   3.0540396E-05  1.5952229E-03  1.5646825E-03  6.3252292E-04  6.2046252E-04  8.3607286E-03
   ne21     21   2.7825445E-06  6.7208530E-06  3.9383085E-06  2.6648902E-06  1.5617053E-06  2.3208024E-01
   ne22     22   3.3828402E-03  3.5093976E-03  1.2655741E-04  1.3915137E-03  5.0185346E-05  1.4429106E+00
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   2.0093679E-18  2.0093679E-18  0.0000000E+00  7.9673587E-19  0.0000000E+00  0.0000000E+00
   na23     23   4.2710395E-05  8.5067113E-05  4.2356718E-05  3.3730019E-05  1.6796224E-05  3.0280495E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
