  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.0239525E-01  2.9534268E+00  3.3558221E+00  6.4499384E-01  7.3292029E-01 -5.5501182E-02
      d      2   2.1180307E-17  2.1180307E-17  0.0000000E+00  4.6255311E-18  0.0000000E+00  0.0000000E+00
    he3      3   7.2176887E-09  7.2176887E-09  0.0000000E+00  1.5762587E-09  0.0000000E+00  0.0000000E+00
    he4      4   3.5890055E-01  1.5492332E+00  1.1903327E+00  3.3833438E-01  2.5997174E-01  1.1442002E-01
    li7      7  -2.0808882E-08  2.1940057E-11  2.0830822E-08  4.7914515E-12  4.5495052E-09 -2.9774971E+00
    be7      7   1.9466289E-13  1.9466289E-13  0.0000000E+00  4.2512096E-14  0.0000000E+00  0.0000000E+00
     b8      8   6.3755754E-27  6.3755754E-27  0.0000000E+00  1.3923511E-27  0.0000000E+00  0.0000000E+00
    c12     12  -2.1683071E-03  3.5669901E-03  5.7352972E-03  7.7898888E-04  1.2526038E-03 -2.0628247E-01
    c13     13   6.3339656E-04  7.0289709E-04  6.9500544E-05  1.5350450E-04  1.5179100E-05  1.0048751E+00
    c14     14   3.1107170E-09  3.1107170E-09  0.0000000E+00  6.7934419E-10  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.8727907E-02  5.0423600E-02  1.6956929E-03  1.1011924E-02  3.7034374E-04  1.4732583E+00
    n15     15  -3.0684869E-06  1.1082074E-06  4.1766943E-06  2.4201952E-07  9.1220090E-07 -5.7624012E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -5.9341015E-03  7.9151439E-03  1.3849245E-02  1.7285747E-03  3.0247113E-03 -2.4299578E-01
