  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.7071187E-02  6.0217315E-01  6.1924434E-01  7.1263093E-01  7.3292029E-01 -1.2192077E-02
      d      2   3.7280021E-18  3.7280021E-18  0.0000000E+00  4.4118369E-18  0.0000000E+00  0.0000000E+00
    he3      3   2.5882755E-04  2.5882755E-04  0.0000000E+00  3.0630478E-04  0.0000000E+00  0.0000000E+00
    he4      4   1.6457021E-02  2.3610714E-01  2.1965012E-01  2.7941674E-01  2.5997174E-01  3.1326268E-02
    li7      7  -2.3520705E-09  1.4918068E-09  3.8438772E-09  1.7654518E-09  4.5495052E-09 -4.1110831E-01
    be7      7   5.0029807E-18  5.0029807E-18  0.0000000E+00  5.9206871E-18  0.0000000E+00  0.0000000E+00
     b8      8   4.1976264E-28  4.1976264E-28  0.0000000E+00  4.9676050E-28  0.0000000E+00  0.0000000E+00
    c12     12  -7.7086501E-05  9.8123855E-04  1.0583251E-03  1.1612290E-03  1.2526038E-03 -3.2895867E-02
    c13     13   2.0747852E-05  3.3572673E-05  1.2824821E-05  3.9730970E-05  1.5179100E-05  4.1788316E-01
    c14     14   1.9505468E-09  1.9505468E-09  0.0000000E+00  2.3083393E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   3.7684984E-04  6.8975327E-04  3.1290343E-04  8.1627606E-04  3.7034374E-04  3.4323207E-01
    n15     15  -3.3102958E-07  4.3968896E-07  7.7071854E-07  5.2034193E-07  9.1220090E-07 -2.4380171E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16   5.4393895E-06  2.5610179E-03  2.5555785E-03  3.0307902E-03  3.0247113E-03  8.7194721E-04
    o17     17   3.2733051E-06  4.3049090E-06  1.0316038E-06  5.0945669E-06  1.2209773E-06  6.2039971E-01
