  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    s34     34   6.6500434E-08  1.2032601E-05  1.1966101E-05  7.5819794E-06  7.5405505E-06  2.3795343E-03
    s35     35   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    s36     36   1.9882158E-08  7.8949370E-08  5.9067212E-08  4.9747555E-08  3.7221753E-08  1.2597491E-01
   cl35     35  -1.6805416E-08  2.5396869E-06  2.5564923E-06  1.6003067E-06  1.6109974E-06 -2.8915934E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   1.9545757E-07  1.0592127E-06  8.6375508E-07  6.6743075E-07  5.4430336E-07  8.8565193E-02
   ar36     36  -3.1926174E-07  4.7286379E-05  4.7605641E-05  2.9796080E-05  2.9999139E-05 -2.9496567E-03
   ar37     37   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ar38     38   1.0194162E-07  9.2385426E-06  9.1366010E-06  5.8213877E-06  5.7575144E-06  4.7914712E-03
   ar39     39   6.1194639E-12  6.1194639E-12  0.0000000E+00  3.8559950E-12  0.0000000E+00  0.0000000E+00
   ar40     40   2.3878584E-08  3.9260641E-08  1.5382057E-08  2.4738904E-08  9.6931458E-09  4.0691572E-01
    k39     39   2.1533424E-08  2.5000156E-06  2.4784822E-06  1.5753092E-06  1.5618388E-06  3.7295877E-03
    k40     40  -4.0121928E-10  0.0000000E+00  4.0121928E-10  0.0000000E+00  2.5283206E-10  0.0000000E+00
    k41     41   2.7659482E-08  2.1569362E-07  1.8803414E-07  1.3591280E-07  1.1849146E-07  5.9573289E-02
   ca40     40  -2.2892345E-07  4.2682543E-05  4.2911466E-05  2.6895112E-05  2.7041060E-05 -2.3503490E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   1.8116680E-08  3.1884460E-07  3.0072792E-07  2.0091026E-07  1.8950651E-07  2.5377974E-02
   ca43     43   3.5661074E-09  6.7807399E-08  6.4241291E-08  4.2726779E-08  4.0482252E-08  2.3435492E-02
   ca44     44   2.0231710E-08  1.0359850E-06  1.0157532E-06  6.5279454E-07  6.4008640E-07  8.5379323E-03
   ca45     45   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca46     46   1.7863329E-08  1.9899625E-08  2.0362969E-09  1.2539146E-08  1.2831914E-09  9.8997647E-01
   ca47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca48     48  -1.9709745E-10  9.9138411E-08  9.9335509E-08  6.2469070E-08  6.2597195E-08 -8.8983512E-04
   sc45     45   4.1559716E-09  3.2813109E-08  2.8657137E-08  2.0676186E-08  1.8058563E-08  5.8787256E-02
   sc46     46   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   sc47     47   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   sc48     48  -3.5817783E-32  1.8038388E-29  1.8074206E-29  1.1366344E-29  1.1389629E-29  0.0000000E+00
   ti46     46   3.5313121E-09  1.7861117E-07  1.7507986E-07  1.1254642E-07  1.1032820E-07  8.6451834E-03
   ti47     47   4.2078341E-10  1.6174403E-07  1.6132324E-07  1.0191810E-07  1.0165935E-07  1.1039784E-03
   ti48     48  -1.4077841E-08  1.6183984E-06  1.6324763E-06  1.0197848E-06  1.0287201E-06 -3.7887108E-03
   ti49     49   1.8968237E-08  1.4126456E-07  1.2229633E-07  8.9013589E-08  7.7066169E-08  6.2592551E-02
   ti50     50   6.7845974E-08  1.8733451E-07  1.1948853E-07  1.1804317E-07  7.5296811E-08  1.9526428E-01
    v51     51  -1.8077913E-09  2.6152412E-07  2.6333191E-07  1.6479150E-07  1.6594106E-07 -3.0190402E-03
   cr52     52  -4.9148184E-08  1.0745614E-05  1.0794763E-05  6.7710234E-06  6.8024206E-06 -2.0091720E-03
   cr53     53  -6.4900405E-09  1.2410825E-06  1.2475725E-06  7.8203055E-07  7.8616949E-07 -2.2924698E-03
   cr54     54   3.8100467E-08  3.5450748E-07  3.1640701E-07  2.2338214E-07  1.9938683E-07  4.9351964E-02
   mn55     55   2.1758206E-07  9.6449266E-06  9.4273446E-06  6.0774582E-06  5.9407294E-06  9.8822135E-03
   fe54     54  -8.1584585E-07  6.1300263E-05  6.2116109E-05  3.8626506E-05  3.9143044E-05 -5.7691741E-03
   fe55     55   1.3393127E-24  1.3393127E-24  0.0000000E+00  8.4392734E-25  0.0000000E+00  0.0000000E+00
   fe56     56  -6.2251929E-06  1.0049646E-03  1.0111898E-03  6.3324801E-04  6.3721073E-04 -2.7092455E-03
   fe57     57   1.8642622E-06  2.5634166E-05  2.3769904E-05  1.6152593E-05  1.4978827E-05  3.2764427E-02
   fe58     58   1.4147204E-06  4.6335690E-06  3.2188486E-06  2.9197031E-06  2.0283876E-06  1.5818775E-01
   fe59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   3.7539417E-07  2.8577876E-06  2.4823935E-06  1.8007484E-06  1.5643035E-06  6.1132006E-02
   co60     60   1.2745532E-14  1.2745532E-14  0.0000000E+00  8.0312107E-15  0.0000000E+00  0.0000000E+00
   ni58     58  -4.6882269E-07  3.5049314E-05  3.5518136E-05  2.2085263E-05  2.2382086E-05 -5.7979776E-03
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   1.2200690E-07  1.4275460E-05  1.4153453E-05  8.9952491E-06  8.9189307E-06  3.7004317E-03
   ni61     61   1.3274854E-07  7.5825642E-07  6.2550788E-07  4.7779230E-07  3.9416963E-07  8.3555974E-02
   ni62     62   1.5940486E-07  2.1864162E-06  2.0270113E-06  1.3777039E-06  1.2773401E-06  3.2849349E-02
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   4.0147387E-07  9.3436051E-07  5.3288665E-07  5.8875901E-07  3.3580349E-07  2.4385235E-01
   cu63     63   5.7412507E-08  4.9723843E-07  4.3982593E-07  3.1331973E-07  2.7716041E-07  5.3256538E-02
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   1.0071159E-07  3.0296900E-07  2.0225741E-07  1.9090675E-07  1.2745440E-07  1.7546645E-01
   zn64     64   1.7196442E-08  7.7075248E-07  7.5355604E-07  4.8566636E-07  4.7486037E-07  9.7720791E-03
   zn65     65   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn66     66   1.0518707E-07  5.5101822E-07  4.4583115E-07  3.4720745E-07  2.8094465E-07  9.1968268E-02
   zn67     67   2.3803700E-08  9.0311715E-08  6.6508015E-08  5.6907194E-08  4.1910646E-08  1.3284284E-01
   zn68     68   1.4060265E-07  4.4929737E-07  3.0869472E-07  2.8311115E-07  1.9452685E-07  1.6297743E-01
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   6.1080474E-10  1.1118670E-08  1.0507866E-08  7.0060935E-09  6.6216299E-09  2.4511002E-02
   ga69     69   2.3840322E-08  5.2141445E-08  2.8301123E-08  3.2855354E-08  1.7834218E-08  2.6535207E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   2.8657519E-08  4.7984507E-08  1.9326988E-08  3.0235984E-08  1.2179081E-08  3.9490959E-01
   ge70     70   4.4401197E-08  7.5879811E-08  3.1478613E-08  4.7813366E-08  1.9836543E-08  3.8208336E-01
   ge71     71   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ge72     72   5.1868579E-08  9.4655960E-08  4.2787381E-08  5.9644584E-08  2.6962867E-08  3.4480494E-01
   ge73     73   1.5012409E-08  2.7189156E-08  1.2176747E-08  1.7132423E-08  7.6732904E-09  3.4883717E-01
   ge74     74   6.9915657E-08  1.2784787E-07  5.7932208E-08  8.0559467E-08  3.6506520E-08  3.4374613E-01
   as75     75   6.3697341E-09  1.4863091E-08  8.4933571E-09  9.3655270E-09  5.3521680E-09  2.4300249E-01
