# x rho vel Tmat Trad Frad/c
5.447537621498837329e-03 1.005473635519668951e+00 2.983668486195045766e+00 1.075652392561548432e+00 1.328407922492473414e+00 -1.124045226918720219e+00
5.465624673580001328e-03 1.005566231253714582e+00 2.983393740519384441e+00 1.076917505602373426e+00 1.332178511278955479e+00 -1.142796835198567784e+00
5.483449309335705971e-03 1.005659016081391854e+00 2.983118484523385128e+00 1.078184716635782969e+00 1.335924092339659586e+00 -1.161578021816244588e+00
5.501019614087158949e-03 1.005751990517966821e+00 2.982842716975371289e+00 1.079454029927554348e+00 1.339645131616284290e+00 -1.180388841551493817e+00
5.518343243258045858e-03 1.005845155080462794e+00 2.982566436640055496e+00 1.080725449752941492e+00 1.343342082077672917e+00 -1.199229349281992318e+00
5.535427564723027771e-03 1.005938510287665233e+00 2.982289642278531439e+00 1.081998980396693844e+00 1.347015384138581684e+00 -1.218099599982366721e+00
5.552279582212131179e-03 1.006032056660131735e+00 2.982012332648254382e+00 1.083274626153074349e+00 1.350665466219358679e+00 -1.236999648725770617e+00
5.568906021699075032e-03 1.006125794720197364e+00 2.981734506503033177e+00 1.084552391325878773e+00 1.354292745118964358e+00 -1.255929550682670204e+00
5.585313309027666040e-03 1.006219724991983311e+00 2.981456162593017378e+00 1.085832280228454128e+00 1.357897626488157039e+00 -1.274889361121690046e+00
5.601507606284821320e-03 1.006313848001402889e+00 2.981177299664684366e+00 1.087114297183718881e+00 1.361480505201991820e+00 -1.293879135409414793e+00
5.617494820095880748e-03 1.006408164276169748e+00 2.980897916460826913e+00 1.088398446524180052e+00 1.365041765746884295e+00 -1.312898929009965743e+00
5.633280614938654743e-03 1.006502674345805870e+00 2.980618011720538085e+00 1.089684732591951866e+00 1.368581782628202737e+00 -1.331948797486047553e+00
5.648870433880508191e-03 1.006597378741646898e+00 2.980337584179204580e+00 1.090973159738777287e+00 1.372100920658042122e+00 -1.351028796497834472e+00
5.664269493970993871e-03 1.006692277996852569e+00 2.980056632568487185e+00 1.092263732326043124e+00 1.375599535383172034e+00 -1.370138981804519984e+00
5.679482820914013436e-03 1.006787372646411383e+00 2.979775155616313675e+00 1.093556454724802007e+00 1.379077973301610527e+00 -1.389279409262599074e+00
5.694515231294119961e-03 1.006882663227149699e+00 2.979493152046862825e+00 1.094851331315789489e+00 1.382536572241645834e+00 -1.408450134826968014e+00
5.709371371363663322e-03 1.006978150277739070e+00 2.979210620580552860e+00 1.096148366489443138e+00 1.385975661632887546e+00 -1.427651214550732517e+00
5.724055699505105343e-03 1.007073834338703344e+00 2.978927559934028579e+00 1.097447564645921858e+00 1.389395562790409766e+00 -1.446882704585290336e+00
5.738572518478602877e-03 1.007169715952427991e+00 2.978643968820146704e+00 1.098748930195124096e+00 1.392796589219694070e+00 -1.466144661180774245e+00
5.752925963506192245e-03 1.007265795663165431e+00 2.978359845947965212e+00 1.100052467556707159e+00 1.396179046809634450e+00 -1.485437140685126556e+00
5.767120027581179240e-03 1.007362074017043918e+00 2.978075190022730467e+00 1.101358181160104976e+00 1.399543234123362900e+00 -1.504760199544726396e+00
5.781158554265483987e-03 1.007458551562076199e+00 2.977789999745860783e+00 1.102666075444548976e+00 1.402889442643509677e+00 -1.524113894304662598e+00
5.795045254988279160e-03 1.007555228848165063e+00 2.977504273814938429e+00 1.103976154859084735e+00 1.406217956968651928e+00 -1.543498281608114420e+00
5.808783709230826500e-03 1.007652106427113559e+00 2.977218010923692315e+00 1.105288423862592406e+00 1.409529055056356395e+00 -1.562913418196848481e+00
5.822377372280850352e-03 1.007749184852631874e+00 2.976931209761985553e+00 1.106602886923804041e+00 1.412823008447229967e+00 -1.582359360911487656e+00
5.835829582923272862e-03 1.007846464680344001e+00 2.976643869015805244e+00 1.107919548521323794e+00 1.416100082411782646e+00 -1.601836166690495888e+00
5.849143563712064231e-03 1.007943946467798391e+00 2.976355987367243383e+00 1.109238413143645685e+00 1.419360536216010882e+00 -1.621343892571583289e+00
5.862322432990951793e-03 1.008041630774473507e+00 2.976067563494490198e+00 1.110559485289173365e+00 1.422604623243197031e+00 -1.640882595690382528e+00
5.875369201752999801e-03 1.008139518161787151e+00 2.975778596071815940e+00 1.111882769466237431e+00 1.425832591230840940e+00 -1.660452333281795534e+00
5.888286785642635537e-03 1.008237609193104234e+00 2.975489083769558896e+00 1.113208270193115634e+00 1.429044682393599830e+00 -1.680053162678767364e+00
5.901077998495185203e-03 1.008335904433744545e+00 2.975199025254111618e+00 1.114535991998050868e+00 1.432241133630290264e+00 -1.699685141313421743e+00
5.913745573250769536e-03 1.008434404450991417e+00 2.974908419187909381e+00 1.115865939419270259e+00 1.435422176639867820e+00 -1.719348326715938624e+00
5.926292158882453739e-03 1.008533109814099715e+00 2.974617264229413305e+00 1.117198117005003599e+00 1.438588038123979507e+00 -1.739042776515668853e+00
5.938720299242984321e-03 1.008632021094304276e+00 2.974325559033097921e+00 1.118532529313502222e+00 1.441738939905631733e+00 -1.758768548440584389e+00
5.951032482062251425e-03 1.008731138864827237e+00 2.974033302249439625e+00 1.119869180913058315e+00 1.444875099061863288e+00 -1.778525700317111324e+00
5.963231122826673572e-03 1.008830463700887359e+00 2.973740492524899803e+00 1.121208076382022911e+00 1.447996728075048978e+00 -1.798314290070206711e+00
5.975318547825484924e-03 1.008929996179708688e+00 2.973447128501912395e+00 1.122549220308824536e+00 1.451104035003083936e+00 -1.818134375724587581e+00
5.987297005827533700e-03 1.009029736880527661e+00 2.973153208818869242e+00 1.123892617291987861e+00 1.454197223525286908e+00 -1.837986015402509832e+00
5.999168707660037375e-03 1.009129686384601987e+00 2.972858732110108981e+00 1.125238271940153911e+00 1.457276493123081940e+00 -1.857869267325395590e+00
6.010935789332014917e-03 1.009229845275220416e+00 2.972563697005898398e+00 1.126586188872096939e+00 1.460342039205787312e+00 -1.877784189813810789e+00
6.022600294794970902e-03 1.009330214137708959e+00 2.972268102132422651e+00 1.127936372716742186e+00 1.463394053172856868e+00 -1.897730841286358050e+00
6.034164245514150524e-03 1.009430793559441542e+00 2.971971946111768403e+00 1.129288828113188314e+00 1.466432722575657488e+00 -1.917709280260872839e+00
6.045629595947848642e-03 1.009531584129847115e+00 2.971675227561911381e+00 1.130643559710722723e+00 1.469458231202757093e+00 -1.937719565353889228e+00
6.056998230086136845e-03 1.009632586440419422e+00 2.971377945096699946e+00 1.132000572168840424e+00 1.472470759185262601e+00 -1.957761755280746474e+00
6.068271989811260814e-03 1.009733801084725213e+00 2.971080097325843994e+00 1.133359870157264693e+00 1.475470483090038476e+00 -1.977835908855254177e+00
6.079452667863442447e-03 1.009835228658412465e+00 2.970781682854898964e+00 1.134721458355964163e+00 1.478457576017183861e+00 -1.997942084990087519e+00
6.090542002780328923e-03 1.009936869759219480e+00 2.970482700285251187e+00 1.136085341455171260e+00 1.481432207699128645e+00 -2.018080342696624729e+00
6.101541682592945964e-03 1.010038724986984437e+00 2.970183148214102786e+00 1.137451524155400184e+00 1.484394544594144882e+00 -2.038250741085061435e+00
6.112453357277143964e-03 1.010140794943653830e+00 2.969883025234459240e+00 1.138820011167468671e+00 1.487344749964385260e+00 -2.058453339364322066e+00
6.123278630752572796e-03 1.010243080233290014e+00 2.969582329935114284e+00 1.140190807212512425e+00 1.490282983954775986e+00 -2.078688196841892211e+00
6.134019055865741823e-03 1.010345581462082754e+00 2.969281060900633040e+00 1.141563917022004881e+00 1.493209403692736581e+00 -2.098955372924137031e+00
6.144676155694488509e-03 1.010448299238355663e+00 2.968979216711340907e+00 1.142939345337778301e+00 1.496124163336862045e+00 -2.119254927115735043e+00
6.155251411983373236e-03 1.010551234172576640e+00 2.968676795943307578e+00 1.144317096912039755e+00 1.499027414187178664e+00 -2.139586919020473044e+00
6.165746260607495380e-03 1.010654386877367195e+00 2.968373797168329276e+00 1.145697176507388226e+00 1.501919304729241844e+00 -2.159951408340258450e+00
6.176162105560212279e-03 1.010757757967510218e+00 2.968070218953918982e+00 1.147079588896835922e+00 1.504799980732021814e+00 -2.180348454876127828e+00
6.186500318367416790e-03 1.010861348059960418e+00 2.967766059863287786e+00 1.148464338863826484e+00 1.507669585282355840e+00 -2.200778118527164207e+00
6.196762232250805150e-03 1.010965157773852541e+00 2.967461318455332897e+00 1.149851431202251417e+00 1.510528258879083818e+00 -2.221240459291185410e+00
6.206949142718184292e-03 1.011069187730512464e+00 2.967155993284617654e+00 1.151240870716468523e+00 1.513376139513016971e+00 -2.241735537265023837e+00
6.217062321192800417e-03 1.011173438553463866e+00 2.966850082901362651e+00 1.152632662221322990e+00 1.516213362670607356e+00 -2.262263412643207960e+00
6.227103005710521791e-03 1.011277910868438878e+00 2.966543585851428855e+00 1.154026810542164050e+00 1.519040061443315270e+00 -2.282824145719026365e+00
6.237072397609575228e-03 1.011382605303388527e+00 2.966236500676297183e+00 1.155423320514860075e+00 1.521856366588697496e+00 -2.303417796884549062e+00
6.246971676588233824e-03 1.011487522488490498e+00 2.965928825913061395e+00 1.156822196985823004e+00 1.524662406551470006e+00 -2.324044426629697568e+00
6.256801992376452917e-03 1.011592663056159136e+00 2.965620560094407665e+00 1.158223444812022995e+00 1.527458307551498029e+00 -2.344704095543174382e+00
6.266564464564155015e-03 1.011698027641055431e+00 2.965311701748599926e+00 1.159627068861005972e+00 1.530244193615880599e+00 -2.365396864311590797e+00
6.276260187555837700e-03 1.011803616880096568e+00 2.965002249399464329e+00 1.161033074010912713e+00 1.533020186651911754e+00 -2.386122793720159230e+00
6.285890232030506494e-03 1.011909431412464366e+00 2.964692201566377250e+00 1.162441465150499065e+00 1.535786406467794407e+00 -2.406881944651944494e+00
6.295455642346119152e-03 1.012015471879616602e+00 2.964381556764245307e+00 1.163852247179151034e+00 1.538542970853908454e+00 -2.427674378088497065e+00
6.304957436438479029e-03 1.012121738925296333e+00 2.964070313503489373e+00 1.165265425006902333e+00 1.541289995618300823e+00 -2.448500155109443188e+00
6.314396613049756690e-03 1.012228233195540339e+00 2.963758470290035252e+00 1.166681003554457696e+00 1.544027594612666476e+00 -2.469359336892248624e+00
6.323774147581494656e-03 1.012334955338690001e+00 2.963446025625293689e+00 1.168098987753206197e+00 1.546755879797583777e+00 -2.490251984712318123e+00
6.333090988965089929e-03 1.012441906005403069e+00 2.963132978006137286e+00 1.169519382545236574e+00 1.549474961314408317e+00 -2.511178159943761479e+00
6.342348070059037821e-03 1.012549085848659436e+00 2.962819325924900937e+00 1.170942192883364097e+00 1.552184947460439446e+00 -2.532137924057813017e+00
6.351546301988367921e-03 1.012656495523773570e+00 2.962505067869354747e+00 1.172367423731142555e+00 1.554885944764914374e+00 -2.553131338623541247e+00
6.360686573882825753e-03 1.012764135688405620e+00 2.962190202322687593e+00 1.173795080062880913e+00 1.557578058046180880e+00 -2.574158465307962551e+00
6.369769755806140715e-03 1.012872007002569408e+00 2.961874727763495141e+00 1.175225166863663517e+00 1.560261390436694429e+00 -2.595219365876139328e+00
6.378796700781926357e-03 1.012980110128642641e+00 2.961558642665765184e+00 1.176657689129370299e+00 1.562936043398102770e+00 -2.616314102190181234e+00
6.387768242429097895e-03 1.013088445731378462e+00 2.961241945498856776e+00 1.178092651866690321e+00 1.565602116781278141e+00 -2.637442736209851812e+00
6.396685194640632649e-03 1.013197014477915658e+00 2.960924634727484239e+00 1.179530060093139543e+00 1.568259708874429226e+00 -2.658605329992704824e+00
6.405548356848738550e-03 1.013305817037787104e+00 2.960606708811706511e+00 1.180969918837082355e+00 1.570908916415486356e+00 -2.679801945693850662e+00
6.414358511080931260e-03 1.013414854082930860e+00 2.960288166206907601e+00 1.182412233137748236e+00 1.573549834597539387e+00 -2.701032645564528156e+00
6.423116418252291723e-03 1.013524126287705274e+00 2.959969005363767280e+00 1.183857008045238635e+00 1.576182557233942516e+00 -2.722297491955931736e+00
6.431822828926798963e-03 1.013633634328889865e+00 2.959649224728272632e+00 1.185304248620565382e+00 1.578807176591722650e+00 -2.743596547313892575e+00
6.440478477458513179e-03 1.013743378885702429e+00 2.959328822741681186e+00 1.186753959935654468e+00 1.581423783536397787e+00 -2.764929874181508040e+00
6.449084083801180298e-03 1.013853360639807244e+00 2.959007797840513820e+00 1.188206147073368246e+00 1.584032467552097145e+00 -2.786297535199262043e+00
6.457640354295258664e-03 1.013963580275325516e+00 2.958686148456533438e+00 1.189660815127522531e+00 1.586633316727981358e+00 -2.807699593103263336e+00
6.466147969941021811e-03 1.014074038478857576e+00 2.958363873016701007e+00 1.191117969202878601e+00 1.589226418025951437e+00 -2.829136110731547582e+00
6.474607607333898729e-03 1.014184735939474225e+00 2.958040969943209308e+00 1.192577614415204490e+00 1.591811856941776515e+00 -2.850607151014643570e+00
6.483019933363665457e-03 1.014295673348732940e+00 2.957717437653454517e+00 1.194039755891279864e+00 1.594389717642252569e+00 -2.872112776978431370e+00
6.491385599924310440e-03 1.014406851400694531e+00 2.957393274560000673e+00 1.195504398768902021e+00 1.596960083086038207e+00 -2.893653051746075899e+00
6.499705247449161574e-03 1.014518270791928689e+00 2.957068479070576572e+00 1.196971548196908319e+00 1.599523034966922941e+00 -2.915228038535991661e+00
6.507979492984412515e-03 1.014629932221539965e+00 2.956743049588018035e+00 1.198441209335169511e+00 1.602078653990075985e+00 -2.936837800668183895e+00
6.516208941025771958e-03 1.014741836391164886e+00 2.956416984510288337e+00 1.199913387354627270e+00 1.604627019664865761e+00 -2.958482401558145014e+00
6.524394201015346062e-03 1.014853984004970400e+00 2.956090282230499966e+00 1.201388087437351038e+00 1.607168210096409311e+00 -2.980161904710949550e+00
6.532535863859397982e-03 1.014966375769684293e+00 2.955762941136838684e+00 1.202865314776501382e+00 1.609702302368416271e+00 -3.001876373730273162e+00
6.540634510182016456e-03 1.015079012394601410e+00 2.955434959612563972e+00 1.204345074576366414e+00 1.612229372451643661e+00 -3.023625872315187202e+00
6.548690705311730267e-03 1.015191894591599642e+00 2.955106336035973502e+00 1.205827372052360680e+00 1.614749495334107277e+00 -3.045410464262947592e+00
6.556704992907884388e-03 1.015305023075160129e+00 2.954777068780362725e+00 1.207312212431022491e+00 1.617262745160163995e+00 -3.067230213471869860e+00
6.564677927763216611e-03 1.015418398562337732e+00 2.954447156214125236e+00 1.208799600950132280e+00 1.619769194603832174e+00 -3.089085183924749956e+00
6.572610046391235902e-03 1.015532021772808324e+00 2.954116596700631092e+00 1.210289542858635992e+00 1.622268915459353256e+00 -3.110975439703044021e+00
6.580501875874516030e-03 1.015645893428871682e+00 2.953785388598233919e+00 1.211782043416690380e+00 1.624761978531409579e+00 -3.132901044983517735e+00
6.588353933466930407e-03 1.015760014255461918e+00 2.953453530260254034e+00 1.213277107895675888e+00 1.627248453646059856e+00 -3.154862064038009617e+00
6.596166716091573720e-03 1.015874384980181233e+00 2.953121020034900734e+00 1.214774741578163786e+00 1.629728410022003526e+00 -3.176858561242548618e+00
6.603940726897678318e-03 1.015989006333259725e+00 2.952787856265400190e+00 1.216274949758054724e+00 1.632201915430752992e+00 -3.198890601054439120e+00
6.611676454673210898e-03 1.016103879047607572e+00 2.952454037289863553e+00 1.217777737740498800e+00 1.634669036902655748e+00 -3.220958248030397542e+00
6.619374379716509021e-03 1.016219003858815695e+00 2.952119561441298057e+00 1.219283110841939077e+00 1.637129840544627957e+00 -3.243061566821061170e+00
6.627034974115640978e-03 1.016334381505167084e+00 2.951784427047593251e+00 1.220791074390127795e+00 1.639584391562482812e+00 -3.265200622170944644e+00
6.634658696363017472e-03 1.016450012727668106e+00 2.951448632431444175e+00 1.222301633724099057e+00 1.642032754582579912e+00 -3.287375478926657824e+00
6.642246002735012825e-03 1.016565898270021195e+00 2.951112175910446833e+00 1.223814794194272748e+00 1.644474993029956034e+00 -3.309586202019184409e+00
6.649797340976882840e-03 1.016682038878660155e+00 2.950775055797013380e+00 1.225330561162420118e+00 1.646911169549460485e+00 -3.331832856475143156e+00
6.657313150719592829e-03 1.016798435302762149e+00 2.950437270398354794e+00 1.226848940001681765e+00 1.649341345979896234e+00 -3.354115507415030617e+00
6.664793864354614378e-03 1.016915088294254588e+00 2.950098818016475111e+00 1.228369936096588289e+00 1.651765583324752651e+00 -3.376434220052094926e+00
6.672239903597164054e-03 1.017031998607845100e+00 2.949759696948102139e+00 1.229893554843040748e+00 1.654183942020587939e+00 -3.398789059699049098e+00
6.679651684787436816e-03 1.017149167001010879e+00 2.949419905484736759e+00 1.231419801648378165e+00 1.656596481600466797e+00 -3.421180091758269093e+00
6.687029619646898612e-03 1.017266594234008670e+00 2.949079441912637822e+00 1.232948681931398838e+00 1.659003260679285052e+00 -3.443607381720851013e+00
6.694374111889242127e-03 1.017384281069902308e+00 2.948738304512763087e+00 1.234480201122341247e+00 1.661404337198228776e+00 -3.466070995172619185e+00
6.701685558829306374e-03 1.017502228274568488e+00 2.948396491560766552e+00 1.236014364662913145e+00 1.663799768336811757e+00 -3.488570997791216044e+00
6.708964349067767299e-03 1.017620436616721191e+00 2.948054001326946949e+00 1.237551178006282004e+00 1.666189610713368463e+00 -3.511107455351270445e+00
6.716210863172145107e-03 1.017738906867920123e+00 2.947710832076240184e+00 1.239090646617095670e+00 1.668573920325343574e+00 -3.533680433721972491e+00
6.723425480892912184e-03 1.017857639802553615e+00 2.947366982068285068e+00 1.240632775971573176e+00 1.670952752119200913e+00 -3.556289998854640810e+00
6.730608573728409302e-03 1.017976636197883256e+00 2.947022449557313184e+00 1.242177571557441018e+00 1.673326160481960256e+00 -3.578936216795775227e+00
6.737760507422134448e-03 1.018095896834047887e+00 2.946677232792155543e+00 1.243725038873971789e+00 1.675694199131498641e+00 -3.601619153683542685e+00
6.744881641152942683e-03 1.018215422494078926e+00 2.946331330016213279e+00 1.245275183431989063e+00 1.678056921154163827e+00 -3.624338875748232436e+00
6.751972324194079750e-03 1.018335213963933672e+00 2.945984739467382152e+00 1.246828010753836535e+00 1.680414379327294538e+00 -3.647095449321043237e+00
6.759032907006521859e-03 1.018455272032449344e+00 2.945637459378202205e+00 1.248383526373535446e+00 1.682766625252827941e+00 -3.669888940808740507e+00
6.766063732103283490e-03 1.018575597491404805e+00 2.945289487975697451e+00 1.249941735836680667e+00 1.685113710088076644e+00 -3.692719416713926783e+00
6.773065136771736286e-03 1.018696191135519680e+00 2.944940823481397185e+00 1.251502644700488887e+00 1.687455684361930830e+00 -3.715586943629237471e+00
6.780037453225929919e-03 1.018817053762467228e+00 2.944591464111315116e+00 1.253066258533814370e+00 1.689792597970440680e+00 -3.738491588236738217e+00
