# x rho vel Tmat Trad
-2.057038321792454272e-01 1.000108722805280959e+00 2.999673867042247366e+01 1.160476650644774566e+00 2.594982123822354936e+00
-2.056892885918233660e-01 1.000110323932110523e+00 2.999669064713750544e+01 1.162839372914798552e+00 2.604285896964966707e+00
-2.056749124343444091e-01 1.000111929962217650e+00 2.999664247694090236e+01 1.165209314452551048e+00 2.613519302987569848e+00
-2.056606987321950852e-01 1.000113540915680277e+00 2.999659415923186856e+01 1.167586504683482351e+00 2.622683994124683782e+00
-2.056466431379307402e-01 1.000115156812662498e+00 2.999654569340706445e+01 1.169970973183074969e+00 2.631781560446554646e+00
-2.056327400949962136e-01 1.000116777673638380e+00 2.999649707885382810e+01 1.172362749677236859e+00 2.640813614724976333e+00
-2.056189856816847961e-01 1.000118403518960752e+00 2.999644831496318176e+01 1.174761864044240767e+00 2.649781634314489764e+00
-2.056053759048607210e-01 1.000120034369178290e+00 2.999639940112026437e+01 1.177168346314909853e+00 2.658687080986092521e+00
-2.055919073885932868e-01 1.000121670244820349e+00 2.999635033671081530e+01 1.179582226674066758e+00 2.667531325107315165e+00
-2.055785778447783430e-01 1.000123311166432938e+00 2.999630112112008007e+01 1.182003535461394250e+00 2.676315662114892469e+00
-2.055653839148923190e-01 1.000124957154796546e+00 2.999625175372629471e+01 1.184432303171878420e+00 2.685041391648815168e+00
-2.055523231099425918e-01 1.000126608230703207e+00 2.999620223390734708e+01 1.186868560457288835e+00 2.693709739986434037e+00
-2.055393920832004340e-01 1.000128264415179213e+00 2.999615256103412975e+01 1.189312338126623292e+00 2.702321939195900580e+00
-2.055265871894795815e-01 1.000129925729416502e+00 2.999610273447257214e+01 1.191763667147238692e+00 2.710879203261907122e+00
-2.055139055342797005e-01 1.000131592194620112e+00 2.999605275358821288e+01 1.194222578646193744e+00 2.719382677040270924e+00
-2.055013435099942720e-01 1.000133263832235331e+00 2.999600261773942123e+01 1.196689103910698160e+00 2.727833515047658253e+00
-2.054888994155286697e-01 1.000134940662393390e+00 2.999595232632396602e+01 1.199163274392829548e+00 2.736232367760265127e+00
-2.054765703912324604e-01 1.000136622707514578e+00 2.999590187867099189e+01 1.201645121701912178e+00 2.744580581504845629e+00
-2.054643539057828261e-01 1.000138309989305085e+00 2.999585127413108054e+01 1.204134677612704873e+00 2.752879194119159934e+00
-2.054522475920363689e-01 1.000140002528092209e+00 2.999580051209616016e+01 1.206631974068040902e+00 2.761128735534099654e+00
-2.054402490953219640e-01 1.000141700348895046e+00 2.999574959181746792e+01 1.209137043165211534e+00 2.769331179816542310e+00
-2.054283560596329994e-01 1.000143403464779146e+00 2.999569851290478084e+01 1.211649917197214377e+00 2.777484635387175160e+00
-2.054165662960076855e-01 1.000145111901970862e+00 2.999564727457313751e+01 1.214170628593114198e+00 2.785591359173093640e+00
-2.054048776779206498e-01 1.000146825687243002e+00 2.999559587602124111e+01 1.216699209949458238e+00 2.793653670720486648e+00
-2.053932881297569901e-01 1.000148544846147791e+00 2.999554431648438779e+01 1.219235694035620599e+00 2.801673405821953455e+00
-2.053817954872931006e-01 1.000150269381561152e+00 2.999549259587799810e+01 1.221780113847322546e+00 2.809645403864514446e+00
-2.053703978620751158e-01 1.000151999331101660e+00 2.999544071307551008e+01 1.224332502467701644e+00 2.817575138521618339e+00
-2.053590933632045701e-01 1.000153734723973509e+00 2.999538866720277142e+01 1.226892893173389787e+00 2.825465351589242502e+00
-2.053478801262917375e-01 1.000155475580344344e+00 2.999533645765662371e+01 1.229461319437341826e+00 2.833315981324326049e+00
-2.053367562939374391e-01 1.000157221906264438e+00 2.999528408425732806e+01 1.232037814942683829e+00 2.841122780923756697e+00
-2.053257201779962460e-01 1.000158973740889801e+00 2.999523154583230067e+01 1.234622413467593161e+00 2.848891281883906501e+00
-2.053147701111218415e-01 1.000160731114015045e+00 2.999517884148972513e+01 1.237215148990622460e+00 2.856624094611239784e+00
-2.053039044173818883e-01 1.000162494038021821e+00 2.999512597086002330e+01 1.239816055712020804e+00 2.864318711585401633e+00
-2.052931214860508335e-01 1.000164262529787074e+00 2.999507293343880576e+01 1.242425168000884872e+00 2.871973956593317556e+00
-2.052824198197121253e-01 1.000166036624932087e+00 2.999501972815956208e+01 1.245042520360707394e+00 2.879593962244987537e+00
-2.052717979480802868e-01 1.000167816353346728e+00 2.999496635412769407e+01 1.247668147491096224e+00 2.887181092897081580e+00
-2.052612543078115859e-01 1.000169601719980150e+00 2.999491281119656350e+01 1.250302084337099995e+00 2.894730664846291823e+00
-2.052507875025092465e-01 1.000171392754203081e+00 2.999485909848717569e+01 1.252944365967356921e+00 2.902244855946048308e+00
-2.052403961834112778e-01 1.000173189487746805e+00 2.999480521504974107e+01 1.255595027630010074e+00 2.909726393902006158e+00
-2.052300790224190763e-01 1.000174991950083969e+00 2.999475116000222741e+01 1.258254104765445192e+00 2.917177278236900317e+00
-2.052198345674685898e-01 1.000176800141070022e+00 2.999469693335083420e+01 1.260921633076520498e+00 2.924591421492900079e+00
-2.052096616019708775e-01 1.000178614100525110e+00 2.999464253390323165e+01 1.263597648354736203e+00 2.931973597175652202e+00
-2.051995588805469728e-01 1.000180433857817963e+00 2.999458796078057787e+01 1.266282186608038707e+00 2.939325626220570253e+00
-2.051895251729169145e-01 1.000182259437785159e+00 2.999453321323992583e+01 1.268975284047285434e+00 2.946648048253889485e+00
-2.051795592181114847e-01 1.000184090846400364e+00 2.999447829110405550e+01 1.271676977124038821e+00 2.953936414331462590e+00
-2.051696598847607966e-01 1.000185928123370926e+00 2.999442319318409744e+01 1.274387302398272581e+00 2.961195148803933641e+00
-2.051598260385827377e-01 1.000187771299442030e+00 2.999436791855998763e+01 1.277106296647739780e+00 2.968426202377747902e+00
-2.051500565540217147e-01 1.000189620393136858e+00 2.999431246667819551e+01 1.279833996877804303e+00 2.975628305805233964e+00
-2.051403503258319716e-01 1.000191475418827469e+00 2.999425683710969892e+01 1.282570440302339909e+00 2.982799139210674522e+00
-2.051307063126668051e-01 1.000193336415239553e+00 2.999420102869514082e+01 1.285315664271849512e+00 2.989942571012302430e+00
-2.051211234882644174e-01 1.000195203414439016e+00 2.999414504047491903e+01 1.288069706353961008e+00 2.997060658129510724e+00
-2.051116008413057523e-01 1.000197076405213714e+00 2.999408887278728741e+01 1.290832604429413610e+00 3.004144588669284577e+00
-2.051021374004451947e-01 1.000198955413430957e+00 2.999403252485855376e+01 1.293604396486694341e+00 3.011194937890289136e+00
-2.050927322282287135e-01 1.000200840482898146e+00 2.999397599537705261e+01 1.296385120671936564e+00 3.018216640525318795e+00
-2.050833844128734096e-01 1.000202731649715737e+00 2.999391928326226164e+01 1.299174815356365364e+00 3.025212583699049329e+00
-2.050740930720494903e-01 1.000204628954789676e+00 2.999386238728958176e+01 1.301973519105265265e+00 3.032186708091548333e+00
-2.050648573528803809e-01 1.000206532444290364e+00 2.999380530607656681e+01 1.304781270677981553e+00 3.039144081721269153e+00
-2.050556759472273727e-01 1.000208442031544243e+00 2.999374804222445334e+01 1.307598109390228691e+00 3.046057861775082642e+00
-2.050465481591332018e-01 1.000210357803478889e+00 2.999369059312860131e+01 1.310424074316211662e+00 3.052943099275068128e+00
-2.050374731678266116e-01 1.000212279809500115e+00 2.999363295730960743e+01 1.313259204839507532e+00 3.059805564961794566e+00
-2.050284501331817166e-01 1.000214208092369716e+00 2.999357513348730819e+01 1.316103540574234287e+00 3.066649288575433729e+00
-2.050194782346892730e-01 1.000216142699847932e+00 2.999351712023169725e+01 1.318957121335923688e+00 3.073479323668090846e+00
-2.050105566750020092e-01 1.000218083617869347e+00 2.999345891796675190e+01 1.321819987319398315e+00 3.080286272942870163e+00
-2.050016846780546853e-01 1.000220030807352334e+00 2.999340052786660848e+01 1.324692179004448356e+00 3.087055212002919102e+00
-2.049928614804512328e-01 1.000221984367799077e+00 2.999334194694972666e+01 1.327573736723698161e+00 3.093803177903272861e+00
-2.049840863419172265e-01 1.000223944339202031e+00 2.999328317401909771e+01 1.330464701187042520e+00 3.100533251319354644e+00
-2.049753585419705482e-01 1.000225910765883519e+00 2.999322420774791453e+01 1.333365113314595618e+00 3.107249376050429390e+00
-2.049666773799211916e-01 1.000227883696993558e+00 2.999316504666462535e+01 1.336275014236692149e+00 3.113956441985617385e+00
-2.049580420436475092e-01 1.000229862984964857e+00 2.999310569519653313e+01 1.339194445834895886e+00 3.120615468740854492e+00
-2.049494519190767916e-01 1.000231848763656783e+00 2.999304614933197755e+01 1.342123449466071872e+00 3.127250574563129604e+00
-2.049409063502379558e-01 1.000233841078026709e+00 2.999298640772517999e+01 1.345062066951642210e+00 3.133865731109204411e+00
-2.049324046956584877e-01 1.000235839971914897e+00 2.999292646906388882e+01 1.348010340345072944e+00 3.140464534700205590e+00
-2.049239463321933519e-01 1.000237845494458044e+00 2.999286633187707807e+01 1.350968311916088682e+00 3.147051607120389338e+00
-2.049155306550248523e-01 1.000239857700592649e+00 2.999280599451983065e+01 1.353936024150672157e+00 3.153632671253240094e+00
-2.049071569315365215e-01 1.000241876485207237e+00 2.999274546014638432e+01 1.356913520202394308e+00 3.160179030078895668e+00
-2.048988245570427247e-01 1.000243901875947028e+00 2.999268472793017182e+01 1.359900843102560097e+00 3.166690893110573501e+00
-2.048905330065882158e-01 1.000245933977704782e+00 2.999262379472835960e+01 1.362898035909080541e+00 3.173184758744070688e+00
-2.048822817145406761e-01 1.000247972836179278e+00 2.999256265917311737e+01 1.365905142078369217e+00 3.179664257123787419e+00
-2.048740701307074641e-01 1.000250018502422344e+00 2.999250131973614231e+01 1.368922205292016248e+00 3.186134015465175384e+00
-2.048658977203356435e-01 1.000252071033358225e+00 2.999243977471305556e+01 1.371949269456789633e+00 3.192599734954651325e+00
-2.048577639028262842e-01 1.000254130399589991e+00 2.999237802498785754e+01 1.374986378959531574e+00 3.199049141229455717e+00
-2.048496680567730432e-01 1.000256196494542449e+00 2.999231607375869402e+01 1.378033578646201240e+00 3.205454398314929954e+00
-2.048416097492832266e-01 1.000258269481301587e+00 2.999225391613801150e+01 1.381090912868094600e+00 3.211843259662223726e+00
-2.048335884796174400e-01 1.000260349404973104e+00 2.999219155077591381e+01 1.384158426548085297e+00 3.218218886114841304e+00
-2.048256037600231783e-01 1.000262436315786374e+00 2.999212897616890672e+01 1.387236164844425801e+00 3.224585363331261778e+00
-2.048176551157348257e-01 1.000264530269636687e+00 2.999206619064362656e+01 1.390324173150748077e+00 3.230947782096753595e+00
-2.048097420767212018e-01 1.000266631314449928e+00 2.999200319276572912e+01 1.393422497135557991e+00 3.237309494235221852e+00
-2.048018640260240442e-01 1.000268739230938397e+00 2.999193998911297498e+01 1.396531183468061155e+00 3.243620866150861648e+00
-2.047940206018270537e-01 1.000270854223771710e+00 2.999187657355121672e+01 1.399650277893929262e+00 3.249916786297833315e+00
-2.047862113573420961e-01 1.000272976337144737e+00 2.999181294475800996e+01 1.402779826863026713e+00 3.256199918113309000e+00
-2.047784358565911678e-01 1.000275105620243021e+00 2.999174910126132332e+01 1.405919877071014845e+00 3.262473801488407599e+00
-2.047706936744060902e-01 1.000277242127806998e+00 2.999168504142259550e+01 1.409070475459351490e+00 3.268742935930465610e+00
-2.047629843964288154e-01 1.000279385920692432e+00 2.999162076341995231e+01 1.412231669215293417e+00 3.275012859996835779e+00
-2.047553074974363396e-01 1.000281536848347086e+00 2.999155627177022154e+01 1.415403506389065980e+00 3.281248543845563415e+00
-2.047476625859930566e-01 1.000283694989324568e+00 2.999149156412088857e+01 1.418586034652912664e+00 3.287459261566704427e+00
-2.047400492871178646e-01 1.000285860440005781e+00 2.999142663758497918e+01 1.421779301896243464e+00 3.293657414412953344e+00
-2.047324672053863204e-01 1.000288033249344011e+00 2.999136149069758162e+01 1.424983356412792723e+00 3.299846179738556984e+00
-2.047249159541081887e-01 1.000290213471865197e+00 2.999129612182674975e+01 1.428198246752619971e+00 3.306029671611183218e+00
-2.047173951553275806e-01 1.000292401168248579e+00 2.999123052915605925e+01 1.431424021722111251e+00 3.312213022020644271e+00
-2.047099043983872657e-01 1.000294596277062853e+00 2.999116471453032062e+01 1.434660730753562818e+00 3.318378649479596376e+00
-2.047024432746543943e-01 1.000296798724529479e+00 2.999109868016449099e+01 1.437908423595445795e+00 3.324507058886518873e+00
-2.046950114545808275e-01 1.000299008663864342e+00 2.999103242146774306e+01 1.441167149625066868e+00 3.330620636509969312e+00
-2.046876085793377653e-01 1.000301226138697430e+00 2.999096593713495196e+01 1.444436958815134453e+00 3.336721326929909193e+00
-2.046802342972152966e-01 1.000303451197132043e+00 2.999089922572688849e+01 1.447717901409089070e+00 3.342811807376615540e+00
-2.046728882635878433e-01 1.000305683892256159e+00 2.999083228565491765e+01 1.451010027921414425e+00 3.348895559277847767e+00
-2.046655701408795214e-01 1.000307924282650474e+00 2.999076511516577526e+01 1.454313389137947832e+00 3.354976936733951032e+00
-2.046582795985294190e-01 1.000310172432892442e+00 2.999069771232642267e+01 1.457628036116185744e+00 3.361061231711091946e+00
-2.046510162045627468e-01 1.000312428257523090e+00 2.999063007970217853e+01 1.460954020642847961e+00 3.367127048877829321e+00
-2.046437795505800517e-01 1.000314691703472203e+00 2.999056221888725204e+01 1.464291394706783267e+00 3.373159116257774315e+00
-2.046365693798828933e-01 1.000316962934526099e+00 2.999049412497425848e+01 1.467640209958641639e+00 3.379180402186777954e+00
-2.046293853545265440e-01 1.000319241995375030e+00 2.999042579662653907e+01 1.471000518693710735e+00 3.385192623128297829e+00
-2.046222271391003322e-01 1.000321528933495019e+00 2.999035723242392137e+01 1.474372373498654465e+00 3.391197907259437372e+00
-2.046150944004813954e-01 1.000323823799410317e+00 2.999028843085490692e+01 1.477755827252717369e+00 3.397198828219976541e+00
-2.046079868075885433e-01 1.000326126646952973e+00 2.999021939030885164e+01 1.481150933128923430e+00 3.403198437427043643e+00
-2.046009040311361493e-01 1.000328437533527293e+00 2.999015010906806111e+01 1.484557744595278672e+00 3.409200295816839255e+00
-2.045938458500841939e-01 1.000330756401298871e+00 2.999008058886976258e+01 1.487976315770220825e+00 3.415188319794696170e+00
-2.045868120067892149e-01 1.000333083239838938e+00 2.999001083002993084e+01 1.491406700943714192e+00 3.421154721010210675e+00
-2.045798021326311056e-01 1.000335418168251778e+00 2.998994082898116176e+01 1.494848954332341107e+00 3.427113567856682863e+00
-2.045728159345045483e-01 1.000337761227041211e+00 2.998987058451256615e+01 1.498303130700499475e+00 3.433065485955950180e+00
-2.045658531238417344e-01 1.000340112457549946e+00 2.998980009538812297e+01 1.501769285126764775e+00 3.439011192089209690e+00
-2.045589134165783918e-01 1.000342471902049502e+00 2.998972936034401116e+01 1.505247473005796310e+00 3.444951506722668366e+00
-2.045519965331199785e-01 1.000344839603832359e+00 2.998965837808583501e+01 1.508737750050245019e+00 3.450887365957572950e+00
-2.045451021983077378e-01 1.000347215607310325e+00 2.998958714728566832e+01 1.512240172292656837e+00 3.456819834240162148e+00
-2.045382304196216305e-01 1.000349599912961684e+00 2.998951566793272505e+01 1.515754796224221934e+00 3.462742774306406979e+00
-2.045313810638100804e-01 1.000351992546505642e+00 2.998944393925953378e+01 1.519281678588475515e+00 3.468654222561214695e+00
-2.045245537777655720e-01 1.000354393571515343e+00 2.998937195936381883e+01 1.522820876344310292e+00 3.474558313337849036e+00
-2.045177483796451479e-01 1.000356803026072994e+00 2.998929972710755720e+01 1.526372446860253751e+00 3.480454979448537767e+00
-2.045109647014745069e-01 1.000359220948505268e+00 2.998922724134542506e+01 1.529936447838982083e+00 3.486344158649839819e+00
-2.045042025896332549e-01 1.000361647377441487e+00 2.998915450092305690e+01 1.533512937319484681e+00 3.492225802318005723e+00
-2.044974619053402942e-01 1.000364082351878459e+00 2.998908150467510225e+01 1.537101973679221301e+00 3.498099885008168375e+00
-2.044907425251388522e-01 1.000366525911250637e+00 2.998900825142314375e+01 1.540703615636285884e+00 3.503966414958933573e+00
-2.044840436775852699e-01 1.000368978089960503e+00 2.998893474013963001e+01 1.544317922268681587e+00 3.509824578593744970e+00
-2.044773650491798767e-01 1.000371438926734413e+00 2.998886096966743864e+01 1.547944952987980294e+00 3.515674214458882396e+00
-2.044707067368314590e-01 1.000373908464264661e+00 2.998878693873058054e+01 1.551584767542726118e+00 3.521515741754223328e+00
-2.044640685145780179e-01 1.000376386743177415e+00 2.998871264611504373e+01 1.555237426039509874e+00 3.527349217441587470e+00
-2.044574501529324018e-01 1.000378873804801172e+00 2.998863809058581609e+01 1.558902988936913481e+00 3.533174768899862705e+00
-2.044508514182198089e-01 1.000381369691258016e+00 2.998856327088411078e+01 1.562581517047697544e+00 3.538992605673161318e+00
-2.044442720719153173e-01 1.000383874445564425e+00 2.998848818572439257e+01 1.566273071540994488e+00 3.544803032484193483e+00
-2.044377118699813034e-01 1.000386388111733194e+00 2.998841283379127276e+01 1.569977713944500364e+00 3.550606462218468984e+00
-2.044311706392551997e-01 1.000388910715984903e+00 2.998833721430279198e+01 1.573695506206127082e+00 3.556400592377649161e+00
-2.044246481387171077e-01 1.000391442300871070e+00 2.998826132598743044e+01 1.577426510589638120e+00 3.562185568361933008e+00
-2.044181440885891043e-01 1.000393982917951785e+00 2.998818516730370476e+01 1.581170789699811952e+00 3.567962835147504563e+00
-2.044116582344642219e-01 1.000396532612048528e+00 2.998810873691215662e+01 1.584928406534630740e+00 3.573732776516277632e+00
-2.044051903154133487e-01 1.000399091429058140e+00 2.998803203344112944e+01 1.588699424463372756e+00 3.579495890262399449e+00
-2.043987400634466878e-01 1.000401659416065181e+00 2.998795505548342888e+01 1.592483907228897877e+00 3.585252801835877356e+00
-2.043923072029751042e-01 1.000404236621455611e+00 2.998787780159285887e+01 1.596281918949933765e+00 3.591004277338228690e+00
-2.043858914502717505e-01 1.000406823095040476e+00 2.998780027028058726e+01 1.600093524123364030e+00 3.596751237937450441e+00
-2.043794929927225112e-01 1.000409418845007670e+00 2.998772246130548425e+01 1.603918787764949228e+00 3.602488539124993672e+00
-2.043731115746470484e-01 1.000412023920584703e+00 2.998764437319625387e+01 1.607757775147997892e+00 3.608216995254560189e+00
-2.043667468157138734e-01 1.000414638383147370e+00 2.998756600411752871e+01 1.611610551897680210e+00 3.613939105786231121e+00
-2.043603985012492352e-01 1.000417262280251629e+00 2.998748735264821619e+01 1.615477184077236394e+00 3.619655318161993041e+00
-2.043540664191727807e-01 1.000419895660456415e+00 2.998740841733722817e+01 1.619357738143369474e+00 3.625366175756503218e+00
