"t","T_gas","T_rad"
0.,1.,0.
9.765625e-9,0.9935526673232676,0.00967099901509845
1.953125e-8,0.9872294252476815,0.019155862128477617
2.9296875e-8,0.9810273280234489,0.028459007964826463
3.90625e-8,0.9749434809259232,0.03758477861111502
4.8828125e-8,0.9689751052086036,0.04653734218709428
5.859375e-8,0.9631194765946542,0.05532078510801854
6.8359375e-8,0.9573739704351772,0.063939044347234
7.8125e-8,0.9517360182313913,0.07239597265291281
8.7890625e-8,0.9462031444578127,0.08069528331328064
9.765625e-8,0.9407729262647306,0.08884061060290394
1.07421875e-7,0.9354430252098653,0.09683546218520178
1.171875e-7,0.9302111467014769,0.10468327994778455
1.26953125e-7,0.9250751030953223,0.11238734535701654
1.3671875e-7,0.9200327252100756,0.1199509121848865
1.46484375e-7,0.9150819074757611,0.12737713878635823
1.5625e-7,0.9102206397248788,0.13466904041268174
1.66015625e-7,0.9054469210448486,0.141829618432727
1.7578125e-7,0.9007588163700884,0.14886177544486734
1.85546875e-7,0.8961544778423224,0.15576828323651626
1.953125e-7,0.89163206471411,0.16255190292883487
2.05078125e-7,0.8871897942034853,0.16921530869477192
2.1484375e-7,0.8828259614535108,0.1757610578197337
2.24609375e-7,0.878538868494201,0.18219169725869833
2.34375e-7,0.874326871792332,0.18850969231150191
2.44140625e-7,0.8701883968831077,0.1947174046753384
2.5390625e-7,0.8661218752973174,0.2008171870540237
2.63671875e-7,0.8621257899451216,0.2068113150823175
2.734375e-7,0.8581986849297515,0.2127019726053727
2.83203125e-7,0.8543391075105059,0.21849133873424118
2.9296875e-7,0.8505456461009504,0.22418153084857445
3.02734375e-7,0.8468169693360215,0.22977454599596786
3.125e-7,0.8431517534676893,0.23527236979846614
3.22265625e-7,0.8395486749375626,0.24067698759365622
3.3203125e-7,0.8360064492033011,0.2459903261950484
3.41796875e-7,0.8325238769703621,0.251214184544457
3.515625e-7,0.8290997700971222,0.2563503448543168
3.61328125e-7,0.8257329404419582,0.2614005893370627
3.7109375e-7,0.8224222160776555,0.26636667588351676
3.80859375e-7,0.8191665033957773,0.27125024490633404
3.90625e-7,0.8159647323253035,0.27605290151204487
4.00390625e-7,0.8128158327980433,0.28077625080293517
4.1015625e-7,0.8097187403937732,0.2854218894093403
4.19921875e-7,0.8066724517098149,0.28999132243527775
4.296875e-7,0.8036760004310484,0.29448599935342745
4.39453125e-7,0.8007284207532316,0.2989073688701526
4.4921875e-7,0.7978287481208854,0.30325687781867183
4.58984375e-7,0.7949760584178817,0.30753591237317757
4.6875e-7,0.7921694754700492,0.3117457867949262
4.78515625e-7,0.7894081258536431,0.3158878112195355
4.8828125e-7,0.7866911362156422,0.3199632956765367
4.98046875e-7,0.784017655188405,0.3239735172173926
5.078125e-7,0.7813868837103285,0.32791967443450737
5.17578125e-7,0.7787980302707683,0.33180295459384773
5.2734375e-7,0.77625030335908,0.3356245449613803
5.37109375e-7,0.773742920909645,0.3393856186355326
5.46875e-7,0.771275149033554,0.3430872764496693
5.56640625e-7,0.768846269054321,0.3467305964185188
5.6640625e-7,0.766455562298091,0.35031665655286387
5.76171875e-7,0.7641023092359293,0.35384653614610634
5.859375e-7,0.7617858227221189,0.35732126591682195
5.95703125e-7,0.759505459989334,0.36074181001599914
6.0546875e-7,0.7572605803043606,0.36410912954345936
6.15234375e-7,0.755050542933984,0.3674241855990243
6.25e-7,0.7528747071449898,0.37068793928251553
6.34765625e-7,0.7507324348251997,0.37390134776220074
6.4453125e-7,0.748623130076254,0.3770653048856191
6.54296875e-7,0.7465462304979351,0.38018065425309755
6.640625e-7,0.7445011745585666,0.3832482381621505
6.73828125e-7,0.7424874007264719,0.38626889891029237
6.8359375e-7,0.7405043474699751,0.38924347879503773
6.93359375e-7,0.7385514545195476,0.3921728182206789
7.03125e-7,0.7366281935472386,0.3950577096791424
7.12890625e-7,0.7347340692679728,0.39789889609804113
7.2265625e-7,0.7328685878640794,0.40069711820388126
7.32421875e-7,0.7310312555178877,0.4034531167231688
7.421875e-7,0.729221578411727,0.4061676323824098
7.51953125e-7,0.7274390632589113,0.40884140511163336
7.6171875e-7,0.7256832403599346,0.41147513946009845
7.71484375e-7,0.7239536718387849,0.41406949224182293
7.8125e-7,0.7222499220049802,0.4166251169925301
7.91015625e-7,0.7205715551680382,0.41914266724794297
8.0078125e-7,0.718918135637477,0.4216227965437849
8.10546875e-7,0.7172892279011063,0.42406615814834087
8.203125e-7,0.7156844134050308,0.4264733798924541
8.30078125e-7,0.7141033035705255,0.4288450446442119
8.3984375e-7,0.7125455128094647,0.4311817307858033
8.49609375e-7,0.7110106555337221,0.4334840166994171
8.59375e-7,0.709498346155172,0.43575248076724216
8.69140625e-7,0.7080081991231668,0.43798770131525
8.7890625e-7,0.7065398407058581,0.4401902389412131
8.88671875e-7,0.7050929248114342,0.4423606127828489
8.984375e-7,0.7036671092078198,0.4444993361882704
9.08203125e-7,0.7022620516629395,0.44660692250559086
9.1796875e-7,0.7008774099447178,0.4486838850829234
9.27734375e-7,0.6995128418224691,0.4507307372662966
9.375e-7,0.6981680130172093,0.4527479804741862
9.47265625e-7,0.6968426141800251,0.4547360787299625
9.5703125e-7,0.6955363407309759,0.45669548890353634
9.66796875e-7,0.6942488880901212,0.4586266678648184
9.765625e-7,0.6929799516775206,0.46053007248371935
9.86328125e-7,0.6917292269132335,0.46240615963015
9.9609375e-7,0.6904964113282019,0.4642553830076972
1.005859375e-6,0.6892812257439994,0.46607816138400104
1.015625e-6,0.6880834019334213,0.4678748970998682
