"t","T_gas","T_rad"
0.,1.,0.
2.9296875e-8,0.9807790777031933,0.0028831383445209855
5.859375e-8,0.9621613813981447,0.005675792790278255
8.7890625e-8,0.9441219890186554,0.008381701647201647
1.171875e-7,0.9266372729009141,0.01100440906486284
1.46484375e-7,0.9096847728448987,0.013547284073265152
1.7578125e-7,0.8932431567956045,0.01601352648065929
2.05078125e-7,0.8772921475868639,0.018406177861970376
2.34375e-7,0.861812441250668,0.020728133812399775
2.63671875e-7,0.8467857711869353,0.02298213432195967
2.9296875e-7,0.8321946225927817,0.025170806611082727
3.22265625e-7,0.8180223955219075,0.02729664067171385
3.515625e-7,0.8042532333751002,0.029362014993734933
3.80859375e-7,0.7908720486663811,0.03136919270004281
4.1015625e-7,0.7778644620958819,0.03332033068561769
4.39453125e-7,0.7652167101669629,0.03521749347495553
4.6875e-7,0.7529157296373179,0.03706264055440229
4.98046875e-7,0.7409489512448966,0.03885765731326549
5.2734375e-7,0.7293044789797196,0.04060432815304202
5.56640625e-7,0.7179707930812275,0.04230438103781586
5.859375e-7,0.7069371033960248,0.043959434490596264
6.15234375e-7,0.6961928870824331,0.045571066937635005
6.4453125e-7,0.6857280977627854,0.04714078533558215
6.73828125e-7,0.6755333026316697,0.04867000460524952
7.03125e-7,0.6655991940968536,0.050160120885471934
7.32421875e-7,0.6559170875793029,0.05161243686310454
7.6171875e-7,0.6464785770974515,0.05302821343538224
7.91015625e-7,0.637275511723825,0.05440867324142621
8.203125e-7,0.6283002814426364,0.05575495778360451
8.49609375e-7,0.6195453767432643,0.05706819348851032
8.7890625e-7,0.611003710090905,0.05834944348636421
9.08203125e-7,0.6026684960931541,0.05959972558602685
9.375e-7,0.5945330800507851,0.06082003799238221
9.66796875e-7,0.5865912541932078,0.062011311871018805
9.9609375e-7,0.5788369195268284,0.06317446207097571
1.025390625e-6,0.5712642401686655,0.06431036397470015
1.0546875e-6,0.5638676847760441,0.06541984728359336
1.083984375e-6,0.5566417663251929,0.06650373505122102
1.11328125e-6,0.5495813708935791,0.0675627943659631
1.142578125e-6,0.542681607312783,0.0685977589030825
1.171875e-6,0.5359375871563352,0.06960936192654968
1.201171875e-6,0.5293446042230049,0.07059830936654923
1.23046875e-6,0.5228983455122302,0.07156524817316542
1.259765625e-6,0.5165945487387814,0.07251081768918274
1.2890625e-6,0.5104289669232739,0.07343565496150888
1.318359375e-6,0.5043976276127323,0.0743403558580901
1.34765625e-6,0.49849679407670605,0.07522548088849405
1.376953125e-6,0.4927227371071107,0.07609158943393335
1.40625e-6,0.48707178326924816,0.07693923250961272
1.435546875e-6,0.48154055882513297,0.07776891617623001
1.46484375e-6,0.4761257894974246,0.07858113157538626
1.494140625e-6,0.4708242020129078,0.07937636969806379
1.5234375e-6,0.46563264578818214,0.08015510313177263
1.552734375e-6,0.46054820920815875,0.08091776861877614
1.58203125e-6,0.4555680079733,0.08166479880400496
1.611328125e-6,0.45068916948076115,0.08239662457788578
1.640625e-6,0.4459090010765173,0.08311364983852236
1.669921875e-6,0.4412249503394466,0.08381625744908297
1.69921875e-6,0.43663446848683324,0.08450482972697497
1.728515625e-6,0.4321350468235877,0.0851797429764618
1.7578125e-6,0.427724369067327,0.08584134463990091
1.787109375e-6,0.4234001761663863,0.08648997357504201
1.81640625e-6,0.4191602089898087,0.08712596865152866
1.845703125e-6,0.4150022793729961,0.08774965809405055
1.875e-6,0.410924378005374,0.08836134329919386
1.904296875e-6,0.4069245216790071,0.0889613217481489
1.93359375e-6,0.40300072718595975,0.08954989092210601
1.962890625e-6,0.39915103864728757,0.09012734420290683
1.9921875e-6,0.3953736676390953,0.09069394985413567
2.021484375e-6,0.39166688802857796,0.09124996679571327
2.05078125e-6,0.3880289737352938,0.0917956539397059
2.080078125e-6,0.3844582013635071,0.0923312697954739
2.109375e-6,0.3809529420428033,0.09285705869357948
2.138671875e-6,0.3775116818021254,0.09337324772968116
2.16796875e-6,0.37413291335312626,0.09388006299703104
2.197265625e-6,0.3708151294074583,0.09437773058888123
2.2265625e-6,0.36755685160468893,0.09486647225929663
2.255859375e-6,0.36435672627406657,0.09534649105889
2.28515625e-6,0.36121343258419386,0.0958179851123709
2.314453125e-6,0.3581256496894571,0.09628115254658141
2.34375e-6,0.35509206064001203,0.09673619090399817
2.373046875e-6,0.3521114280299098,0.09718328579551351
2.40234375e-6,0.34918258771801663,0.09762261184229748
2.431640625e-6,0.3463043782000969,0.09805434326998544
2.4609375e-6,0.34347563797840425,0.09847865430323935
2.490234375e-6,0.34069523456392087,0.09889571481541184
2.51953125e-6,0.3379621259447483,0.09930568110828773
2.548828125e-6,0.33527528738514323,0.09970870689222851
2.578125e-6,0.33263369414936256,0.10010494587759561
2.607421875e-6,0.3300363266120569,0.10049455100819145
2.63671875e-6,0.3274822313715993,0.1008776652942601
2.666015625e-6,0.32497050068034206,0.10125442489794867
2.6953125e-6,0.3225002276512833,0.1016249658523075
2.724609375e-6,0.32007050551139243,0.10198942417329113
2.75390625e-6,0.3176804560712423,0.10234793158931364
2.783203125e-6,0.31532926567795333,0.10270061014830699
2.8125e-6,0.3130161293907757,0.10304758059138362
2.841796875e-6,0.3107402422689597,0.10338896365965604
2.87109375e-6,0.30850079184437984,0.10372488122334302
2.900390625e-6,0.30629701002742576,0.10405544849588613
2.9296875e-6,0.3041282077208617,0.10438076884187074
2.958984375e-6,0.30199369873800513,0.10470094518929922
2.98828125e-6,0.29989279689217363,0.10501608046617394
3.017578125e-6,0.29782481599668464,0.10532627760049729
