time,n_e,n_HI,n_HII,n_gamma,Egas,gas_temp
0.0,1.0e-10,100.0,1.0e-10,5000.0,2.0709732000041416e-11,1000.0
50.0,1.117801461750331,98.88219853834958,1.117801461750331,4998.8821985383365,6.408691642700211e-11,3060.323086373116
100.0,2.222863781096169,97.77713621900378,2.222863781096169,4997.7771362189205,1.0696974819671836e-10,5052.873795366921
150.0,3.3153375700809375,96.684662430019,3.3153375700809375,4996.684662429793,1.4936407192746333e-10,6980.8268632335885
200.0,4.395371539385364,95.60462846071457,4.395371539385364,4995.604628460261,1.9127565845718084e-10,8847.16205900829
250.0,5.463112525084064,94.53688747501586,5.463112525084064,4994.53688747424,2.3271020587810542e-10,10654.67892840532
300.0,6.518705514872333,93.48129448522761,6.518705514872333,4993.4812944840305,2.7367334055456394e-10,12406.010219652637
350.0,7.562293673872567,92.43770632622736,7.562293673872567,4992.437706324502,3.14170618124436e-10,14103.63412672198
400.0,8.59401837002486,91.40598163007508,8.59401837002486,4991.40598162771,3.542075244844682e-10,15749.88546972174
450.0,9.614019199070656,90.38598080102926,9.614019199070654,4990.385980797906,3.937894767597913e-10,17346.965918561476
500.0,10.622434009136763,89.37756599096316,10.622434009136763,4989.377565986962,4.329218242579277e-10,18896.953354058343
550.0,11.619398924927241,88.38060107517269,11.619398924927241,4988.380601070167,4.716098494075798e-10,20401.810450209712
600.0,12.605048371530465,87.39495162856946,12.605048371530467,4987.394951622433,5.098587686824846e-10,21863.392552195604
650.0,13.579515097848528,86.4204849022514,13.57951509784853,4986.420484894853,5.476737335106128e-10,23283.454916626364
700.0,14.542930199655984,85.45706980044395,14.542930199655986,4985.457069791651,5.850598311689822e-10,24663.659373466962
750.0,15.495423142294792,84.50457685780513,15.495423142294792,4984.504576847482,6.220220856643555e-10,26005.580462822916
800.0,16.437121783012167,83.56287821708776,16.437121783012167,4983.562878205095,6.585654586000783e-10,27310.71109425561
850.0,17.368152392947913,82.631847607152,17.36815239294791,4982.631847593349,6.946948500293167e-10,28580.467771413052
900.0,18.288639678777663,81.71136032132225,18.28863967877766,4981.711360305566,7.304150992949412e-10,29816.195420435542
950.0,19.19870680401833,80.80129319608157,19.198706804018325,4980.801293178228,7.657309858563016e-10,31019.171856755685
1000.0,20.098475410001882,79.901524590098,20.09847541000188,4979.90152457,8.006472301031331e-10,32190.611921497686
1050.0,20.988065636523558,79.01193436357633,20.988065636523555,4979.011934341087,8.351684941568255e-10,33331.671315640706
1100.0,21.8675961421703,78.1324038579296,21.8675961421703,4978.132403832898,8.692993826592859e-10,34443.450157400635
1150.0,22.737184124335315,77.2628158757646,22.737184124335315,4977.262815848041,9.030444435496203e-10,35526.9962858632
1200.0,23.596945338924332,76.40305466117559,23.596945338924332,4976.4030546306085,9.364081688288496e-10,36583.30833173688
1250.0,24.44699411975911,75.5530058803408,24.44699411975911,4975.553005846776,9.6939499531288e-10,37613.33857415543
1300.0,25.28744339768366,74.71255660241627,25.28744339768366,4974.7125565657,1.0020093053739357e-9,38617.9956007213
1350.0,26.118404719378415,73.88159528072151,26.118404719378415,4973.881595240698,1.0342554276706567e-9,39598.146786420526
1400.0,26.939988265887656,73.06001173421228,26.939988265887656,4973.060011690725,1.0661376378670712e-9,40554.62060563682
1450.0,27.752302870865154,72.24769712923478,27.752302870865154,4972.247697082127,1.0976601593406328e-9,41488.208790228935
1500.0,28.555456038543127,71.44454396155682,28.555456038543127,4971.444543910672,1.1288271638795208e-9,42399.66834549766
1550.0,29.349553961429358,70.65044603867057,29.349553961429358,4970.65044598385,1.15964277236939e-9,43289.723434841595
1600.0,30.134701537737257,69.86529846236267,30.134701537737254,4969.865298403446,1.1901110554697608e-9,44159.067142972875
1650.0,30.911002388553516,69.08899761154643,30.911002388553513,4969.088997548375,1.2202360342802205e-9,45008.36312672504
1700.0,31.678558874748056,68.32144112535188,31.678558874748052,4968.321441057766,1.25002168099663e-9,45838.24716172589
1750.0,32.43747211363063,67.56252788646933,32.437472113630626,4967.562527814308,1.2794719195574972e-9,46649.32859251908
1800.0,33.1878419953586,66.81215800474136,33.187841995358596,4966.812157927844,1.3085906262806912e-9,47442.19169309365
1850.0,33.92976719910014,66.0702328009998,33.929767199100134,4966.070232719207,1.3373816304906716e-9,48217.396944213855
1900.0,34.663345208957125,65.33665479114283,34.66334520895712,4965.336654704293,1.3658487151363874e-9,48975.48223342451
1950.0,35.38867232965186,64.6113276704481,35.388672329651854,4964.611327578381,1.3939956174000138e-9,49716.963983139
2000.0,36.10584370198168,63.89415629811826,36.10584370198167,4963.894156200671,1.4218260292966785e-9,50442.33821178795
2050.0,36.8149533180454,63.18504668205454,36.81495331804539,4963.185046579068,1.4493435982653417e-9,51152.08153261793
2100.0,37.51609403624564,62.4839059638543,37.51609403624563,4962.483905855164,1.4765519277509664e-9,51846.652094372
2150.0,38.20935759607062,61.79064240402932,38.20935759607061,4961.790642289477,1.5034545777781432e-9,52526.4904677604
2200.0,38.89483463265936,61.10516536744058,38.894834632659354,4961.105165246863,1.5300550655163026e-9,53192.02048133064
2250.0,39.57261469115396,60.42738530894598,39.57261469115395,4960.427385182183,1.5563568658366673e-9,53843.65001007552
2300.0,40.2427862408424,59.75721375925754,40.24278624084239,4959.757213626148,1.5823634118610739e-9,54481.771719867094
2350.0,40.905436689095616,59.09456331100432,40.90543668909561,4959.094563171388,1.6080780955028135e-9,55106.76377057724
2400.0,41.56065239510208,58.439347604997856,41.560652395102075,4958.439347458714,1.6335042679996138e-9,55718.990480534725
2450.0,42.20851868340354,57.7914813166964,42.20851868340353,4957.791481163586,1.6586452404389016e-9,56318.80295477675
2500.0,42.84911985723496,57.15088014286498,42.84911985723495,4957.150879982767,1.6835042842754748e-9,56906.53967937597
2550.0,43.48253921167219,56.51746078842775,43.48253921167218,4956.517460621183,1.7080846318417012e-9,57482.527083960835
2600.0,44.10885904659038,55.891140953509556,44.108859046590375,4955.891140778958,1.7323894768503907e-9,58047.080074398014
2650.0,44.728160679436435,55.2718393206635,44.72816067943643,4955.271839138647,1.7564219748904271e-9,58600.502537466404
2700.0,45.34052445781835,54.65947554228159,45.34052445781834,4954.659475352642,1.7801852439153218e-9,59143.08781922713
2750.0,45.94602977191479,54.05397022818515,45.94602977191478,4954.053970030764,1.803682364724764e-9,59675.11917867377
2800.0,46.54475506670752,53.455244933392414,46.544755066707516,4953.455244728034,1.8269163814393215e-9,60196.87021814197
2850.0,47.136777854039906,52.86322214606003,47.1367778540399,4952.863221932606,1.8498903019683726e-9,60708.60529185415
2900.0,47.72217472450401,52.27782527559593,47.722174724504,4952.2778250538895,1.8726070984713993e-9,61210.57989388563
2950.0,48.30102135915941,51.69897864094053,48.3010213591594,4951.698978410827,1.8950697078127437e-9,61703.04102675057
3000.0,48.873392541086304,51.126607459013634,48.8733925410863,4951.126607220338,1.9172810320099336e-9,62186.227551728174
3050.0,49.43936216677552,50.56063783332442,49.43936216677551,4950.560637585931,1.9392439386756844e-9,62660.370521976
3100.0,49.99900325735828,50.000996742741656,49.999003257358275,4950.000996486477,1.9609612614536777e-9,63125.69349940874
3150.0,50.552387969678136,49.447612030421794,50.552387969678136,4949.447611765131,1.9824358004482164e-9,63582.41285625842
3200.0,51.099587607207674,48.90041239289226,51.099587607207674,4948.900412118424,2.0036703226478553e-9,64030.73806217268
3250.0,51.640672630812574,48.35932736928736,51.640672630812574,4948.359327085489,2.0246675623431133e-9,64470.87195765467
3300.0,52.175712669365254,47.82428733073468,52.175712669365254,4947.824287037455,2.045430221538339e-9,64903.011014595526
3350.0,52.70477653021081,47.29522346988912,52.70477653021081,4947.295223166976,2.065960970357851e-9,65327.34558460574
3400.0,53.227932209487186,46.772067790612745,53.227932209487186,4946.7720674779175,2.086262447446426e-9,65744.06013580655
3450.0,53.74524690230242,46.25475309779751,53.74524690230242,4946.254752775171,2.106337260364228e-9,66153.33347870191
3500.0,54.25678701277078,45.74321298732915,54.25678701277078,4945.743212654622,2.1261879859762705e-9,66555.33898171455
3550.0,54.762618163910204,45.237381836189726,54.762618163910204,4945.237381493255,2.1458171708364983e-9,66950.24477693344
3600.0,55.262805207403325,44.737194792696606,55.262805207403325,4944.737194439387,2.1652273315665687e-9,67338.21395658747
3650.0,55.75741223322403,44.2425877668759,55.75741223322403,4944.242587403045,2.1844209552294157e-9,67719.40476072945
3700.0,56.246502579131786,43.753497420968145,56.246502579131786,4943.75349704647,2.2034004996976914e-9,68093.97075658594
3750.0,56.730138840035856,43.269861160064075,56.730138840035856,4943.269860774755,2.2221683940171465e-9,68462.06101000131
3800.0,57.20838287723128,42.79161712286865,57.20838287723128,4942.791616726603,2.24072703876504e-9,68823.82024937964
3850.0,57.68129582750868,42.318704172591254,57.68129582750868,4942.318703765228,2.2590788064036585e-9,69179.38902250514
3900.0,58.148938112140044,41.85106188795989,58.148938112140044,4941.851061469356,2.2772260416290083e-9,69528.90384659873
3950.0,58.611369445742056,41.388630554357874,58.611369445742056,4941.388630124372,2.2951710617147704e-9,69872.49735194942
4000.0,59.0686488450191,40.93135115508083,59.0686488450191,4940.931350713571,2.312916156851577e-9,70210.29841943881
4050.0,59.52083463738783,40.4791653627121,59.52083463738783,4940.4791649095405,2.330463590481697e-9,70542.4323122596
4100.0,59.967984469484996,40.032015530614935,59.967984469484996,4940.032015065642,2.347815599629185e-9,70869.02080211218
4150.0,60.410155315560004,39.589844684539926,60.410155315560004,4939.589844207629,2.3649743952255674e-9,71190.18229014744
4200.0,60.847403485755386,39.152596514344545,60.847403485755386,4939.152596025357,2.381942162431166e-9,71506.03192290949
4250.0,61.27978463427537,38.720215365824565,61.27978463427537,4938.720214864624,2.398721060952091e-9,71816.68170351812
4300.0,61.70735376744318,38.29264623265676,61.70735376744318,4938.292645719108,2.4153132253529094e-9,72122.24059831531
4350.0,62.1301652516528,37.86983474844714,62.1301652516528,4937.869834222415,2.431720765365218e-9,72422.81463919391
4400.0,62.548272821212834,37.451727178887104,62.548272821212834,4937.451726640239,2.4479457661920347e-9,72718.50702180836
4450.0,62.96172958608596,37.03827041401399,62.96172958608595,4937.038269862616,2.4639902888081276e-9,73009.4181998603
4500.0,63.370588039525124,36.62941196057482,63.37058803952512,4936.629411396295,2.4798563702563535e-9,73295.6459756414
4550.0,63.77490006560813,36.22509993449181,63.77490006560813,4936.2250993572,2.4955460239400335e-9,73577.28558700465
4600.0,64.17471694667205,35.82528305342789,64.17471694667205,4935.825282462993,2.511061239911457e-9,73854.4297909285
4650.0,64.57008937064899,35.429910629450966,64.57008937064899,4935.429910025744,2.5264039851565503e-9,74127.16894382781
4700.0,64.96106743830474,35.0389325617952,64.96106743830474,4935.038931944688,2.5415762038757815e-9,74395.59107875895
4750.0,65.34770067038178,34.65229932971817,65.34770067038178,4934.652298699082,2.556579817761343e-9,74659.78197965793
4800.0,65.73003801464783,34.26996198545212,65.73003801464783,4934.269961341161,2.571416726270685e-9,74919.82525274395
4850.0,66.1081278528517,33.89187214724824,66.1081278528517,4933.891871489178,2.586088806896437e-9,75175.80239521414
4900.0,66.48201800758756,33.517981992512375,66.48201800758756,4933.517981320538,2.6005979154327836e-9,75427.79286134808
4950.0,66.85175574906906,33.148244251030874,66.85175574906906,4933.148243565028,2.6149458862383395e-9,75675.87412613587
5000.0,67.21738780181465,32.782612198285264,67.21738780181465,4932.782611498131,2.629134532495578e-9,75920.12174653723
5050.0,67.57896035124541,32.42103964885451,67.57896035124541,4932.421038934426,2.6431656464668655e-9,76160.60942047364
5100.0,67.93651905019655,32.06348094990338,67.93651905019655,4932.063480221081,2.6570409997471463e-9,76397.40904365141
5150.0,68.29010902534407,31.70989097475586,68.29010902534407,4931.709890231418,2.6707623435133323e-9,76630.59076430746
5200.0,68.63977488354767,31.36022511655225,68.63977488354767,4931.36022435858,2.684331408770449e-9,76860.22303596679
5250.0,68.9855607181111,31.014439281988803,68.9855607181111,4931.014438509264,2.6977499065945648e-9,77086.37266829437
5300.0,69.32751011496133,30.672489885138578,69.32751011496133,4930.672489097545,2.7110195283725898e-9,77309.1048761225
5350.0,69.6656661587474,30.33433384135251,69.6656661587474,4930.3343330387725,2.7241419460389388e-9,77528.48332672832
