t,Tgas,Trad
0.,1.,0.
0.01,0.990244007698812,0.3142808088739418
0.02,0.9809531372723133,0.3714974721475267
0.03,0.9720956352342188,0.40871260802493337
0.04,0.9636427201369715,0.43666445955160416
0.05,0.9555682297262604,0.4591170320293321
0.06,0.947848347236158,0.47787797983756836
0.07,0.9404612876466434,0.4939691873364558
0.08,0.9333871104630057,0.5080302449399728
0.09,0.9266075114865208,0.5204906153110413
0.1,0.9201056477422577,0.5316539195638427
0.11,0.9138659875320018,0.5417434507128034
0.12,0.9078741828459843,0.5509286254469518
0.13,0.902116950794686,0.5593412806893922
0.14,0.8965819953440879,0.567086147340844
0.15,0.8912578409587371,0.574247995478929
0.16,0.8861338671803507,0.5808963435126059
0.17,0.881200152226529,0.5870890375106946
0.18,0.8764474105479717,0.5928747615320872
0.19,0.8718670103119426,0.5982948160299513
0.2,0.8674508388389961,0.6033846337532089
0.21,0.8631912891691894,0.6081748232912144
0.22,0.859081248063621,0.6126919820938785
0.23,0.8551139879305864,0.6169594414389147
0.24,0.8512832804841365,0.6209976393131719
0.25,0.8475830899179583,0.6248248423052442
0.26,0.8440079093393091,0.6284571110359144
0.27,0.8405523973692262,0.6319089382777375
0.28,0.8372115889375795,0.6351932451808177
0.29,0.8339807750365993,0.6383216806396608
0.3,0.8308554502757944,0.6413048170598519
0.31,0.8278314382443425,0.6441521532554247
0.32,0.8249046653906975,0.6468724328684177
0.33,0.8220713760982609,0.6494735290403966
0.34,0.8193279187850315,0.6519627183019828
0.35000000000000003,0.8166708680024604,0.6543466307374948
0.36,0.814096961751278,0.6566313623825284
0.37,0.8116030605469932,0.6588225578301492
0.38,0.8091862347375542,0.6609253738315853
0.39,0.8068436077465285,0.6629446516776138
0.4,0.8045725273154454,0.6648847989300974
0.41000000000000003,0.8023704311254214,0.666749933136691
0.42,0.8002347987232913,0.6685439442956697
0.43,0.7981633270892198,0.6702703673443103
0.44,0.7961537833970391,0.6719325252194227
0.45,0.7942039658126546,0.673533575911779
0.46,0.792311853576692,0.6750764028565742
0.47000000000000003,0.7904754912229399,0.6765637235551183
0.48,0.7886929462540757,0.6779981341231253
0.49,0.786962437177744,0.6793820157523183
0.5,0.7852822433887388,0.6807176168948474
0.51,0.7836506614010423,0.6820070954200766
0.52,0.7820661140855872,0.6832524390161382
0.53,0.7805270810896733,0.6844555271992745
0.54,0.7790320548690419,0.6856181710667241
0.55,0.7775796338577481,0.6867420456971058
0.56,0.7761684694908003,0.687828736523488
0.5700000000000001,0.7747972228419346,0.6888797767249458
0.58,0.7734646440044164,0.6898965899345069
0.59,0.7721695325590954,0.6908805244055277
0.6,0.7709106913069983,0.6918328911594931
0.61,0.7696869972210155,0.6927549128938841
0.62,0.7684973961940089,0.6936477310476109
0.63,0.767340836263131,0.6945124584336494
0.64,0.7662162724966486,0.6953501772782008
0.65,0.7651227417318881,0.6961618854666545
0.66,0.7640593331846124,0.6969485207008006
0.67,0.7630251368982173,0.6977110003413324
0.68,0.7620192481978753,0.6984502192910049
0.6900000000000001,0.7610408296681411,0.6991670057904321
0.7000000000000001,0.7600890898921999,0.699862138657604
0.71,0.759163238319359,0.7005363814835874
0.72,0.758262488352313,0.7011904812096985
0.73,0.7573861088792515,0.7018251316589594
0.74,0.7565334094037244,0.7024409855032117
