  120  1.0000E+00
    i  x                       den                     ener                    pres                    vel                     cs
   53  5.2436974789915966E-01  1.4744700166353198E-02  8.2767798254850301E+00  4.8815454747879168E-02  1.4987795962267223E-01  2.1529042482822168E+00
   54  5.3445378151260504E-01  1.7015930798062509E-02  7.1745634888813295E+00  4.8832750333244249E-02  1.5277196172403766E-01  2.0044339734133286E+00
   55  5.4453781512605042E-01  1.9586026282956658E-02  6.2357041881119669E+00  4.8853066448441557E-02  1.5566848615352654E-01  1.8686878672862147E+00
   56  5.5462184873949580E-01  2.2488215889358986E-02  5.4336082772432017E+00  4.8876862398741229E-02  1.5856796720678361E-01  1.7443682625111571E+00
   57  5.6470588235294118E-01  2.5758893526377691E-02  4.7463857438388620E+00  4.8904658004264889E-02  1.6147090390867901E-01  1.6303300330147153E+00
   58  5.7478991596638655E-01  2.9437908519203782E-02  4.1559542684363377E+00  4.8937040625689355E-02  1.6437786822666070E-01  1.5255603528947484E+00
   59  5.8487394957983193E-01  3.3568891681867235E-02  3.6473257324586700E+00  4.8974672976556868E-02  1.6728951415296270E-01  1.4291614360095416E+00
   60  5.9495798319327731E-01  3.8199623112636991E-02  3.2080356973069951E+00  4.9018301827605126E-02  1.7020658773027411E-01  1.3403357752786864E+00
   61  6.0504201680672269E-01  4.3382449496400224E-02  2.8276854060541793E+00  4.9068767727941357E-02  1.7312993810040554E-01  1.2583734848566782E+00
   62  6.1512605042016807E-01  4.9174760353345709E-02  2.4975727150748591E+00  4.9127015891544471E-02  1.7606052966056157E-01  1.1826414166779046E+00
   63  6.2521008403361345E-01  5.5639534693100080E-02  2.2103935941325055E+00  4.9194108426456688E-02  1.7899945541697196E-01  1.1125737785487321E+00
   64  6.3529411764705882E-01  6.2845972005340297E-02  1.9599998435513818E+00  4.9271238119320601E-02  1.8194795163074344E-01  1.0476640264840508E+00
   65  6.4537815126050420E-01  7.0870224552705099E-02  1.7412017650096613E+00  4.9359744031120461E-02  1.8490741385570551E-01  9.8745784133066173E-01
   66  6.5546218487394958E-01  7.9796251671295072E-02  1.5496069106323311E+00  4.9461129212958216E-02  1.8787941447249981E-01  9.3154703045745650E-01
   67  6.6554621848739496E-01  8.9716821410392791E-02  1.3814878897956674E+00  4.9577080915767317E-02  1.9086572182685575E-01  8.7956422067156288E-01
   68  6.7563025210084034E-01  1.0073469059175950E-01  1.2336736593908468E+00  4.9709493747976262E-02  1.9386832108241348E-01  8.3117822953857147E-01
   69  6.8571428571428571E-01  1.1296400154602920E-01  1.1034598556088752E+00  4.9860496333992854E-02  1.9688943689890297E-01  7.8609001974390318E-01
   70  6.9579831932773109E-01  1.2653194278922322E-01  9.8853461516934560E-01  5.0032482148709774E-02  1.9993155804400070E-01  7.4402915567525547E-01
   71  7.0588235294117647E-01  1.4158073226162109E-01  8.8691703582676226E-01  5.0228145355063771E-02  2.0299746404043152E-01  7.0475069355268241E-01
   72  7.1596638655462185E-01  1.5826999615819005E-01  7.9690598163557536E-01  5.0450522660760473E-02  2.0609025393704803E-01  6.6803244660414677E-01
   73  7.2605042016806723E-01  1.7677963475656284E-01  7.1703737984903049E-01  5.0703042446605768E-02  2.0921337727125079E-01  6.3367257532219041E-01
   74  7.3613445378151261E-01  1.9731329022731328E-01  6.4604850814540057E-01  5.0989582715446477E-02  2.1237066725692355E-01  6.0148746002009412E-01
   75  7.4621848739495798E-01  2.2010256184848508E-01  5.8284805221612763E-01  5.1314539784467717E-02  2.1556637618269465E-01  5.7130981896080823E-01
   76  7.5630252100840336E-01  2.4541215358291273E-01  5.2649093944850758E-01  5.1682910116779661E-02  2.1880521293408455E-01  5.4298704044494860E-01
   77  7.6638655462184874E-01  2.7354619066439740E-01  4.7615713605546807E-01  5.2100388290256993E-02  2.2209238245255901E-01  5.1637970156761790E-01
   78  7.7647058823529412E-01  3.0485600986139888E-01  4.3113374159384812E-01  5.2573484871566383E-02  2.2543362680522258E-01  4.9136025001271211E-01
   79  7.8655462184873950E-01  3.3974981822336423E-01  3.9079983347223255E-01  5.3109668953564809E-02  2.2883526734899650E-01  4.6781182835029966E-01
   80  7.9663865546218487E-01  3.7870473540763590E-01  3.5461361037325338E-01  5.3717541395339765E-02  2.3230424721807555E-01  4.4562722292182947E-01
   81  8.0672268907563025E-01  4.2228189641811522E-01  3.2210146192316405E-01  5.4407046471984417E-02  2.3584817302592503E-01  4.2470792160845301E-01
   82  8.1680672268907563E-01  4.7114551072941683E-01  2.9284865593717896E-01  5.5189731827178180E-02  2.3947535423329433E-01  4.0496326663639533E-01
   83  8.2689075630252101E-01  5.2608707312899641E-01  2.6649138693913781E-01  5.6079069507559150E-02  2.4319483807054055E-01  3.8630969012686852E-01
   84  8.3697478991596639E-01  5.8805633407781387E-01  2.4270997262211591E-01  5.7090854697715220E-02  2.4701643719575457E-01  3.6867002138549984E-01
   85  8.4705882352941176E-01  6.5820121090730016E-01  2.2122302026334434E-01  5.8243703927161378E-02  2.5095074640469858E-01  3.5197285598107254E-01
   86  8.5714285714285714E-01  7.3791962639630185E-01  2.0178241426384331E-01  5.9559681498767627E-02  2.5500914368156242E-01  3.3615197751575441E-01
   87  8.6722689075630252E-01  8.2892740361990318E-01  1.8416900010673328E-01  6.1065092434299236E-02  2.5920376971136297E-01  3.2114582366857994E-01
   88  8.7731092436974790E-01  9.3334798475339003E-01  1.6818886005708166E-01  6.2791493436898840E-02  2.6354747872471590E-01  3.0689698863293809E-01
   89  8.8739495798319328E-01  1.0538321209392762E+00  1.5367009262727808E-01  6.4776991855335792E-02  2.6805375233275190E-01  2.9335175450519420E-01
   90  8.9747899159663866E-01  1.1937191803280739E+00  1.4046002183554466E-01  6.7067928853755892E-02  2.7273656703754498E-01  2.8045964456210988E-01
   91  9.0756302521008403E-01  1.3572569427858654E+00  1.2842277411100142E-01  6.9721080709591029E-02  2.7761020568308988E-01  2.6817299174629946E-01
   92  9.1764705882352941E-01  1.5499046591646961E+00  1.1743717077343730E-01  7.2806567256348218E-02  2.8268900367636984E-01  2.5644651612592613E-01
   93  9.2773109243697479E-01  1.7787563348302625E+00  1.0739489268205046E-01  7.6411738274645382E-02  2.8798702289717581E-01  2.4523690566867838E-01
   94  9.3781512605042017E-01  2.0531403003634539E+00  9.8198881163165990E-02  8.0646432146679093E-02  2.9351765041081717E-01  2.3450239540647118E-01
   95  9.4789915966386555E-01  2.3854816817335032E+00  8.9761945859007967E-02  8.5650191025367197E-02  2.9929312588231709E-01  2.2420234093569242E-01
   96  9.5798319327731092E-01  2.7925642866696107E+00  8.2005555752784988E-02  9.1602314521488400E-02  3.0532401111706942E-01  2.1429678304062241E-01
   97  9.6806722689075630E-01  3.2974118583906372E+00  7.4858794278164150E-02  9.8736110383057458E-02  3.1161862694601785E-01  2.0474600068321707E-01
   98  9.7815126050420168E-01  3.9321517246055777E+00  6.8257462981204370E-02  1.0735948031149766E-01  3.1818249534628166E-01  1.9551004902427508E-01
   99  9.8823529411764706E-01  4.7424761697852925E+00  6.2143320496153939E-02  1.1788528662573600E-01  3.2501783582946148E-01  1.8654827653410847E-01
  100  9.9831932773109244E-01  5.7947757427444514E+00  5.6463444498370014E-02  1.3087719941238088E-01  3.3212317155608127E-01  1.7781880923875069E-01
  101  1.0084033613445378E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  102  1.0184873949579832E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  103  1.0285714285714286E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  104  1.0386554621848739E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  105  1.0487394957983193E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  106  1.0588235294117647E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  107  1.0689075630252101E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  108  1.0789915966386555E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  109  1.0890756302521008E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  110  1.0991596638655462E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  111  1.1092436974789916E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  112  1.1193277310924370E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  113  1.1294117647058824E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  114  1.1394957983193277E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  115  1.1495798319327731E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  116  1.1596638655462185E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  117  1.1697478991596639E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  118  1.1798319327731092E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  119  1.1899159663865546E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  120  1.2000000000000000E+00  1.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
