# x density velocity pressure
0.0627441 0.250913 0.0156798 9.98587e-12
0.0632324 0.250938 0.0158015 9.98723e-12
0.0637207 0.250945 0.0159235 9.98758e-12
0.064209 0.25095 0.0160455 9.98822e-12
0.0646973 0.250976 0.0161674 9.99001e-12
0.0651855 0.250996 0.0162892 9.99101e-12
0.0656738 0.251 0.0164112 9.99129e-12
0.0661621 0.251011 0.0165332 9.99231e-12
0.0666504 0.25104 0.016655 9.99414e-12
0.0671387 0.251055 0.0167768 9.99486e-12
0.067627 0.251058 0.0168988 9.9952e-12
0.0681152 0.251075 0.0170207 9.99659e-12
0.0686035 0.251103 0.0171425 9.99828e-12
0.0690918 0.251115 0.0172644 9.99883e-12
0.0695801 0.251119 0.0173864 9.99929e-12
0.0700684 0.251141 0.0175083 1.0001e-11
0.0705566 0.251168 0.0176301 1.00025e-11
0.0710449 0.251177 0.017752 1.0003e-11
0.0715332 0.251183 0.0178739 1.00036e-11
0.0720215 0.251208 0.0179958 1.00054e-11
0.0725098 0.251234 0.0181176 1.00068e-11
0.072998 0.251241 0.0182395 1.00072e-11
0.0734863 0.251249 0.0183614 1.0008e-11
0.0739746 0.251276 0.0184832 1.001e-11
0.0744629 0.251301 0.018605 1.00113e-11
0.0749512 0.251308 0.0187269 1.00117e-11
0.0754395 0.251317 0.0188488 1.00125e-11
0.0759277 0.251346 0.0189707 1.00146e-11
0.076416 0.251371 0.0190925 1.00159e-11
0.0769043 0.251378 0.0192143 1.00163e-11
0.0773926 0.251387 0.0193362 1.00172e-11
0.0778809 0.251416 0.019458 1.00192e-11
0.0783691 0.251442 0.0195798 1.00206e-11
0.0788574 0.25145 0.0197017 1.00211e-11
0.0793457 0.251458 0.0198236 1.00219e-11
0.079834 0.251487 0.0199454 1.0024e-11
0.0803223 0.251515 0.0200672 1.00255e-11
0.0808105 0.251525 0.020189 1.0026e-11
0.0812988 0.251532 0.0203109 1.00268e-11
0.0817871 0.25156 0.0204327 1.00288e-11
0.0822754 0.25159 0.0205545 1.00305e-11
0.0827637 0.251602 0.0206763 1.00311e-11
0.083252 0.251608 0.0207981 1.00318e-11
0.0837402 0.251633 0.0209199 1.00337e-11
0.0842285 0.251666 0.0210417 1.00356e-11
0.0847168 0.251682 0.0211635 1.00364e-11
0.0852051 0.251688 0.0212853 1.0037e-11
0.0856934 0.251707 0.0214071 1.00387e-11
0.0861816 0.251742 0.0215289 1.00408e-11
0.0866699 0.251764 0.0216507 1.00419e-11
0.0871582 0.251771 0.0217724 1.00424e-11
0.0876465 0.251784 0.0218942 1.00438e-11
0.0881348 0.251819 0.022016 1.0046e-11
0.088623 0.251847 0.0221378 1.00474e-11
0.0891113 0.251857 0.0222595 1.0048e-11
0.0895996 0.251865 0.0223813 1.00491e-11
0.0900879 0.251895 0.0225031 1.00512e-11
0.0905762 0.25193 0.0226248 1.00529e-11
0.0910645 0.251946 0.0227466 1.00539e-11
0.0915527 0.251951 0.0228683 1.00547e-11
0.092041 0.251972 0.0229901 1.00564e-11
0.0925293 0.25201 0.0231119 1.00584e-11
0.0930176 0.252037 0.0232336 1.00597e-11
0.0935059 0.252044 0.0233553 1.00607e-11
0.0939941 0.252054 0.0234771 1.00619e-11
0.0944824 0.252089 0.0235988 1.00639e-11
0.0949707 0.252125 0.0237205 1.00657e-11
0.095459 0.25214 0.0238422 1.00668e-11
0.0959473 0.252145 0.0239639 1.00678e-11
0.0964355 0.252168 0.0240857 1.00694e-11
0.0969238 0.252209 0.0242074 1.00715e-11
0.0974121 0.252237 0.0243291 1.00731e-11
0.0979004 0.252244 0.0244508 1.00742e-11
0.0983887 0.252253 0.0245725 1.00752e-11
0.098877 0.252289 0.0246942 1.0077e-11
0.0993652 0.252329 0.0248159 1.00791e-11
0.0998535 0.252347 0.0249376 1.00808e-11
0.100342 0.252351 0.0250593 1.00816e-11
0.10083 0.25237 0.025181 1.00827e-11
0.101318 0.252413 0.0253027 1.0085e-11
0.101807 0.252447 0.0254243 1.00871e-11
0.102295 0.252458 0.025546 1.00884e-11
0.102783 0.252463 0.0256677 1.00891e-11
0.103271 0.252494 0.0257894 1.00907e-11
0.10376 0.252539 0.025911 1.00933e-11
0.104248 0.252566 0.0260326 1.00953e-11
0.104736 0.252571 0.0261543 1.00962e-11
0.105225 0.252581 0.026276 1.00968e-11
0.105713 0.252623 0.0263976 1.0099e-11
0.106201 0.252666 0.0265193 1.01017e-11
0.106689 0.252684 0.0266409 1.01035e-11
0.107178 0.252688 0.0267625 1.01042e-11
0.107666 0.252707 0.0268842 1.0105e-11
0.108154 0.252755 0.0270058 1.01075e-11
0.108643 0.252792 0.0271274 1.01101e-11
0.109131 0.252804 0.027249 1.01117e-11
0.109619 0.252809 0.0273706 1.01124e-11
0.110107 0.252838 0.0274923 1.01136e-11
0.110596 0.252888 0.0276139 1.01162e-11
0.111084 0.25292 0.0277354 1.01188e-11
0.111572 0.252928 0.027857 1.01202e-11
0.112061 0.252935 0.0279786 1.01207e-11
0.112549 0.252973 0.0281002 1.01224e-11
