# Initial mass = 0.900, Z =  0.0001, Y =  0.240, M_mix = 0.00E+00
# Final mass = 0.775, Mass expelled =   0.1250
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
 ir  77  -0.546226 -1.866226  0.311491 4.00522E-11 5.00653E-12
 pt  78   0.085827 -1.534173  0.643543 1.74219E-10 2.17774E-11
 au  79  -0.709315 -1.509315  0.668401 2.81928E-11 3.52410E-12
 hg  80   0.514480 -0.655520  1.522196 4.80673E-10 6.00841E-11
 tl  81   0.238914 -0.531086  1.646630 2.59668E-10 3.24585E-11
 pb  82   1.327485 -0.712515  1.465201 3.22801E-09 4.03502E-10
 bi  83  -0.450220 -1.100220  1.077496 5.43181E-11 6.78977E-12
#  [Rb/Zr]  [ls/Fe]  [hs/Fe]  [hs/ls]  [Pb/hs]
   -0.4014   1.2924   1.7843   0.4919  -0.3191
# Initial mass = 0.900, Z =  0.0001, Y =  0.240, M_mix = 2.00E-03
# Final mass = 0.775, Mass expelled =   0.1250
# El  Z   log e(X)   [X/H]    [X/Fe]     X(i)      Mass(i)
  p   1  12.000000  0.000000  0.000000 7.38612E-01 9.23265E-02
 he   2  10.952014  0.022014  2.200485 2.62637E-01 3.28296E-02
  c   6   8.621494  0.151494  2.329966 3.68154E-03 4.60192E-04
  n   7   7.119430 -0.750570  1.427901 1.35123E-04 1.68904E-05
  o   8   7.268182 -1.461818  0.716654 2.17385E-04 2.71732E-05
  f   9   4.612089  0.192089  2.370560 5.69839E-07 7.12299E-08
 ne  10   7.453745 -0.516254  1.662217 4.20361E-04 5.25451E-05
 na  11   5.729227 -0.510773  1.667699 9.03071E-06 1.12884E-06
 mg  12   5.852251 -1.787749  0.390723 1.26737E-05 1.58421E-06
 al  13   4.331485 -2.118515  0.059957 4.24146E-07 5.30182E-08
 si  14   5.379993 -2.170007  0.008464 4.93672E-06 6.17090E-07
  p  15   3.431887 -1.978113  0.200358 6.13535E-08 7.66919E-09
  s  16   4.984374 -2.165627  0.012845 2.26652E-06 2.83316E-07
 cl  17   3.067766 -2.162234  0.016238 3.03651E-08 3.79564E-09
 ar  18   4.261830 -2.178170  0.000301 5.34910E-07 6.68637E-08
  k  19   2.908465 -2.171535  0.006937 2.32047E-08 2.90059E-09
