  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -8.6765051E-02  2.2221925E+00  2.3089576E+00  6.4523590E-01  6.7046791E-01 -1.6659467E-02
      d      2  -3.2858562E-04  3.1559375E-09  3.2858877E-04  9.1635816E-10  9.5414587E-05 -5.0175495E+00
    he3      3  -9.8994421E-04  1.1001104E-03  2.0900546E-03  3.1942810E-04  6.0690352E-04 -2.7874655E-01
    he4      4   7.4765801E-02  1.1086274E+00  1.0338616E+00  3.2190111E-01  3.0020952E-01  3.0298037E-02
    li7      7  -5.1866941E-08  6.1740462E-09  5.8040989E-08  1.7926963E-09  1.6853761E-08 -9.7319013E-01
    be7      7   2.6439723E-15  2.6439723E-15  0.0000000E+00  7.6770392E-16  0.0000000E+00  0.0000000E+00
     b8      8   6.3166277E-27  6.3166277E-27  0.0000000E+00  1.8340962E-27  0.0000000E+00  0.0000000E+00
    c12     12   4.5423768E-03  2.1811588E-02  1.7269211E-02  6.3332138E-03  5.0145797E-03  1.0138962E-01
    c13     13   3.5267795E-04  5.6194188E-04  2.0926392E-04  1.6316547E-04  6.0765407E-05  4.2897186E-01
    c14     14   9.8755066E-08  9.8755066E-08  0.0000000E+00  2.8674526E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   9.3780980E-03  1.4483582E-02  5.1054838E-03  4.2054537E-03  1.4825147E-03  4.5281386E-01
    n15     15  -6.7558831E-06  5.4653947E-06  1.2221278E-05  1.5869323E-06  3.5487767E-06 -3.4952030E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -2.6307143E-03  3.9636858E-02  4.2267572E-02  1.1508960E-02  1.2273526E-02 -2.7933255E-02
    o17     17   7.5684606E-05  9.2745875E-05  1.7061267E-05  2.6929696E-05  4.9541977E-06  7.3525810E-01
    o18     18  -3.1321237E-05  6.4009073E-05  9.5330310E-05  1.8585677E-05  2.7681719E-05 -1.7301469E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   2.1633207E-06  4.8652664E-06  2.7019457E-06  1.4126790E-06  7.8458260E-07  2.5540483E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -7.8780577E-06  8.5462928E-03  8.5541708E-03  2.4815020E-03  2.4839337E-03 -4.2535941E-04
   ne21     21   2.1866745E-06  2.3716842E-05  2.1530168E-05  6.8864233E-06  6.2518634E-06  4.1984234E-02
   ne22     22   1.4518326E-03  2.1437039E-03  6.9187128E-04  6.2244595E-04  2.0090342E-04  4.9111432E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.3253025E-15  1.3253025E-15  0.0000000E+00  3.8481488E-16  0.0000000E+00  0.0000000E+00
   na23     23   8.9942332E-05  3.2149252E-04  2.3155019E-04  9.3348586E-05  6.7236826E-05  1.4250053E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -3.5941601E-05  4.0445034E-03  4.0804450E-03  1.1743623E-03  1.1848669E-03 -3.8674742E-03
   mg25     25   4.9131573E-05  5.8723066E-04  5.3809909E-04  1.7050833E-04  1.5625154E-04  3.7921295E-02
