  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    s33     33   4.4814442E-07  2.1899183E-05  2.1451038E-05  5.2986170E-06  5.1905627E-06  8.9481147E-03
    s34     34   1.0956574E-06  1.2584901E-04  1.2475335E-04  3.0449797E-05  3.0186888E-05  3.7660813E-03
    s35     35   4.9203037E-24  4.9203037E-24  0.0000000E+00  1.1904921E-24  0.0000000E+00  0.0000000E+00
    s36     36   8.0793484E-08  6.9661041E-07  6.1581693E-07  1.6854837E-07  1.4901079E-07  5.3506836E-02
   cl35     35  -7.7778168E-08  2.6574213E-05  2.6651991E-05  6.4297637E-06  6.4490509E-06 -1.3008005E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   7.2226067E-07  9.7274451E-06  9.0051844E-06  2.3536040E-06  2.1790077E-06  3.3474632E-02
   ar36     36  -1.6621198E-06  4.9466279E-04  4.9632491E-04  1.1968613E-04  1.2009701E-04 -1.4883763E-03
   ar37     37   8.4759941E-24  8.4759941E-24  0.0000000E+00  2.0508092E-24  0.0000000E+00  0.0000000E+00
   ar38     38   7.0498209E-07  9.5958123E-05  9.5253141E-05  2.3217548E-05  2.3048646E-05  3.1709203E-03
   ar39     39   4.4377013E-10  4.4377013E-10  0.0000000E+00  1.0737240E-10  0.0000000E+00  0.0000000E+00
   ar40     40   3.4592261E-08  1.9495705E-07  1.6036479E-07  4.7170833E-08  3.8803879E-08  8.4798411E-02
    k39     39   5.2181349E-08  2.5892110E-05  2.5839929E-05  6.2647255E-06  6.2525537E-06  8.4461394E-04
    k40     40  -4.1830623E-09  0.0000000E+00  4.1830623E-09  0.0000000E+00  1.0121863E-09  0.0000000E+00
    k41     41   9.0815547E-08  2.0510874E-06  1.9602719E-06  4.9627084E-07  4.7433201E-07  1.9636307E-02
   ca40     40  -1.0111253E-06  4.4637659E-04  4.4738772E-04  1.0800305E-04  1.0825555E-04 -1.0141789E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   6.3908146E-08  3.1990960E-06  3.1351879E-06  7.7403729E-07  7.5862943E-07  8.7322127E-03
   ca43     43   1.4404179E-08  6.8416608E-07  6.6976190E-07  1.6553740E-07  1.6206401E-07  9.2095276E-03
   ca44     44  -4.3528416E-09  1.0585329E-05  1.0589682E-05  2.5611732E-06  2.5624124E-06 -2.1006366E-04
   ca45     45   1.8868820E-21  1.8868820E-21  0.0000000E+00  4.5654054E-22  0.0000000E+00  0.0000000E+00
   ca46     46   1.4233274E-08  3.5461817E-08  2.1228542E-08  8.5801641E-09  5.1367248E-09  2.2280931E-01
   ca47     47   4.0519767E-37  4.0519767E-37  0.0000000E+00  9.8039605E-38  0.0000000E+00  0.0000000E+00
   ca48     48  -3.8210146E-10  1.0352348E-06  1.0356169E-06  2.5048024E-07  2.5059089E-07 -1.9180561E-04
   sc45     45   1.8287238E-08  3.1705440E-07  2.9876716E-07  7.6712901E-08  7.2293453E-08  2.5769442E-02
   sc46     46   1.1475367E-25  1.1475367E-25  0.0000000E+00  2.7765226E-26  0.0000000E+00  0.0000000E+00
   sc47     47   1.1593454E-36  1.1593454E-36  0.0000000E+00  2.8050942E-37  0.0000000E+00  0.0000000E+00
   sc48     48   2.3278474E-31  1.8835382E-28  1.8812103E-28  4.5573148E-29  4.5520128E-29  0.0000000E+00
   ti46     46  -7.4402351E-09  1.8178264E-06  1.8252666E-06  4.3983218E-07  4.4166444E-07 -1.8054369E-03
