  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    s33     33   1.8268383E-07  1.2104368E-05  1.1921684E-05  5.2696423E-06  5.1905627E-06  6.5667122E-03
    s34     34   1.0085932E-07  6.9434100E-05  6.9333240E-05  3.0228168E-05  3.0186888E-05  5.9347023E-04
    s35     35   2.8880031E-19  2.8880031E-19  0.0000000E+00  1.2572935E-19  0.0000000E+00  0.0000000E+00
    s36     36   4.8664475E-08  3.9091245E-07  3.4224797E-07  1.7018392E-07  1.4901079E-07  5.7700817E-02
   cl35     35  -4.5640263E-08  1.4766540E-05  1.4812180E-05  6.4286201E-06  6.4490509E-06 -1.3780491E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   6.2146955E-07  5.6262138E-06  5.0047443E-06  2.4493747E-06  2.1790077E-06  5.0796464E-02
   ar36     36  -8.5489592E-07  2.7498390E-04  2.7583880E-04  1.1971437E-04  1.2009701E-04 -1.3859175E-03
   ar37     37   5.2313833E-19  5.2313833E-19  0.0000000E+00  2.2774852E-19  0.0000000E+00  0.0000000E+00
   ar38     38   3.5756239E-07  5.3295691E-05  5.2938129E-05  2.3202305E-05  2.3048646E-05  2.8857370E-03
   ar39     39   2.2093126E-11  2.2093126E-11  0.0000000E+00  9.6182524E-12  0.0000000E+00  0.0000000E+00
   ar40     40   6.9282564E-08  1.5840732E-07  8.9124754E-08  6.8962699E-08  3.8803879E-08  2.4973911E-01
    k39     39   9.1317816E-08  1.4452182E-05  1.4360864E-05  6.2917643E-06  6.2525537E-06  2.7150104E-03
    k40     40  -2.3247895E-09  0.0000000E+00  2.3247895E-09  0.0000000E+00  1.0121863E-09  0.0000000E+00
    k41     41   7.2058356E-08  1.1615041E-06  1.0894457E-06  5.0566138E-07  4.7433201E-07  2.7777353E-02
   ca40     40  -6.1196624E-07  2.4802936E-04  2.4864133E-04  1.0797970E-04  1.0825555E-04 -1.1080635E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   5.1994107E-08  1.7944142E-06  1.7424201E-06  7.8119905E-07  7.5862943E-07  1.2731997E-02
