  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    s33     33   4.0067789E-08  1.0716536E-05  1.0676468E-05  5.2097894E-06  5.1905627E-06  1.6057373E-03
    s34     34   1.9630534E-08  6.2111038E-05  6.2091407E-05  3.0194964E-05  3.0186888E-05  1.1616069E-04
    s35     35   2.0889857E-18  2.0889857E-18  0.0000000E+00  1.0155497E-18  0.0000000E+00  0.0000000E+00
    s36     36   1.5429521E-08  3.2192980E-07  3.0650028E-07  1.5650453E-07  1.4901079E-07  2.1309178E-02
   cl35     35  -1.3686076E-08  1.3251367E-05  1.3265053E-05  6.4420842E-06  6.4490509E-06 -4.6941091E-04
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   1.8659239E-07  4.6685932E-06  4.4820008E-06  2.2696127E-06  2.1790077E-06  1.7692965E-02
   ar36     36  -2.5756890E-07  2.4676998E-04  2.4702755E-04  1.1996597E-04  1.2009701E-04 -4.7415320E-04
   ar37     37   3.3615501E-18  3.3615501E-18  0.0000000E+00  1.6342005E-18  0.0000000E+00  0.0000000E+00
   ar38     38   1.0514850E-07  4.7513910E-05  4.7408761E-05  2.3098644E-05  2.3048646E-05  9.4107358E-04
   ar39     39   4.8312951E-12  4.8312951E-12  0.0000000E+00  2.3487093E-12  0.0000000E+00  0.0000000E+00
   ar40     40   2.3200094E-08  1.0301579E-07  7.9815699E-08  5.0080601E-08  3.8803879E-08  1.1079437E-01
    k39     39   3.0076080E-08  1.2890954E-05  1.2860878E-05  6.2668714E-06  6.2525537E-06  9.9335029E-04
    k40     40  -2.0819662E-09  0.0000000E+00  2.0819662E-09  0.0000000E+00  1.0121863E-09  0.0000000E+00
    k41     41   2.1015012E-08  9.9666852E-07  9.7565351E-07  4.8452529E-07  4.7433201E-07  9.2340093E-03
   ca40     40  -1.8742867E-07  2.2248342E-04  2.2267085E-04  1.0815918E-04  1.0825555E-04 -3.8680504E-04
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ca42     42   1.6659897E-08  1.5770847E-06  1.5604248E-06  7.6669170E-07  7.5862943E-07  4.5910641E-03
   ca43     43   3.1780019E-09  3.3652748E-07  3.3334948E-07  1.6360111E-07  1.6206401E-07  4.0996675E-03
   ca44     44   2.0988864E-08  5.2916153E-06  5.2706264E-06  2.5724917E-06  2.5624124E-06  1.7049676E-03
   ca45     45   1.3743645E-18  1.3743645E-18  0.0000000E+00  6.6814030E-19  0.0000000E+00  0.0000000E+00
   ca46     46   1.3587108E-08  2.4152838E-08  1.0565730E-08  1.1741779E-08  5.1367248E-09  3.5904759E-01
   ca47     47   1.3821870E-31  1.3821870E-31  0.0000000E+00  6.7194319E-32  0.0000000E+00  0.0000000E+00
   ca48     48  -1.4131274E-10  5.1529912E-07  5.1544043E-07  2.5051003E-07  2.5059089E-07 -1.4016924E-04
   sc45     45   2.9897791E-09  1.5169019E-07  1.4870041E-07  7.3743408E-08  7.2293453E-08  8.6242221E-03
   sc46     46   4.7068044E-20  4.7068044E-20  0.0000000E+00  2.2881889E-20  0.0000000E+00  0.0000000E+00
   sc47     47   3.8574733E-31  3.8574733E-31  0.0000000E+00  1.8752909E-31  0.0000000E+00  0.0000000E+00
   sc48     48   1.2910953E-31  9.3759458E-29  9.3630348E-29  4.5580680E-29  4.5520128E-29  0.0000000E+00
   ti46     46   3.7228460E-09  9.1218243E-07  9.0845958E-07  4.4345282E-07  4.4166444E-07  1.7549866E-03
   ti47     47   4.2967940E-10  8.3750763E-07  8.3707795E-07  4.0715005E-07  4.0696094E-07  2.0176015E-04
   ti48     48  -8.9812602E-09  8.4617486E-06  8.4707299E-06  4.1136359E-06  4.1182020E-06 -4.8179794E-04
   ti49     49   1.1302973E-08  6.4588443E-07  6.3458145E-07  3.1399341E-07  3.0851351E-07  7.6463609E-03
   ti50     50   3.3196045E-08  6.5319790E-07  6.2000186E-07  3.1754882E-07  3.0142536E-07  2.2630731E-02
    v51     51  -1.9512072E-09  1.3644055E-06  1.3663567E-06  6.6329881E-07  6.6427958E-07 -6.4169517E-04
   cr52     52  -4.2935426E-08  5.5969831E-05  5.6012766E-05  2.7209448E-05  2.7231643E-05 -3.5410907E-04
   cr53     53  -7.0531314E-09  6.4664564E-06  6.4735095E-06  3.1436348E-06  3.1472164E-06 -4.9452228E-04
   cr54     54   2.3291818E-08  1.6650911E-06  1.6417993E-06  8.0947552E-07  7.9819102E-07  6.0968958E-03
   mn55     55   1.0938675E-07  4.9025650E-05  4.8916263E-05  2.3833569E-05  2.3781547E-05  9.4897748E-04
   fe54     54  -5.5602868E-07  3.2175722E-04  3.2231325E-04  1.5642063E-04  1.5669856E-04 -7.7097269E-04
   fe55     55   1.2041514E-13  1.2041514E-13  0.0000000E+00  5.8539206E-14  0.0000000E+00  0.0000000E+00
   fe56     56  -4.6999194E-06  5.2422471E-03  5.2469471E-03  2.5484916E-03  2.5509002E-03 -4.1027926E-04
   fe57     57   9.0364483E-07  1.2424760E-04  1.2334395E-04  6.0402337E-05  5.9965951E-05  3.1490254E-03
   fe58     58   8.9826426E-07  1.7600019E-05  1.6701755E-05  8.5561596E-06  8.1198668E-06  2.2729989E-02
   fe59     59   7.1818142E-19  7.1818142E-19  0.0000000E+00  3.4914022E-19  0.0000000E+00  0.0000000E+00
   fe60     60   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   co59     59   2.7243914E-07  1.3153776E-05  1.2881337E-05  6.3946413E-06  6.2625008E-06  9.0683969E-03
   co60     60   7.2954207E-16  7.2954207E-16  0.0000000E+00  3.5466315E-16  0.0000000E+00  0.0000000E+00
   ni58     58  -3.0770025E-07  1.8399657E-04  1.8430427E-04  8.9448993E-05  8.9602931E-05 -7.4675289E-04
   ni59     59   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni60     60   1.6787817E-07  7.3607262E-05  7.3439383E-05  3.5783793E-05  3.5703917E-05  9.7051874E-04
   ni61     61   1.1113548E-07  3.3566978E-06  3.2455623E-06  1.6318414E-06  1.5778902E-06  1.4601161E-02
   ni62     62   1.6195827E-07  1.0679885E-05  1.0517927E-05  5.1919715E-06  5.1134848E-06  6.6153076E-03
   ni63     63   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ni64     64   6.6688949E-07  3.4318446E-06  2.7649551E-06  1.6683737E-06  1.3442341E-06  9.3818441E-02
   cu63     63   7.0007900E-08  2.3521616E-06  2.2821537E-06  1.1434913E-06  1.1095112E-06  1.3101170E-02
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   1.6329352E-07  1.2127972E-06  1.0495037E-06  5.8959517E-07  5.1023562E-07  6.2783144E-02
   zn64     64   4.0436589E-08  3.9504198E-06  3.9099832E-06  1.9204765E-06  1.9009107E-06  4.4472958E-03
   zn65     65   1.3363360E-16  1.3363360E-16  0.0000000E+00  6.4965290E-17  0.0000000E+00  0.0000000E+00
   zn66     66   1.7915931E-07  2.4925528E-06  2.3133935E-06  1.2117418E-06  1.1246990E-06  3.2373790E-02
   zn67     67   3.9702542E-08  3.8480488E-07  3.4510234E-07  1.8707092E-07  1.6777788E-07  4.7271576E-02
   zn68     68   2.3643372E-07  1.8382148E-06  1.6017810E-06  8.9363868E-07  7.7873545E-07  5.9772022E-02
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   1.1450467E-09  5.5669148E-08  5.4524101E-08  2.7063271E-08  2.6507900E-08  9.0049636E-03
   ga69     69   4.4007876E-08  1.9086195E-07  1.4685408E-07  9.2786564E-08  7.1395824E-08  1.1381230E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   5.0038892E-08  1.5032438E-07  1.0028549E-07  7.3079427E-08  4.8755648E-08  1.7577019E-01
   ge70     70   8.0331034E-08  2.4366415E-07  1.6333311E-07  1.1845608E-07  7.9407421E-08  1.7369626E-01
   ge71     71   3.5166693E-24  3.5166693E-24  0.0000000E+00  1.7096109E-24  0.0000000E+00  0.0000000E+00
   ge72     72   8.8797776E-08  3.1081655E-07  2.2201877E-07  1.5110187E-07  1.0793853E-07  1.4609334E-01
   ge73     73   2.4907436E-08  8.8089664E-08  6.3182227E-08  4.2824340E-08  3.0717207E-08  1.4430895E-01
   ge74     74   1.1888955E-07  4.1948695E-07  3.0059741E-07  2.0393144E-07  1.4614099E-07  1.4471214E-01
   as75     75   1.0852148E-08  5.4923191E-08  4.4071044E-08  2.6700629E-08  2.1425953E-08  9.5581338E-02
   se76     76   4.2140453E-08  8.8022418E-08  4.5881965E-08  4.2791648E-08  2.2306367E-08  2.8293017E-01
   se77     77   1.7111866E-08  5.4966073E-08  3.7854207E-08  2.6721475E-08  1.8403522E-08  1.6195945E-01
   se78     78   1.1281206E-07  2.3227108E-07  1.1945902E-07  1.1291740E-07  5.8077209E-08  2.8875512E-01
   se79     79   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   se80     80   1.4920246E-07  4.0491372E-07  2.5571126E-07  1.9684674E-07  1.2431876E-07  1.9959156E-01
   br79     79   2.4275710E-08  6.5168514E-08  4.0892804E-08  3.1681338E-08  1.9880794E-08  2.0236981E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   2.0261499E-08  6.1047501E-08  4.0786002E-08  2.9677931E-08  1.9828869E-08  1.7513567E-01
   kr80     80   9.6661257E-10  1.0711930E-08  9.7453174E-09  5.2075499E-09  4.7378670E-09  4.1050583E-02
   kr81     81   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr82     82   9.5432469E-08  1.4548525E-07  5.0052773E-08  7.0726905E-08  2.4334081E-08  4.6336973E-01
   kr83     83   2.8213964E-08  7.8402195E-08  5.0188230E-08  3.8114827E-08  2.4399938E-08  1.9370523E-01
   kr84     84   1.9705902E-07  4.4738402E-07  2.5032500E-07  2.1749345E-07  1.2170013E-07  2.5215518E-01
   kr-5     85   3.9753715E-16  3.9753715E-16  0.0000000E+00  1.9326065E-16  0.0000000E+00  0.0000000E+00
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   2.4244585E-08  1.0174791E-07  7.7503330E-08  4.9464230E-08  3.7679676E-08  1.1818407E-01
   rb85     85   2.7616057E-08  6.8243196E-08  4.0627139E-08  3.3176082E-08  1.9751633E-08  2.2522210E-01
   rb86     86   2.8627331E-22  2.8627331E-22  0.0000000E+00  1.3917031E-22  0.0000000E+00  0.0000000E+00
   rb87     87   1.0434889E-09  1.8157177E-08  1.7113688E-08  8.8270191E-09  8.3201357E-09  2.5683662E-02
   sr86     86   8.1013894E-08  9.9972411E-08  1.8958515E-08  4.8601077E-08  9.2170325E-09  7.2205478E-01
   sr87     87   5.2266596E-08  6.5670022E-08  1.3403427E-08  3.1925147E-08  6.5163239E-09  6.9013023E-01
   sr88     88   6.4923870E-07  8.1178257E-07  1.6254387E-07  3.9464396E-07  7.9023707E-08  6.9844806E-01
   sr89     89   5.5935048E-21  5.5935048E-21  0.0000000E+00  2.7192537E-21  0.0000000E+00  0.0000000E+00
   sr90     90   5.2657794E-16  5.2657794E-16  0.0000000E+00  2.5599318E-16  0.0000000E+00  0.0000000E+00
    y89     89   1.5532852E-07  1.9409744E-07  3.8768913E-08  9.4359478E-08  1.8848224E-08  6.9951510E-01
    y90     90   1.3316752E-19  1.3316752E-19  0.0000000E+00  6.4738709E-20  0.0000000E+00  0.0000000E+00
    y91     91   3.0953756E-24  3.0953756E-24  0.0000000E+00  1.5048010E-24  0.0000000E+00  0.0000000E+00
   zr90     90   1.6404920E-07  2.1025802E-07  4.6208825E-08  1.0221586E-07  2.2465278E-08  6.5800649E-01
   zr91     91   3.6133706E-08  4.6322732E-08  1.0189027E-08  2.2519560E-08  4.9535838E-09  6.5764034E-01
   zr92     92   5.5168623E-08  7.0913728E-08  1.5745105E-08  3.4474347E-08  7.6547746E-09  6.5356362E-01
   zr93     93   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zr94     94   7.2780772E-08  8.9083898E-08  1.6303124E-08  4.3307683E-08  7.9260651E-09  7.3750728E-01
   zr95     95   2.1619703E-20  2.1619703E-20  0.0000000E+00  1.0510308E-20  0.0000000E+00  0.0000000E+00
   zr96     96   1.0587242E-10  2.7882967E-09  2.6824243E-09  1.3555161E-09  1.3041102E-09  1.6790425E-02
   nb93     93   1.8836753E-08  2.5876801E-08  7.0400481E-09  1.2579875E-08  3.4226495E-09  5.6531394E-01
   nb94     94   9.9130721E-12  9.9130721E-12  0.0000000E+00  4.8191893E-12  0.0000000E+00  0.0000000E+00
   nb95     95   2.4688950E-20  2.4688950E-20  0.0000000E+00  1.2002407E-20  0.0000000E+00  0.0000000E+00
   mo94     94   1.1311330E-10  2.3196007E-09  2.2064874E-09  1.1276621E-09  1.0727247E-09  2.1690685E-02
   mo95     95   7.4312880E-09  1.1290700E-08  3.8594119E-09  5.4889160E-09  1.8763244E-09  4.6617866E-01
   mo96     96   1.5693860E-08  1.9799204E-08  4.1053441E-09  9.6252819E-09  1.9958890E-09  6.8327707E-01
   mo97     97   5.2925206E-09  7.6808373E-09  2.3883167E-09  3.7339998E-09  1.1611244E-09  5.0729555E-01
   mo98     98   1.8904316E-08  2.5035504E-08  6.1311880E-09  1.2170882E-08  2.9807905E-09  6.1099058E-01
   tc99     99   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ru99     99   2.4350719E-09  4.5759352E-09  2.1408633E-09  2.2245674E-09  1.0408203E-09  3.2986981E-01
  ru100    100   9.3456443E-09  1.1480963E-08  2.1353184E-09  5.5814113E-09  1.0381246E-09  7.3049450E-01
  ru101    101   2.0000688E-09  4.9201194E-09  2.9200506E-09  2.3918909E-09  1.4196366E-09  2.2656420E-01
  ru102    102   1.2235336E-08  1.7689006E-08  5.4536695E-09  8.5994198E-09  2.6514024E-09  5.1099348E-01
  rh103    103   2.0397031E-09  5.5225815E-09  3.4828784E-09  2.6847748E-09  1.6932657E-09  2.0018275E-01
  pd104    104   6.8162720E-09  8.3403648E-09  1.5240929E-09  4.0546260E-09  7.4096596E-10  7.3815250E-01
  pd105    105   1.7099657E-09  4.7942903E-09  3.0843246E-09  2.3307196E-09  1.4995014E-09  1.9154316E-01
  pd106    106   7.7655553E-09  1.1576569E-08  3.8110142E-09  5.6278897E-09  1.8527950E-09  4.8251823E-01
  pd107    107   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  pd108    108   9.5787795E-09  1.3338100E-08  3.7593209E-09  6.4842491E-09  1.8276636E-09  5.4996341E-01
  ag107    107   1.5149093E-09  4.1038541E-09  2.5889448E-09  1.9950677E-09  1.2586634E-09  2.0004803E-01
  ag108    108   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  ag109    109   2.4035887E-09  4.8538098E-09  2.4502211E-09  2.3596549E-09  1.1912203E-09  2.9685640E-01
  cd108    108   8.9400987E-12  1.5412001E-10  1.4517991E-10  7.4924657E-11  7.0581894E-11  2.5931440E-02
  cd109    109   7.3156984E-20  7.3156984E-20  0.0000000E+00  3.5564895E-20  0.0000000E+00  0.0000000E+00
  cd110    110   8.1466869E-09  1.0221844E-08  2.0751572E-09  4.9692970E-09  1.0088761E-09  6.9245714E-01
  cd111    111   2.6768263E-09  4.8228270E-09  2.1460007E-09  2.3445927E-09  1.0433179E-09  3.5165077E-01
  cd112    112   9.8201971E-09  1.3902257E-08  4.0820600E-09  6.7585111E-09  1.9845690E-09  5.3218484E-01
  cd113    113   2.8745053E-09  4.9601812E-09  2.0856759E-09  2.4113667E-09  1.0139899E-09  3.7622961E-01
  cd114    114   1.3707855E-08  1.8654754E-08  4.9468989E-09  9.0689136E-09  2.4050264E-09  5.7643545E-01
  in115    115   2.6296427E-09  4.4949546E-09  1.8653119E-09  2.1851991E-09  9.0685587E-10  3.8195273E-01
  sn116    116   1.8723863E-08  2.4559807E-08  5.8359437E-09  1.1939624E-08  2.8372522E-09  6.2409276E-01
  sn117    117   5.5510165E-09  8.6600718E-09  3.1090555E-09  4.2100496E-09  1.5115248E-09  4.4487196E-01
  sn118    118   2.3879601E-08  3.3360323E-08  9.4807229E-09  1.6217950E-08  4.6092290E-09  5.4636765E-01
  sn119    119   7.1568458E-09  1.0693809E-08  3.5369629E-09  5.1987405E-09  1.7195600E-09  4.8048079E-01
  sn120    120   3.6333823E-08  4.9861541E-08  1.3527718E-08  2.4239933E-08  6.5767498E-09  5.6652009E-01
  sb121    121   2.6870983E-09  4.7732889E-09  2.0861906E-09  2.3205100E-09  1.0142401E-09  3.5944265E-01
  te122    122   4.8148441E-09  6.2015877E-09  1.3867437E-09  3.0148701E-09  6.7419115E-10  6.5048558E-01
  te123    123   1.7752385E-09  2.2632087E-09  4.8797022E-10  1.1002473E-09  2.3723576E-10  6.6631019E-01
  te124    124   9.0826227E-09  1.1702597E-08  2.6199745E-09  5.6891576E-09  1.2737490E-09  6.4996409E-01
  te125    125   3.0612126E-09  7.0006116E-09  3.9393990E-09  3.4033116E-09  1.9152118E-09  2.4968493E-01
  te126    126   1.6282007E-08  2.6863503E-08  1.0581497E-08  1.3059555E-08  5.1443902E-09  4.0459448E-01
   i127    127   2.0759368E-09  1.5346874E-08  1.3270937E-08  7.4608044E-09  6.4519119E-09  6.3097239E-02
   i128    128   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   i129    129   6.0825173E-13  6.0825173E-13  0.0000000E+00  2.9569847E-13  0.0000000E+00  0.0000000E+00
  xe128    128   5.2670392E-09  6.7003794E-09  1.4333399E-09  3.2573553E-09  6.9684469E-10  6.6972911E-01
  xe129    129   1.9957671E-09  1.9989894E-08  1.7994127E-08  9.7179846E-09  8.7481773E-09  4.5658626E-02
  xe130    130   1.0808575E-08  1.3720154E-08  2.9115788E-09  6.6699828E-09  1.4155179E-09  6.7320937E-01
