  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -7.9455137E-02  2.3689597E+00  2.4484148E+00  6.4867461E-01  6.7046791E-01 -1.4351101E-02
      d      2  -3.4842800E-04  7.0161912E-09  3.4843502E-04  1.9211914E-09  9.5414587E-05 -4.6960440E+00
    he3      3  -1.0433879E-03  1.1729025E-03  2.2162904E-03  3.2116717E-04  6.0690352E-04 -2.7638853E-01
    he4      4   7.0348740E-02  1.1666539E+00  1.0963051E+00  3.1945616E-01  3.0020952E-01  2.6986785E-02
    li7      7  -1.9125785E-08  4.2420780E-08  6.1546565E-08  1.1615767E-08  1.6853761E-08 -1.6164896E-01
    be7      7   7.7682333E-14  7.7682333E-14  0.0000000E+00  2.1271176E-14  0.0000000E+00  0.0000000E+00
     b8      8   1.6634033E-21  1.6634033E-21  0.0000000E+00  4.5547733E-22  0.0000000E+00  0.0000000E+00
    c12     12   1.7095990E-03  2.0021841E-02  1.8312242E-02  5.4824320E-03  5.0145797E-03  3.8738728E-02
    c13     13   3.8675492E-04  6.0865807E-04  2.2190313E-04  1.6666431E-04  6.0765407E-05  4.3818617E-01
    c14     14   8.1724252E-08  8.1724252E-08  0.0000000E+00  2.2377945E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   9.6087698E-03  1.5022617E-02  5.4138470E-03  4.1135317E-03  1.4825147E-03  4.4321585E-01
    n15     15  -7.5752282E-06  5.3841945E-06  1.2959423E-05  1.4743140E-06  3.5487767E-06 -3.8148868E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -2.4480224E-03  4.2372443E-02  4.4820465E-02  1.1602531E-02  1.2273526E-02 -2.4416603E-02
    o17     17   8.1555670E-05  9.9647412E-05  1.8091740E-05  2.7285711E-05  4.9541977E-06  7.4096191E-01
    o18     18  -3.2121032E-05  6.8967071E-05  1.0108810E-04  1.8884741E-05  2.7681719E-05 -1.6608202E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.3061604E-06  4.1712992E-06  2.8651389E-06  1.1421959E-06  7.8458260E-07  1.6310191E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -5.2731484E-06  9.0655563E-03  9.0708295E-03  2.4823539E-03  2.4839337E-03 -2.7629116E-04
