  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
    s33     33   2.9784223E-07  1.1093694E-05  1.0795851E-05  5.3335066E-06  5.1905627E-06  1.1798422E-02
    s34     34   1.7078855E-07  6.2956497E-05  6.2785708E-05  3.0267547E-05  3.0186888E-05  1.1588687E-03
    s35     35   8.4412218E-20  8.4412218E-20  0.0000000E+00  4.0582799E-20  0.0000000E+00  0.0000000E+00
    s36     36   7.4571659E-08  3.8449920E-07  3.0992754E-07  1.8485539E-07  1.4901079E-07  9.3614414E-02
   cl35     35  -7.7330697E-08  1.3336051E-05  1.3413382E-05  6.4115629E-06  6.4490509E-06 -2.5318952E-03
   cl36     36   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cl37     37   1.0469385E-06  5.5790565E-06  4.5321181E-06  2.6822388E-06  2.1790077E-06  9.0238690E-02
   ar36     36  -1.4303077E-06  2.4835949E-04  2.4978979E-04  1.1940360E-04  1.2009701E-04 -2.5147889E-03
   ar37     37   1.6389824E-19  1.6389824E-19  0.0000000E+00  7.8797232E-20  0.0000000E+00  0.0000000E+00
   ar38     38   5.7663419E-07  4.8515518E-05  4.7938884E-05  2.3324768E-05  2.3048646E-05  5.1719029E-03
   ar39     39   1.1304383E-11  1.1304383E-11  0.0000000E+00  5.4347997E-12  0.0000000E+00  0.0000000E+00
   ar40     40   9.1580425E-08  1.7228862E-07  8.0708197E-08  8.2831072E-08  3.8803879E-08  3.2931814E-01
    k39     39   1.4894340E-07  1.3153630E-05  1.3004686E-05  6.3238608E-06  6.2525537E-06  4.9248878E-03
    k40     40  -2.1052466E-09  0.0000000E+00  2.1052466E-09  0.0000000E+00  1.0121863E-09  0.0000000E+00
    k41     41   1.3190606E-07  1.1184693E-06  9.8656324E-07  5.3772567E-07  4.7433201E-07  5.4478336E-02
   ca40     40  -1.0147050E-06  2.2414603E-04  2.2516074E-04  1.0776252E-04  1.0825555E-04 -1.9824386E-03
   ca41     41   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
