  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -4.6209550E-01  3.5852511E+00  4.0473466E+00  5.9387958E-01  6.7046791E-01 -5.2679606E-02
      d      2  -5.7597872E-04  9.8185216E-10  5.7597971E-04  1.6263908E-10  9.5414587E-05 -5.7683897E+00
    he3      3  -3.6363385E-03  2.7295395E-05  3.6636340E-03  4.5213505E-06  6.0690352E-04 -2.1278515E+00
    he4      4   4.5038176E-01  2.2626266E+00  1.8122449E+00  3.7479320E-01  3.0020952E-01  9.6367233E-02
    li7      7   1.3118856E-07  2.3292797E-07  1.0173942E-07  3.8583398E-08  1.6853761E-08  3.5970366E-01
    be7      7   5.2916085E-11  5.2916085E-11  0.0000000E+00  8.7652949E-12  0.0000000E+00  0.0000000E+00
     b8      8   3.6558389E-23  3.6558389E-23  0.0000000E+00  6.0557211E-24  0.0000000E+00  0.0000000E+00
    c12     12  -2.3660190E-02  6.6108224E-03  3.0271012E-02  1.0950508E-03  5.0145797E-03 -6.6080028E-01
    c13     13   7.8094128E-04  1.1477578E-03  3.6681647E-04  1.9012054E-04  6.0765407E-05  4.9537265E-01
    c14     14   4.2919908E-08  4.2919908E-08  0.0000000E+00  7.1094761E-09  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   4.9795210E-02  5.8744557E-02  8.9493478E-03  9.7307526E-03  1.4825147E-03  8.1714743E-01
    n15     15  -2.0215777E-05  1.2067663E-06  2.1422544E-05  1.9989503E-07  3.5487767E-06 -1.2492766E+00
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -1.2212537E-02  6.1877832E-02  7.4090369E-02  1.0249765E-02  1.2273526E-02 -7.8255445E-02
    o17     17   1.4052996E-04  1.7043647E-04  2.9906510E-05  2.8231980E-05  4.9541977E-06  7.5576800E-01
    o18     18  -1.6706799E-04  3.5457337E-08  1.6710346E-04  5.8733369E-09  2.7681719E-05 -3.6733081E+00
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19  -2.5873449E-06  2.1488665E-06  4.7362114E-06  3.5594940E-07  7.8458260E-07 -3.4325042E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20  -1.8427148E-05  1.4976088E-02  1.4994515E-02  2.4807169E-03  2.4839337E-03 -5.6278892E-04
   ne21     21  -3.4651490E-05  3.0885094E-06  3.7739999E-05  5.1159668E-07  6.2518634E-06 -1.0870818E+00
   ne22     22   9.0512354E-04  2.1178972E-03  1.2127736E-03  3.5081946E-04  2.0090342E-04  2.4209635E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   1.2377186E-09  1.2377186E-09  0.0000000E+00  2.0502212E-10  0.0000000E+00  0.0000000E+00
   na23     23   2.6310142E-04  6.6898321E-04  4.0588179E-04  1.1081385E-04  6.7236826E-05  2.1698684E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
