  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -1.4109612E-02  4.2833218E-01  4.4244179E-01  6.4898813E-01  6.7046791E-01 -1.4141252E-02
      d      2  -6.2520296E-05  4.4378692E-07  6.2964085E-05  6.7240438E-07  9.5414587E-05 -2.1519842E+00
    he3      3   6.3789717E-05  4.6428535E-04  4.0049563E-04  7.0346263E-04  6.0690352E-04  6.4121373E-02
    he4      4   1.3979658E-02  2.1208793E-01  1.9810827E-01  3.2134533E-01  3.0020952E-01  2.9547552E-02
    li7      7  -1.1024181E-08  9.7616949E-11  1.1121798E-08  1.4790447E-10  1.6853761E-08 -2.0567155E+00
    be7      7   2.4229655E-18  2.4229655E-18  0.0000000E+00  3.6711595E-18  0.0000000E+00  0.0000000E+00
     b8      8   3.6389931E-28  3.6389931E-28  0.0000000E+00  5.5136259E-28  0.0000000E+00  0.0000000E+00
    c12     12  -7.9498626E-04  2.5141351E-03  3.3091214E-03  3.8092954E-03  5.0145797E-03 -1.1938991E-01
    c13     13   7.1632967E-05  1.1173206E-04  4.0099094E-05  1.6929099E-04  6.0765407E-05  4.4497746E-01
    c14     14   1.9469135E-17  1.9469135E-17  0.0000000E+00  2.9498687E-17  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   8.5508521E-04  1.8333966E-03  9.7831141E-04  2.7778735E-03  1.4825147E-03  2.7271348E-01
    n15     15  -8.4554517E-07  1.4962925E-06  2.3418377E-06  2.2671097E-06  3.5487767E-06 -1.9460614E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -3.2624230E-06  8.0960374E-03  8.0992999E-03  1.2266723E-02  1.2273526E-02 -2.4080624E-04
    o17     17   1.4232969E-06  4.6925720E-06  3.2692751E-06  7.1099571E-06  4.9541977E-06  1.5689367E-01
    o18     18  -2.8709346E-06  1.5396232E-05  1.8267167E-05  2.3327622E-05  2.7681719E-05 -7.4322581E-02
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   1.9381901E-09  5.1968425E-07  5.1774606E-07  7.8740032E-07  7.8458260E-07  1.5569390E-03
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   1.3969839E-09  1.6391492E-03  1.6391478E-03  2.4835593E-03  2.4839337E-03 -6.5470551E-05
   ne21     21   1.6352715E-09  4.1272401E-06  4.1256048E-06  6.2533941E-06  6.2518634E-06  1.0632654E-04
   ne22     22  -4.4782064E-07  1.3212835E-04  1.3257617E-04  2.0019447E-04  2.0090342E-04 -1.5352634E-03
