  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
      n      1   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
      p      1  -9.9907160E-02  2.0628881E+00  2.1627953E+00  6.3945693E-01  6.7046791E-01 -2.0566693E-02
      d      2  -3.0777958E-04  8.7566301E-09  3.0778834E-04  2.7143925E-09  9.5414587E-05 -4.5459423E+00
    he3      3  -8.9677586E-04  1.0609734E-03  1.9577492E-03  3.2888202E-04  6.0690352E-04 -2.6607955E-01
    he4      4   8.1245244E-02  1.0496610E+00  9.6841580E-01  3.2537538E-01  3.0020952E-01  3.4960210E-02
    li7      7  -5.3543086E-08  8.2377910E-10  5.4366865E-08  2.5535618E-10  1.6853761E-08 -1.8195505E+00
    be7      7   3.1337411E-15  3.1337411E-15  0.0000000E+00  9.7140142E-16  0.0000000E+00  0.0000000E+00
     b8      8   4.5038396E-27  4.5038396E-27  0.0000000E+00  1.3961064E-27  0.0000000E+00  0.0000000E+00
    c12     12   9.4287619E-03  2.5604792E-02  1.6176030E-02  7.9370094E-03  5.0145797E-03  1.9942236E-01
    c13     13   3.1802990E-04  5.1404693E-04  1.9601703E-04  1.5934499E-04  6.0765407E-05  4.1868201E-01
    c14     14   1.5931423E-07  1.5931423E-07  0.0000000E+00  4.9384447E-08  0.0000000E+00  0.0000000E+00
    n13     13   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    n14     14   8.4737837E-03  1.3256080E-02  4.7822953E-03  4.1091382E-03  1.4825147E-03  4.4275174E-01
    n15     15  -6.1429305E-06  5.3047129E-06  1.1447643E-05  1.6443623E-06  3.5487767E-06 -3.3408114E-01
    o14     14   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o15     15   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    o16     16  -2.4879165E-03  3.7104022E-02  3.9591938E-02  1.1501556E-02  1.2273526E-02 -2.8212739E-02
    o17     17   7.5601813E-05  9.1583061E-05  1.5981250E-05  2.8389044E-05  4.9541977E-06  7.5817740E-01
    o18     18  -2.9414034E-05  5.9881648E-05  8.9295681E-05  1.8562198E-05  2.7681719E-05 -1.7356367E-01
    o19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f17     17   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f18     18   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
    f19     19   4.8743168E-06  7.4052232E-06  2.5309064E-06  2.2954814E-06  7.8458260E-07  4.6623510E-01
    f20     20   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne19     19   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ne20     20   2.8545037E-06  8.0155274E-03  8.0126729E-03  2.4846643E-03  2.4839337E-03  1.2770259E-04
   ne21     21   2.7951246E-06  2.2962384E-05  2.0167259E-05  7.1179115E-06  6.2518634E-06  5.6343123E-02
   ne22     22   3.8539651E-03  4.5020394E-03  6.4807420E-04  1.3955485E-03  2.0090342E-04  8.4175760E-01
   ne23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na21     21   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   na22     22   6.6312846E-17  6.6312846E-17  0.0000000E+00  2.0555749E-17  0.0000000E+00  0.0000000E+00
   na23     23   1.0300707E-04  3.1989961E-04  2.1689254E-04  9.9162928E-05  6.7236826E-05  1.6874215E-01
   na24     24   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg23     23   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mg24     24  -2.9595103E-05  3.7925481E-03  3.8221432E-03  1.1756193E-03  1.1848669E-03 -3.4028571E-03
   mg25     25   8.7446359E-05  5.9148256E-04  5.0403620E-04  1.8334859E-04  1.5625154E-04  6.9453254E-02
   mg26     26   3.3423188E-05  6.1056350E-04  5.7714031E-04  1.8926333E-04  1.7891386E-04  2.4422476E-02
   mg27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al25     25   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al-6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al*6     26   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   al27     27   2.4111301E-05  3.9214222E-04  3.6803092E-04  1.2155679E-04  1.1408982E-04  2.7532326E-02
   al28     28   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si27     27   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   si28     28   2.8107315E-06  4.2348397E-03  4.2320290E-03  1.3127215E-03  1.3119316E-03  2.6142137E-04
   si29     29   1.7573766E-06  2.2432352E-04  2.2256614E-04  6.9536116E-05  6.8995651E-05  3.3887306E-03
