# x density Mach
1.867057673509286420e-01 7.475225742000514151e-01 1.471527466815495622e+00
1.876832844574780057e-01 7.468967984449091935e-01 1.472760362998310146e+00
1.886608015640273694e-01 7.462734828556332189e-01 1.473990467664513471e+00
1.896383186705767332e-01 7.456526074632320311e-01 1.475217801145073837e+00
1.906158357771260969e-01 7.450341525520471908e-01 1.476442383523022928e+00
1.915933528836754607e-01 7.444180986553526891e-01 1.477664234637681817e+00
1.925708699902248244e-01 7.438044265510551645e-01 1.478883374088787450e+00
1.935483870967741882e-01 7.431931172574853806e-01 1.480099821240534963e+00
1.945259042033235519e-01 7.425841520292838505e-01 1.481313595225530078e+00
1.955034213098729157e-01 7.419775123533749461e-01 1.482524714948656008e+00
1.964809384164222794e-01 7.413731799450274940e-01 1.483733199090860877e+00
1.974584555229716432e-01 7.407711367440016348e-01 1.484939066112860750e+00
1.984359726295210069e-01 7.401713649107777293e-01 1.486142334258766073e+00
1.994134897360703707e-01 7.395738468228646445e-01 1.487343021559632161e+00
2.003910068426197344e-01 7.389785650711888643e-01 1.488541145836933088e+00
2.013685239491690981e-01 7.383855024565567637e-01 1.489736724705966298e+00
2.023460410557184619e-01 7.377946419861942662e-01 1.490929775579182825e+00
2.033235581622678256e-01 7.372059668703573321e-01 1.492120315669450470e+00
2.043010752688172171e-01 7.366194605190140576e-01 1.493308361993249678e+00
2.052785923753665809e-01 7.360351065385941638e-01 1.494493931373803708e+00
2.062561094819159446e-01 7.354528887288075412e-01 1.495677040444145289e+00
2.072336265884653084e-01 7.348727910795267437e-01 1.496857705650119552e+00
2.082111436950146721e-01 7.342947977677350968e-01 1.498035943253327007e+00
2.091886608015640359e-01 7.337188931545342019e-01 1.499211769334009237e+00
2.101661779081133996e-01 7.331450617822150573e-01 1.500385199793873081e+00
2.111436950146627634e-01 7.325732883713870214e-01 1.501556250358860423e+00
2.121212121212121271e-01 7.320035578181647296e-01 1.502724936581863568e+00
2.130987292277614908e-01 7.314358551914109663e-01 1.503891273845385568e+00
2.140762463343108546e-01 7.308701657300357146e-01 1.505055277364148569e+00
2.150537634408602183e-01 7.303064748403474971e-01 1.506216962187650665e+00
2.160312805474095821e-01 7.297447680934574521e-01 1.507376343202675217e+00
2.170087976539589458e-01 7.291850312227360353e-01 1.508533435135745782e+00
2.179863147605083096e-01 7.286272501213169051e-01 1.509688252555541066e+00
2.189638318670576733e-01 7.280714108396517670e-01 1.510840809875256596e+00
2.199413489736070371e-01 7.275174995831115154e-01 1.511991121354925083e+00
2.209188660801564008e-01 7.269655027096352251e-01 1.513139201103690379e+00
2.218963831867057646e-01 7.264154067274221083e-01 1.514285063082039917e+00
2.228739002932551283e-01 7.258671982926703237e-01 1.515428721103993404e+00
2.238514173998044920e-01 7.253208642073570855e-01 1.516570188839250655e+00
2.248289345063538558e-01 7.247763914170630706e-01 1.517709479815298579e+00
2.258064516129032195e-01 7.242337670088352386e-01 1.518846607419480854e+00
2.267839687194525833e-01 7.236929782090927299e-01 1.519981584901025418e+00
2.277614858260019470e-01 7.231540123815709542e-01 1.521114425373037982e+00
2.287390029325513108e-01 7.226168570253037604e-01 1.522245141814456026e+00
2.297165200391006745e-01 7.220814997726446860e-01 1.523373747071967932e+00
2.306940371456500383e-01 7.215479283873224015e-01 1.524500253861898580e+00
2.316715542521994020e-01 7.210161307625363447e-01 1.525624674772055211e+00
2.326490713587487658e-01 7.204860949190822206e-01 1.526747022263547082e+00
2.336265884652981295e-01 7.199578090035164690e-01 1.527867308672566038e+00
2.346041055718475210e-01 7.194312612863518197e-01 1.528985546212138225e+00
2.355816226783968848e-01 7.189064401602858201e-01 1.530101746973843380e+00
2.365591397849462485e-01 7.183833341384631144e-01 1.531215922929502593e+00
2.375366568914956122e-01 7.178619318527669213e-01 1.532328085932838535e+00
2.385141739980449760e-01 7.173422220521431525e-01 1.533438247721102154e+00
2.394916911045943397e-01 7.168241936009529525e-01 1.534546419916675175e+00
2.404692082111437035e-01 7.163078354773564360e-01 1.535652614028640839e+00
2.414467253176930672e-01 7.157931367717236260e-01 1.536756841454328448e+00
2.424242424242424310e-01 7.152800866850742567e-01 1.537859113480830819e+00
2.434017595307917947e-01 7.147686745275450004e-01 1.538959441286496199e+00
2.443792766373411585e-01 7.142588897168837825e-01 1.540057835942392650e+00
2.453567937438905222e-01 7.137507217769705203e-01 1.541154308413747565e+00
2.463343108504398860e-01 7.132441603363631755e-01 1.542248869561363644e+00
2.473118279569892497e-01 7.127391951268695625e-01 1.543341530143009788e+00
2.482893450635386134e-01 7.122358159821438051e-01 1.544432300814787773e+00
2.492668621700879772e-01 7.117340128363073282e-01 1.545521192132475186e+00
2.502443792766373409e-01 7.112337757225927204e-01 1.546608214552848359e+00
2.512218963831867047e-01 7.107350947720111334e-01 1.547693378434980671e+00
2.521994134897360684e-01 7.102379602120436619e-01 1.548776694041517965e+00
2.531769305962854322e-01 7.097423623653529301e-01 1.549858171539935325e+00
2.541544477028347959e-01 7.092482916485178812e-01 1.550937821003772088e+00
2.551319648093841597e-01 7.087557385707896618e-01 1.552015652413844204e+00
2.561094819159335234e-01 7.082646937328679337e-01 1.553091675659440174e+00
2.570869990224828872e-01 7.077751478256986140e-01 1.554165900539493661e+00
2.580645161290322509e-01 7.072870916292908205e-01 1.555238336763738349e+00
2.590420332355816146e-01 7.068005160115535812e-01 1.556308993953845921e+00
2.600195503421309784e-01 7.063154119271528586e-01 1.557377881644540274e+00
2.609970674486803421e-01 7.058317704163858952e-01 1.558445009284699090e+00
2.619745845552297059e-01 7.053495826040749872e-01 1.559510386238435187e+00
2.629521016617790696e-01 7.048688396984801319e-01 1.560574021786158339e+00
2.639296187683284334e-01 7.043895329902269964e-01 1.561635925125625102e+00
2.649071358748777971e-01 7.039116538512554255e-01 1.562696105372965771e+00
2.658846529814271609e-01 7.034351937337828264e-01 1.563754571563700235e+00
2.668621700879765246e-01 7.029601441692849839e-01 1.564811332653734288e+00
2.678396871945258884e-01 7.024864967674937510e-01 1.565866397520340847e+00
2.688172043010752521e-01 7.020142432154095058e-01 1.566919774963128065e+00
2.697947214076246158e-01 7.015433752763315933e-01 1.567971473704986574e+00
2.707722385141739796e-01 7.010738847889020908e-01 1.569021502393028511e+00
2.717497556207233433e-01 7.006057636661653376e-01 1.570069869599508117e+00
2.727272727272727071e-01 7.001390038946438965e-01 1.571116583822727231e+00
2.737047898338220708e-01 6.996735975334265056e-01 1.572161653487929689e+00
2.746823069403714346e-01 6.992095367132725725e-01 1.573205086948179288e+00
2.756598240469207983e-01 6.987468136357292137e-01 1.574246892485225979e+00
2.766373411534701621e-01 6.982854205722638374e-01 1.575287078310356526e+00
2.776148582600195258e-01 6.978253498634077179e-01 1.576325652565235824e+00
2.785923753665688896e-01 6.973665939179152229e-01 1.577362623322730473e+00
2.795698924731182533e-01 6.969091452119346997e-01 1.578397998587725226e+00
2.805474095796676171e-01 6.964529962881929048e-01 1.579431786297921247e+00
2.815249266862169808e-01 6.959981397551913140e-01 1.580463994324627697e+00
2.825024437927664001e-01 6.955445682864148660e-01 1.581494630473537777e+00
2.834799608993157638e-01 6.950922746195531410e-01 1.582523702485495454e+00
2.844574780058651275e-01 6.946412515557336409e-01 1.583551218037247521e+00
2.854349951124144913e-01 6.941914919587650612e-01 1.584577184742189226e+00
2.864125122189638550e-01 6.937429887543944407e-01 1.585601610151093910e+00
2.873900293255132188e-01 6.932957349295736371e-01 1.586624501752834648e+00
2.883675464320625825e-01 6.928497235317371272e-01 1.587645866975095688e+00
2.893450635386119463e-01 6.924049476680916859e-01 1.588665713185070327e+00
2.903225806451613100e-01 6.919614005049151695e-01 1.589684047690152147e+00
2.913000977517106738e-01 6.915190752668668450e-01 1.590700877738614460e+00
2.922776148582600375e-01 6.910779652363072678e-01 1.591716210520278896e+00
2.932551319648094013e-01 6.906380637526290389e-01 1.592730053167175752e+00
2.942326490713587650e-01 6.901993642115957783e-01 1.593742412754195037e+00
2.952101661779081287e-01 6.897618600646930886e-01 1.594753296299726619e+00
2.961876832844574925e-01 6.893255448184871792e-01 1.595762710766291947e+00
2.971652003910068562e-01 6.888904120339931492e-01 1.596770663061167328e+00
2.981427174975562200e-01 6.884564553260539288e-01 1.597777160036996991e+00
2.991202346041055837e-01 6.880236683627256600e-01 1.598782208492398604e+00
3.000977517106549475e-01 6.875920448646742900e-01 1.599785815172559467e+00
3.010752688172043112e-01 6.871615786045801588e-01 1.600787986769824034e+00
3.020527859237536750e-01 6.867322634065501363e-01 1.601788729924274124e+00
3.030303030303030387e-01 6.863040931455393068e-01 1.602788051224300903e+00
3.040078201368524025e-01 6.858770617467806474e-01 1.603785957207167323e+00
3.049853372434017662e-01 6.854511631852230336e-01 1.604782454359563681e+00
3.059628543499511300e-01 6.850263914849762381e-01 1.605777549118156733e+00
3.069403714565004937e-01 6.846027407187651459e-01 1.606771247870128150e+00
3.079178885630498574e-01 6.841802050073905184e-01 1.607763556953709205e+00
3.088954056695992212e-01 6.837587785191978629e-01 1.608754482658704799e+00
3.098729227761485849e-01 6.833384554695545177e-01 1.609744031227011041e+00
3.108504398826979487e-01 6.829192301203318438e-01 1.610732208853128622e+00
3.118279569892473124e-01 6.825010967793968542e-01 1.611719021684664632e+00
3.128054740957966762e-01 6.820840498001101704e-01 1.612704475822830608e+00
3.137829912023460399e-01 6.816680835808301975e-01 1.613688577322933027e+00
3.147605083088954037e-01 6.812531925644257358e-01 1.614671332194856035e+00
3.157380254154447674e-01 6.808393712377932561e-01 1.615652746403540174e+00
3.167155425219941312e-01 6.804266141313821681e-01 1.616632825869452672e+00
3.176930596285434949e-01 6.800149158187270837e-01 1.617611576469050849e+00
3.186705767350928586e-01 6.796042709159848538e-01 1.618589004035241086e+00
3.196480938416422224e-01 6.791946740814785999e-01 1.619565114357831570e+00
3.206256109481915861e-01 6.787861200152489616e-01 1.620539913183976832e+00
3.216031280547409499e-01 6.783786034586096747e-01 1.621513406218619169e+00
3.225806451612903136e-01 6.779721191937101432e-01 1.622485599124922295e+00
3.235581622678396774e-01 6.775666620431038956e-01 1.623456497524700781e+00
3.245356793743890411e-01 6.771622268693228142e-01 1.624426106998841046e+00
3.255131964809384049e-01 6.767588085744564719e-01 1.625394433087720802e+00
3.264907135874877686e-01 6.763564020997377968e-01 1.626361481291620059e+00
3.274682306940371324e-01 6.759550024251336220e-01 1.627327257071127686e+00
3.284457478005864961e-01 6.755546045689415635e-01 1.628291765847542427e+00
3.294232649071358598e-01 6.751552035873912283e-01 1.629255013003269470e+00
3.304007820136852236e-01 6.747567945742510842e-01 1.630217003882211024e+00
3.313782991202345873e-01 6.743593726604405481e-01 1.631177743790152457e+00
3.323558162267839511e-01 6.739629330136477359e-01 1.632137237995142209e+00
3.333333333333333148e-01 6.735674708379505438e-01 1.633095491727869275e+00
3.343108504398826786e-01 6.731729813734442791e-01 1.634052510182033791e+00
3.352883675464320423e-01 6.727794598958736216e-01 1.635008298514713188e+00
3.362658846529814061e-01 6.723869017162694695e-01 1.635962861846723904e+00
3.372434017595307698e-01 6.719953021805898929e-01 1.636916205262979096e+00
3.382209188660801336e-01 6.716046566693658626e-01 1.637868333812841914e+00
3.391984359726294973e-01 6.712149605973531941e-01 1.638819252510471669e+00
3.401759530791788610e-01 6.708262094131857145e-01 1.639768966335170441e+00
3.411534701857282248e-01 6.704383985990360895e-01 1.640717480231720149e+00
3.421309872922775885e-01 6.700515236702790922e-01 1.641664799110719386e+00
3.431085043988269523e-01 6.696655801751594250e-01 1.642610927848914271e+00
3.440860215053763715e-01 6.692805636944646475e-01 1.643555871289524850e+00
3.450635386119257353e-01 6.688964698412005472e-01 1.644499634242569286e+00
3.460410557184750990e-01 6.685132942602728390e-01 1.645442221485181378e+00
3.470185728250244628e-01 6.681310326281707512e-01 1.646383637761926311e+00
3.479960899315738265e-01 6.677496806526557194e-01 1.647323887785112406e+00
3.489736070381231903e-01 6.673692340724540761e-01 1.648262976235096655e+00
3.499511241446725540e-01 6.669896886569528505e-01 1.649200907760590251e+00
3.509286412512219178e-01 6.666110402058993412e-01 1.650137686978958129e+00
3.519061583577712815e-01 6.662332845491061306e-01 1.651073318476513618e+00
3.528836754643206453e-01 6.658564175461572088e-01 1.652007806808812429e+00
3.538611925708700090e-01 6.654804350861192042e-01 1.652941156500942199e+00
3.548387096774193727e-01 6.651053330872562785e-01 1.653873372047806489e+00
3.558162267839687365e-01 6.647311074967477973e-01 1.654804457914408555e+00
3.567937438905181002e-01 6.643577542904097744e-01 1.655734418536129127e+00
3.577712609970674640e-01 6.639852694724202031e-01 1.656663258319001741e+00
3.587487781036168277e-01 6.636136490750469408e-01 1.657590981639985861e+00
3.597262952101661915e-01 6.632428891583789232e-01 1.658517592847234878e+00
3.607038123167155552e-01 6.628729858100618211e-01 1.659443096260362127e+00
3.616813294232649190e-01 6.625039351450351388e-01 1.660367496170703561e+00
3.626588465298142827e-01 6.621357333052737548e-01 1.661290796841576878e+00
3.636363636363636465e-01 6.617683764595322371e-01 1.662213002508538873e+00
3.646138807429130102e-01 6.614018608030920454e-01 1.663134117379637011e+00
3.655913978494623739e-01 6.610361825575120642e-01 1.664054145635661897e+00
3.665689149560117377e-01 6.606713379703813560e-01 1.664973091430393515e+00
3.675464320625611014e-01 6.603073233150762444e-01 1.665890958890845708e+00
3.685239491691104652e-01 6.599441348905188409e-01 1.666807752117509311e+00
3.695014662756598289e-01 6.595817690209393458e-01 1.667723475184589299e+00
3.704789833822091927e-01 6.592202220556406811e-01 1.668638132140242369e+00
3.714565004887585564e-01 6.588594903687661208e-01 1.669551727006809871e+00
3.724340175953079202e-01 6.584995703590696969e-01 1.670464263781048508e+00
3.734115347018572839e-01 6.581404584496890475e-01 1.671375746434358822e+00
3.743890518084066477e-01 6.577821510879212630e-01 1.672286178913009902e+00
3.753665689149560114e-01 6.574246447450011743e-01 1.673195565138363428e+00
3.763440860215053752e-01 6.570679359158817512e-01 1.674103909007093494e+00
3.773216031280547389e-01 6.567120211190180523e-01 1.675011214391404435e+00
3.782991202346041026e-01 6.563568968961528416e-01 1.675917485139246432e+00
