# x_cm rho_gcm3 Pgas_ergcm3 Erad_ergcm3
7.131964809384164106e+00 1.036541238938084586e+00 1.004497576377492625e+15 4.235520530478328000e+15
7.257086999022482665e+00 1.037198458346345831e+00 1.005038236246231125e+15 4.233898548717926500e+15
7.382209188660801225e+00 1.037856249027023559e+00 1.005579238896642500e+15 4.232275538614986500e+15
7.507331378299120672e+00 1.038514611741550686e+00 1.006120584616069000e+15 4.230651499310440500e+15
7.632453567937439232e+00 1.039173547253439356e+00 1.006662273692648125e+15 4.229026429942734500e+15
7.757575757575757791e+00 1.039833056328282046e+00 1.007204306415311875e+15 4.227400329647836500e+15
7.882697947214076351e+00 1.040493139733751127e+00 1.007746683073782250e+15 4.225773197559257000e+15
8.007820136852394910e+00 1.041153798239598194e+00 1.008289403958567000e+15 4.224145032808049000e+15
8.132942326490713469e+00 1.041815032617655401e+00 1.008832469360958375e+15 4.222515834522823000e+15
8.258064516129032029e+00 1.042476843641833906e+00 1.009375879573027125e+15 4.220885601829765000e+15
8.383186705767350588e+00 1.043139232088125645e+00 1.009919634887622000e+15 4.219254333852640000e+15
8.508308895405669148e+00 1.043802198734601783e+00 1.010463735598363750e+15 4.217622029712800500e+15
8.633431085043987707e+00 1.044465744361413373e+00 1.011008181999643875e+15 4.215988688529215500e+15
8.758553274682306267e+00 1.045129869750791363e+00 1.011552974386618875e+15 4.214354309418457500e+15
8.883675464320624826e+00 1.045794575687046590e+00 1.012098113055209125e+15 4.212718891494733000e+15
9.008797653958943386e+00 1.046459862956569786e+00 1.012643598302094625e+15 4.211082433869883000e+15
9.133919843597263721e+00 1.047125732347831129e+00 1.013189430424710875e+15 4.209444935653407000e+15
9.259042033235582281e+00 1.047792184651381131e+00 1.013735609721246375e+15 4.207806395952454000e+15
9.384164222873900840e+00 1.048459220659849978e+00 1.014282136490639125e+15 4.206166813871857000e+15
9.509286412512219400e+00 1.049126841167947521e+00 1.014829011032571750e+15 4.204526188514124500e+15
9.634408602150537959e+00 1.049795046972463286e+00 1.015376233647470500e+15 4.202884518979470000e+15
9.759530791788856519e+00 1.050463838872267353e+00 1.015923804636499625e+15 4.201241804365810000e+15
9.884652981427175078e+00 1.051133217668308806e+00 1.016471724301559250e+15 4.199598043768779500e+15
1.000977517106549364e+01 1.051803184163617066e+00 1.017019992945281125e+15 4.197953236281748000e+15
1.013489736070381220e+01 1.052473739163301225e+00 1.017568610871025375e+15 4.196307380995824500e+15
1.026001955034213076e+01 1.053144883474550042e+00 1.018117578382876750e+15 4.194660476999871500e+15
1.038514173998044932e+01 1.053816617906632613e+00 1.018666895785642375e+15 4.193012523380526000e+15
1.051026392961876788e+01 1.054488943270897483e+00 1.019216563384846375e+15 4.191363519222190000e+15
1.063538611925708643e+01 1.055161860380772865e+00 1.019766581486727625e+15 4.189713463607063500e+15
1.076050830889540499e+01 1.055835370051767086e+00 1.020316950398235500e+15 4.188062355615145500e+15
1.088563049853372355e+01 1.056509473101468144e+00 1.020867670427027125e+15 4.186410194324248500e+15
1.101075268817204389e+01 1.057184170349544372e+00 1.021418741881463875e+15 4.184756978810008000e+15
1.113587487781036245e+01 1.057859462617743107e+00 1.021970165070605875e+15 4.183102708145895000e+15
1.126099706744868101e+01 1.058535350729892244e+00 1.022521940304211500e+15 4.181447381403233500e+15
1.138611925708699957e+01 1.059211835511898903e+00 1.023074067892731000e+15 4.179790997651200500e+15
1.151124144672531813e+01 1.059888917791750540e+00 1.023626548147305500e+15 4.178133555956852500e+15
1.163636363636363669e+01 1.060566598399514282e+00 1.024179381379761000e+15 4.176475055385124000e+15
1.176148582600195525e+01 1.061244878167336703e+00 1.024732567902606000e+15 4.174815494998848500e+15
1.188660801564027381e+01 1.061923757929444934e+00 1.025286108029028500e+15 4.173154873858764500e+15
1.201173020527859236e+01 1.062603238522145332e+00 1.025840002072891250e+15 4.171493191023531000e+15
1.213685239491691092e+01 1.063283320783824371e+00 1.026394250348728375e+15 4.169830445549735000e+15
1.226197458455522948e+01 1.063964005554948411e+00 1.026948853171742625e+15 4.168166636491916000e+15
1.238709677419354804e+01 1.064645293678063265e+00 1.027503810857800250e+15 4.166501762902559500e+15
1.251221896383186660e+01 1.065327185997795079e+00 1.028059123723429250e+15 4.164835823832124000e+15
1.263734115347018516e+01 1.066009683360849447e+00 1.028614792085813375e+15 4.163168818329039500e+15
1.276246334310850372e+01 1.066692786616011857e+00 1.029170816262791125e+15 4.161500745439739000e+15
1.288758553274682228e+01 1.067376496614147907e+00 1.029727196572850250e+15 4.159831604208649500e+15
1.301270772238514084e+01 1.068060814208202647e+00 1.030283933335124125e+15 4.158161393678217000e+15
1.313782991202346118e+01 1.068745740253201237e+00 1.030841026869389250e+15 4.156490112888912500e+15
1.326295210166177974e+01 1.069431275606248510e+00 1.031398477496060375e+15 4.154817760879249000e+15
1.338807429130009830e+01 1.070117421126529411e+00 1.031956285536188500e+15 4.153144336685795000e+15
1.351319648093841685e+01 1.070804177675308111e+00 1.032514451311453750e+15 4.151469839343172500e+15
1.363831867057673541e+01 1.071491546115929117e+00 1.033072975144165875e+15 4.149794267884090000e+15
1.376344086021505397e+01 1.072179527313816827e+00 1.033631857357258250e+15 4.148117621339339500e+15
1.388856304985337253e+01 1.072868122136475089e+00 1.034191098274283750e+15 4.146439898737811500e+15
1.401368523949169109e+01 1.073557331453487862e+00 1.034750698219412375e+15 4.144761099106515000e+15
1.413880742913000965e+01 1.074247156136518999e+00 1.035310657517426875e+15 4.143081221470577500e+15
1.426392961876832821e+01 1.074937597059311800e+00 1.035870976493718500e+15 4.141400264853269000e+15
1.438905180840664677e+01 1.075628655097689679e+00 1.036431655474284125e+15 4.139718228276003500e+15
1.451417399804496533e+01 1.076320331129555941e+00 1.036992694785722625e+15 4.138035110758364000e+15
1.463929618768328389e+01 1.077012626034893561e+00 1.037554094755229875e+15 4.136350911318099500e+15
1.476441837732160245e+01 1.077705540695765407e+00 1.038115855710595500e+15 4.134665628971151000e+15
1.488954056695992101e+01 1.078399075996314238e+00 1.038677977980200625e+15 4.132979262731657500e+15
1.501466275659824134e+01 1.079093232822762261e+00 1.039240461893011500e+15 4.131291811611970000e+15
1.513978494623655990e+01 1.079788012063412461e+00 1.039803307778577375e+15 4.129603274622656000e+15
1.526490713587487846e+01 1.080483414608646386e+00 1.040366515967026250e+15 4.127913650772530000e+15
1.539002932551319702e+01 1.081179441350926362e+00 1.040930086789061000e+15 4.126222939068645500e+15
1.551515151515151558e+01 1.081876093184794385e+00 1.041494020575956125e+15 4.124531138516322000e+15
1.564027370478983414e+01 1.082573371006871898e+00 1.042058317659552500e+15 4.122838248119151500e+15
1.576539589442815270e+01 1.083271275715860460e+00 1.042622978372255250e+15 4.121144266879011000e+15
1.589051808406647126e+01 1.083969808212541297e+00 1.043188003047028500e+15 4.119449193796077500e+15
1.601564027370478982e+01 1.084668969399775973e+00 1.043753392017392875e+15 4.117753027868836500e+15
1.614076246334310838e+01 1.085368760182505055e+00 1.044319145617420000e+15 4.116055768094100000e+15
1.626588465298142694e+01 1.086069181467749667e+00 1.044885264181730000e+15 4.114357413467011500e+15
1.639100684261974550e+01 1.086770234164610383e+00 1.045451748045487000e+15 4.112657962981069000e+15
1.651612903225806406e+01 1.087471919184267888e+00 1.046018597544395375e+15 4.110957415628129000e+15
1.664125122189638262e+01 1.088174237439982317e+00 1.046585813014695625e+15 4.109255770398419500e+15
1.676637341153470118e+01 1.088877189847093696e+00 1.047153394793160500e+15 4.107553026280557500e+15
1.689149560117301974e+01 1.089580777323022387e+00 1.047721343217091625e+15 4.105849182261562000e+15
1.701661779081133830e+01 1.090285000787267977e+00 1.048289658624315125e+15 4.104144237326857000e+15
1.714173998044965685e+01 1.090989861161410168e+00 1.048858341353177250e+15 4.102438190460300000e+15
1.726686217008797541e+01 1.091695359369108331e+00 1.049427391742541000e+15 4.100731040644177000e+15
1.739198435972629397e+01 1.092401496336102174e+00 1.049996810131783250e+15 4.099022786859231500e+15
1.751710654936461253e+01 1.093108272990210406e+00 1.050566596860787625e+15 4.097313428084666500e+15
1.764222873900293109e+01 1.093815690261332296e+00 1.051136752269944250e+15 4.095602963298159500e+15
1.776735092864124965e+01 1.094523749081446562e+00 1.051707276700142875e+15 4.093891391475881500e+15
1.789247311827956821e+01 1.095232450384611811e+00 1.052278170492770625e+15 4.092178711592499500e+15
1.801759530791788677e+01 1.095941795106966765e+00 1.052849433989707375e+15 4.090464922621195000e+15
1.814271749755620888e+01 1.096651784186729373e+00 1.053421067533321500e+15 4.088750023533684000e+15
1.826783968719452744e+01 1.097362418564198139e+00 1.053993071466466625e+15 4.087034013300215500e+15
1.839296187683284600e+01 1.098073699181750573e+00 1.054565446132476125e+15 4.085316890889590500e+15
1.851808406647116456e+01 1.098785626983844965e+00 1.055138191875161250e+15 4.083598655269180500e+15
1.864320625610948312e+01 1.099498202917018608e+00 1.055711309038805375e+15 4.081879305404936500e+15
1.876832844574780168e+01 1.100211427929889352e+00 1.056284797968160625e+15 4.080158840261397500e+15
1.889345063538612024e+01 1.100925302973154052e+00 1.056858659008443125e+15 4.078437258801707000e+15
1.901857282502443880e+01 1.101639828999590121e+00 1.057432892505330625e+15 4.076714559987633500e+15
1.914369501466275736e+01 1.102355006964054418e+00 1.058007498804955875e+15 4.074990742779564500e+15
1.926881720430107592e+01 1.103070837823483696e+00 1.058582478253905250e+15 4.073265806136547500e+15
1.939393939393939448e+01 1.103787322536894600e+00 1.059157831199212125e+15 4.071539749016270000e+15
1.951906158357771304e+01 1.104504462065383663e+00 1.059733557988355125e+15 4.069812570375102000e+15
1.964418377321603160e+01 1.105222257372127093e+00 1.060309658969252250e+15 4.068084269168092000e+15
1.976930596285435016e+01 1.105940709422381207e+00 1.060886134490257625e+15 4.066354844348988000e+15
1.989442815249266872e+01 1.106659819183481774e+00 1.061462984900156750e+15 4.064624294870242000e+15
2.001955034213098727e+01 1.107379587624844453e+00 1.062040210548162500e+15 4.062892619683031500e+15
2.014467253176930583e+01 1.108100015717965015e+00 1.062617811783912500e+15 4.061159817737275500e+15
2.026979472140762439e+01 1.108821104436419125e+00 1.063195788957462500e+15 4.059425887981635000e+15
2.039491691104594295e+01 1.109542854755861674e+00 1.063774142419283500e+15 4.057690829363537500e+15
2.052003910068426151e+01 1.110265267654027888e+00 1.064352872520257875e+15 4.055954640829185000e+15
2.064516129032258007e+01 1.110988344110732662e+00 1.064931979611674250e+15 4.054217321323567500e+15
2.077028347996089863e+01 1.111712085107871006e+00 1.065511464045224250e+15 4.052478869790479000e+15
2.089540566959921719e+01 1.112436491629417157e+00 1.066091326172997375e+15 4.050739285172531000e+15
2.102052785923753575e+01 1.113161564661425906e+00 1.066671566347477875e+15 4.048998566411160500e+15
2.114565004887585431e+01 1.113887305192031274e+00 1.067252184921539375e+15 4.047256712446649000e+15
2.127077223851417287e+01 1.114613714211447615e+00 1.067833182248441625e+15 4.045513722218133000e+15
2.139589442815249143e+01 1.115340792711968509e+00 1.068414558681825250e+15 4.043769594663621000e+15
2.152101661779080999e+01 1.116068541687967874e+00 1.068996314575708500e+15 4.042024328720001000e+15
2.164613880742912855e+01 1.116796962135899296e+00 1.069578450284482500e+15 4.040277923323059000e+15
2.177126099706744711e+01 1.117526055054296252e+00 1.070160966162906875e+15 4.038530377407489000e+15
2.189638318670576567e+01 1.118255821443772113e+00 1.070743862566105750e+15 4.036781689906910500e+15
2.202150537634408778e+01 1.118986262307019475e+00 1.071327139849562750e+15 4.035031859753877500e+15
2.214662756598240634e+01 1.119717378648811712e+00 1.071910798369118500e+15 4.033280885879896500e+15
2.227174975562072490e+01 1.120449171476001426e+00 1.072494838480963875e+15 4.031528767215439000e+15
2.239687194525904346e+01 1.121181641797521333e+00 1.073079260541637750e+15 4.029775502689946000e+15
2.252199413489736202e+01 1.121914790624383595e+00 1.073664064908021250e+15 4.028021091231862000e+15
2.264711632453568058e+01 1.122648618969680490e+00 1.074249251937333750e+15 4.026265531768622500e+15
2.277223851417399914e+01 1.123383127848584184e+00 1.074834821987129875e+15 4.024508823226694000e+15
2.289736070381231769e+01 1.124118318278346518e+00 1.075420775415293125e+15 4.022750964531568000e+15
2.302248289345063625e+01 1.124854191278299442e+00 1.076007112580032625e+15 4.020991954607779000e+15
2.314760508308895481e+01 1.125590747869854136e+00 1.076593833839878500e+15 4.019231792378932000e+15
2.327272727272727337e+01 1.126327989076502334e+00 1.077180939553677375e+15 4.017470476767690000e+15
2.339784946236559193e+01 1.127065915923814998e+00 1.077768430080588625e+15 4.015708006695818500e+15
2.352297165200391049e+01 1.127804529439443426e+00 1.078356305780078875e+15 4.013944381084170500e+15
2.364809384164222905e+01 1.128543830653118363e+00 1.078944567011918500e+15 4.012179598852721000e+15
2.377321603128054761e+01 1.129283820596650445e+00 1.079533214136177125e+15 4.010413658920573500e+15
2.389833822091886617e+01 1.130024500303930424e+00 1.080122247513218125e+15 4.008646560205966500e+15
2.402346041055718473e+01 1.130765870810928719e+00 1.080711667503696125e+15 4.006878301626304000e+15
2.414858260019550329e+01 1.131507933155695422e+00 1.081301474468550750e+15 4.005108882098155000e+15
2.427370478983382185e+01 1.132250688378360515e+00 1.081891668769002375e+15 4.003338300537269500e+15
2.439882697947214041e+01 1.132994137521133871e+00 1.082482250766548875e+15 4.001566555858601500e+15
2.452394916911045897e+01 1.133738281628305478e+00 1.083073220822960250e+15 3.999793646976311500e+15
2.464907135874877753e+01 1.134483121746244549e+00 1.083664579300273875e+15 3.998019572803786500e+15
2.477419354838709609e+01 1.135228658923400635e+00 1.084256326560791125e+15 3.996244332253660000e+15
2.489931573802541465e+01 1.135974894210302732e+00 1.084848462967071250e+15 3.994467924237808000e+15
2.502443792766373321e+01 1.136721828659560174e+00 1.085440988881928000e+15 3.992690347667379000e+15
2.514956011730205176e+01 1.137469463325861740e+00 1.086033904668425000e+15 3.990911601452808000e+15
2.527468230694037032e+01 1.138217799265976105e+00 1.086627210689871250e+15 3.989131684503820500e+15
2.539980449657868888e+01 1.138966837538751609e+00 1.087220907309815250e+15 3.987350595729450500e+15
2.552492668621700744e+01 1.139716579205116709e+00 1.087814994892042500e+15 3.985568334038060500e+15
2.565004887585532600e+01 1.140467025328079753e+00 1.088409473800569750e+15 3.983784898337347500e+15
2.577517106549364456e+01 1.141218176972728759e+00 1.089004344399640625e+15 3.982000287534363500e+15
2.590029325513196312e+01 1.141970035206231415e+00 1.089599607053720875e+15 3.980214500535529500e+15
2.602541544477028168e+01 1.142722601097835522e+00 1.090195262127493750e+15 3.978427536246637500e+15
2.615053763440860379e+01 1.143475875718868551e+00 1.090791309985855875e+15 3.976639393572883500e+15
2.627565982404692235e+01 1.144229860142737865e+00 1.091387750993912000e+15 3.974850071418870500e+15
2.640078201368524091e+01 1.144984555444930496e+00 1.091984585516970500e+15 3.973059568688623000e+15
2.652590420332355947e+01 1.145739962703013592e+00 1.092581813920539875e+15 3.971267884285607000e+15
2.665102639296187803e+01 1.146496082996634192e+00 1.093179436570322000e+15 3.969475017112736500e+15
2.677614858260019659e+01 1.147252917407518558e+00 1.093777453832208625e+15 3.967680966072393500e+15
2.690127077223851515e+01 1.148010467019473513e+00 1.094375866072277500e+15 3.965885730066440500e+15
2.702639296187683371e+01 1.148768732918385327e+00 1.094974673656786250e+15 3.964089307996235000e+15
2.715151515151515227e+01 1.149527716192220161e+00 1.095573876952167875e+15 3.962291698762648000e+15
2.727663734115347083e+01 1.150287417931023848e+00 1.096173476325027125e+15 3.960492901266067500e+15
2.740175953079178939e+01 1.151047839226922331e+00 1.096773472142134750e+15 3.958692914406426500e+15
2.752688172043010795e+01 1.151808981174121449e+00 1.097373864770423000e+15 3.956891737083205500e+15
2.765200391006842651e+01 1.152570844868906264e+00 1.097974654576980875e+15 3.955089368195455000e+15
2.777712609970674507e+01 1.153333431409642618e+00 1.098575841929050125e+15 3.953285806641807500e+15
2.790224828934506363e+01 1.154096741896775358e+00 1.099177427194019125e+15 3.951481051320493000e+15
2.802737047898338218e+01 1.154860777432829666e+00 1.099779410739419375e+15 3.949675101129352000e+15
2.815249266862170074e+01 1.155625539122409950e+00 1.100381792932919000e+15 3.947867954965845000e+15
2.827761485826001930e+01 1.156391028072201399e+00 1.100984574142321000e+15 3.946059611727082000e+15
2.840273704789833786e+01 1.157157245390967981e+00 1.101587754735555125e+15 3.944250070309821000e+15
2.852785923753665642e+01 1.157924192189554446e+00 1.102191335080675125e+15 3.942439329610493000e+15
2.865298142717497498e+01 1.158691869580884770e+00 1.102795315545852875e+15 3.940627388525209500e+15
2.877810361681329354e+01 1.159460278679962819e+00 1.103399696499374250e+15 3.938814245949786000e+15
2.890322580645161210e+01 1.160229420603872574e+00 1.104004478309634000e+15 3.936999900779747000e+15
2.902834799608993066e+01 1.160999296471777464e+00 1.104609661345131000e+15 3.935184351910349000e+15
2.915347018572824922e+01 1.161769907404921032e+00 1.105215245974462625e+15 3.933367598236584500e+15
2.927859237536656778e+01 1.162541254526626711e+00 1.105821232566321500e+15 3.931549638653212000e+15
2.940371456500488634e+01 1.163313338962297605e+00 1.106427621489489000e+15 3.929730472054758500e+15
2.952883675464320490e+01 1.164086161839416711e+00 1.107034413112831250e+15 3.927910097335538500e+15
2.965395894428152346e+01 1.164859724287546472e+00 1.107641607805293250e+15 3.926088513389671000e+15
2.977908113391984202e+01 1.165634027438329889e+00 1.108249205935895750e+15 3.924265719111089500e+15
2.990420332355816058e+01 1.166409072425489413e+00 1.108857207873728625e+15 3.922441713393558500e+15
3.002932551319648269e+01 1.167184860384827161e+00 1.109465613987946250e+15 3.920616495130693000e+15
3.015444770283480125e+01 1.167961392454225145e+00 1.110074424647763125e+15 3.918790063215967500e+15
3.027956989247311981e+01 1.168738669773645711e+00 1.110683640222449000e+15 3.916962416542735500e+15
3.040469208211143837e+01 1.169516693485130432e+00 1.111293261081322500e+15 3.915133554004236500e+15
3.052981427174975693e+01 1.170295464732800772e+00 1.111903287593748500e+15 3.913303474493627000e+15
3.065493646138807549e+01 1.171074984662858309e+00 1.112513720129130125e+15 3.911472176903974000e+15
3.078005865102639405e+01 1.171855254423584292e+00 1.113124559056906625e+15 3.909639660128288000e+15
3.090518084066471260e+01 1.172636275165339859e+00 1.113735804746546875e+15 3.907805923059530500e+15
3.103030303030303116e+01 1.173418048040566042e+00 1.114347457567544125e+15 3.905970964590629500e+15
3.115542521994134972e+01 1.174200574203783543e+00 1.114959517889412000e+15 3.904134783614495000e+15
3.128054740957966828e+01 1.174983854811592732e+00 1.115571986081677750e+15 3.902297379024032500e+15
3.140566959921798684e+01 1.175767891022674538e+00 1.116184862513879750e+15 3.900458749712161500e+15
3.153079178885630540e+01 1.176552683997788673e+00 1.116798147555560000e+15 3.898618894571832000e+15
3.165591397849462396e+01 1.177338234899775626e+00 1.117411841576260250e+15 3.896777812496032000e+15
3.178103616813294252e+01 1.178124544893555115e+00 1.118025944945516625e+15 3.894935502377808500e+15
3.190615835777126108e+01 1.178911615146126968e+00 1.118640458032854250e+15 3.893091963110282000e+15
3.203128054740957964e+01 1.179699464367025330e+00 1.119255395047587875e+15 3.891247154621433000e+15
3.215640273704789820e+01 1.180488154060583383e+00 1.119870803938763250e+15 3.889400941868583500e+15
3.228152492668621676e+01 1.181277689204419667e+00 1.120486688024867875e+15 3.887553315488459000e+15
3.240664711632453532e+01 1.182068069549290446e+00 1.121103046498573500e+15 3.885704277733320000e+15
3.253176930596285388e+01 1.182859294858174204e+00 1.121719878561618000e+15 3.883853830828431000e+15
3.265689149560117244e+01 1.183651364906272319e+00 1.122337183424792000e+15 3.882001976972094000e+15
3.278201368523949100e+01 1.184444279481008166e+00 1.122954960307925500e+15 3.880148718335708500e+15
3.290713587487780956e+01 1.185238038382028458e+00 1.123573208439874875e+15 3.878294057063808000e+15
3.303225806451612812e+01 1.186032641421201905e+00 1.124191927058509000e+15 3.876437995274113500e+15
3.315738025415444667e+01 1.186828088422619887e+00 1.124811115410695750e+15 3.874580535057580000e+15
3.328250244379276523e+01 1.187624379222596227e+00 1.125430772752288875e+15 3.872721678478445500e+15
3.340762463343108379e+01 1.188421513669667640e+00 1.126050898348114000e+15 3.870861427574275000e+15
3.353274682306940235e+01 1.189219491624593061e+00 1.126671491471955250e+15 3.868999784356011500e+15
3.365786901270772091e+01 1.190018312960353875e+00 1.127292551406541250e+15 3.867136750808023000e+15
3.378299120234603947e+01 1.190817977562154573e+00 1.127914077443532500e+15 3.865272328888152000e+15
3.390811339198435803e+01 1.191618485327421872e+00 1.128536068883506250e+15 3.863406520527760500e+15
3.403323558162267659e+01 1.192419836165804492e+00 1.129158525035942750e+15 3.861539327631783500e+15
3.415835777126099515e+01 1.193222029999174705e+00 1.129781445219212750e+15 3.859670752078772500e+15
3.428347996089931371e+01 1.194025066761626785e+00 1.130404828760562250e+15 3.857800795720946000e+15
3.440860215053763227e+01 1.194828946399477454e+00 1.131028674996099750e+15 3.855929460384242500e+15
3.453372434017595083e+01 1.195633668871266320e+00 1.131652983270780500e+15 3.854056747868363500e+15
3.465884652981426939e+01 1.196439234147755215e+00 1.132277752938395000e+15 3.852182659946824000e+15
3.478396871945258795e+01 1.197245642211928640e+00 1.132902983361551750e+15 3.850307198367001500e+15
3.490909090909090651e+01 1.198052893058993984e+00 1.133528673911667000e+15 3.848430364850192500e+15
3.503421309872922507e+01 1.198860986696380415e+00 1.134154823968946500e+15 3.846552161091647000e+15
3.515933528836754363e+01 1.199669923143740657e+00 1.134781432922375000e+15 3.844672588760637500e+15
3.528445747800586219e+01 1.200479702432948770e+00 1.135408500169698750e+15 3.842791649500486500e+15
3.540957966764418074e+01 1.201290324608102589e+00 1.136036025117414250e+15 3.840909344928640500e+15
3.553470185728249930e+01 1.202101789725521730e+00 1.136664007180751000e+15 3.839025676636695500e+15
3.565982404692081786e+01 1.202914097853748698e+00 1.137292445783659750e+15 3.837140646190469500e+15
3.578494623655913642e+01 1.203727249073548222e+00 1.137921340358795750e+15 3.835254255130035500e+15
3.591006842619745498e+01 1.204541243477907697e+00 1.138550690347506500e+15 3.833366504969783000e+15
3.603519061583577354e+01 1.205356081172037408e+00 1.139180495199815250e+15 3.831477397198461500e+15
